Team,Manchester City_21_22,Liverpool_21_22,Chelsea_21_22,Arsenal_21_22,Tottenham_21_22,Manchester Utd_21_22,West Ham_21_22,Wolves_21_22,Leicester City_21_22,Aston Villa_21_22,Southampton_21_22,Crystal Palace_21_22,Brighton_21_22,Newcastle Utd_21_22,Brentford_21_22,Everton_21_22,Leeds United_21_22,Burnley_21_22,Watford_21_22,Norwich City_21_22
West Ham_16_17,56.18718715152058,56.16938667993447,44.01136216933077,28.30194339616981,21.37755832643195,19.131126469708992,20.09975124224178,29.597297173897484,6.708203932499369,10.862780491200215,7.0,11.045361017187261,19.209372712298546,6.4031242374328485,10.770329614269007,11.313708498984761,20.149441679609886,21.93171219946131,18.49324200890693,29.0
Burnley_16_17,58.215118311311535,58.93216439263028,44.598206241955516,28.61817604250837,22.516660498395403,21.633307652783937,21.6794833886788,22.67156809750927,14.317821063276353,11.575836902790225,5.744562646538029,9.16515138991168,9.643650760992955,6.082762530298219,5.0990195135927845,9.273618495495704,23.49468024894146,13.601470508735444,17.435595774162696,27.440845468024488
Watford_16_17,59.74110812497538,60.07495318350236,46.9148164229596,30.643106892089126,24.06241883103193,22.360679774997898,23.108440016582687,28.178005607210743,11.704699910719626,13.038404810405298,6.708203932499369,11.832159566199232,15.7797338380595,1.0,5.830951894845301,6.782329983125268,18.33030277982336,16.881943016134134,14.696938456699069,24.919871588754223
Bournemouth_16_17,60.00833275470999,59.50630218724736,48.52834223420371,33.481338085566414,26.476404589747453,23.874672772626646,24.939927826679853,35.6931365951495,10.344080432788601,16.186414056238647,13.076696830622021,16.30950643030009,24.596747752497688,10.04987562112089,13.784048752090222,12.24744871391589,16.431676725154983,24.515301344262525,17.029386365926403,27.331300737432898
Leicester City_16_17,59.89156868875618,60.207972893961475,46.9148164229596,30.870698080866262,24.269322199023193,22.67156809750927,23.194827009486403,27.748873851023216,12.206555615733702,12.806248474865697,6.708203932499369,11.224972160321824,15.066519173319364,1.7320508075688772,4.69041575982343,6.164414002968976,18.81488772222678,15.84297951775486,14.352700094407323,24.919871588754223
Crystal Palace_16_17,59.06775770248944,59.06775770248944,46.16275555033516,31.064449134018133,24.186773244895647,22.494443758403985,22.58317958127243,28.600699292150182,11.445523142259598,11.74734012447073,7.681145747868608,9.899494936611665,16.401219466856727,5.385164807134504,6.164414002968976,7.3484692283495345,19.949937343260004,16.76305461424021,15.033296378372908,26.589471600616662
Swansea City_16_17,68.09552114493287,67.60917097554147,56.824290580701486,41.14608122288197,34.36568055487916,31.78049716414141,33.166247903554,42.0,18.57417562100671,24.289915602982237,19.72308292331602,23.958297101421877,29.410882339705484,14.177446878757825,17.08800749063506,13.564659966250536,8.602325267042627,25.942243542145693,13.92838827718412,21.470910553583888
Hull City_16_17,71.30918594402827,71.61703707917552,58.40376700179535,41.86884283091664,35.510561809129406,33.85262175962151,34.66987164671943,36.41428291206625,22.516660498395403,24.372115213907882,17.97220075561143,22.494443758403985,21.93171219946131,11.0,10.295630140987,6.48074069840786,10.488088481701515,14.866068747318506,5.0990195135927845,13.379088160259652
Middlesbrough_16_17,68.83313155741209,70.09992867328754,54.16641025580336,40.049968789001575,35.4400902933387,35.70714214271425,34.77067730142742,24.596747752497688,30.822070014844883,25.942243542145693,22.22611077089287,22.516660498395403,12.569805089976535,21.213203435596427,16.401219466856727,19.1049731745428,32.29551052391029,7.3484692283495345,22.338307903688676,28.600699292150182
Sunderland_16_17,73.21885003194191,73.60027173862879,59.75784467331465,43.78355855797927,37.53664875824692,36.24913792078372,36.52396473549935,35.6931365951495,25.67099530598687,25.80697580112788,19.87460691435179,23.194827009486403,20.71231517720798,13.74772708486752,10.488088481701515,7.874007874011811,15.165750888103101,10.246950765959598,5.0990195135927845,13.379088160259652
Manchester City_17_18,15.362291495737216,12.727922061357855,29.698484809834994,44.78839135311738,48.96937818678118,49.76946855251722,49.20365840057018,62.8410693734599,60.778285596090974,59.69087032369355,65.86349520030045,62.74551776820397,71.386273190299,72.24956747275377,75.05331438384317,77.74959806970065,86.3075894692929,83.16249154516716,85.53946457629952,96.28083921528727
Manchester Utd_17_18,18.138357147217054,21.18962010041709,4.123105625617661,15.066519173319364,20.663978319771825,23.065125189341593,21.6794833886788,29.832867780352597,36.235341863986875,32.155870381627054,37.8021163428716,34.583232931581165,40.01249804748511,44.82186966202994,46.66904755831214,50.25932749251625,61.70899448216605,52.96225070746144,58.58327406350724,68.85491994040804
