Team,Manchester City_21_22,Liverpool_21_22,Chelsea_21_22,Arsenal_21_22,Manchester Utd_21_22,Tottenham_21_22,West Ham_21_22,Wolves_21_22,Brighton_21_22,Leicester City_21_22,Southampton_21_22,Aston Villa_21_22,Crystal Palace_21_22,Newcastle Utd_21_22,Brentford_21_22,Leeds United_21_22,Everton_21_22,Burnley_21_22,Watford_21_22,Norwich City_21_22
Southampton_16_17,49.66890375275057,46.32493928760188,31.78049716414141,22.293496809607955,17.72004514666935,13.92838827718412,19.519221295943137,15.394804318340652,5.196152422706632,17.233687939614086,7.483314773547883,7.810249675906654,7.54983443527075,14.866068747318506,11.0,25.98076211353316,17.0,10.862780491200215,20.223748416156685,28.6705423736629
Burnley_16_17,52.23983154643591,48.518037882832814,34.75629439396553,23.853720883753127,18.81488772222678,14.966629547095765,20.46948949045872,19.1049731745428,8.774964387392123,15.066519173319364,5.477225575051661,6.082762530298219,6.4031242374328485,10.344080432788601,7.280109889280518,21.283796653792763,12.84523257866513,11.045361017187261,16.401219466856727,24.535688292770594
Watford_16_17,53.823786563191554,49.37610758251404,37.094473981982816,25.238858928247925,19.748417658131498,16.73320053068151,20.663978319771825,24.677925358506133,14.866068747318506,11.445523142259598,6.164414002968976,6.4031242374328485,7.810249675906654,5.916079783099616,7.0,15.652475842498529,9.0,15.165750888103101,13.601470508735444,22.045407685048602
Bournemouth_16_17,57.18391382198319,51.41011573610781,41.6293165929973,30.331501776206203,24.55605831561735,23.345235059857504,23.706539182259394,34.02939905434711,24.289915602982237,10.488088481701515,13.74772708486752,12.806248474865697,13.341664064126334,8.12403840463596,12.884098726725126,9.695359714832659,8.602325267042627,21.97726097583591,12.96148139681572,22.293496809607955
Swansea City_16_17,63.41135544995076,57.7408001330082,47.916594202843754,36.069377593742864,30.430248109405877,28.705400188814647,29.9833287011299,38.22302970723278,28.160255680657446,16.822603841260722,18.81488772222678,18.138357147217054,18.138357147217054,9.539392014169456,14.866068747318506,3.0,8.774964387392123,23.958297101421877,11.0,17.4928556845359
Middlesbrough_16_17,60.11655346075655,57.436921923097515,42.01190307520001,34.11744421846396,30.116440692751194,26.095976701399778,31.96873472629156,19.949937343260004,12.569805089976535,28.600699292150182,19.209372712298546,18.973665961010276,16.30950643030009,20.346989949375804,14.89966442575134,30.692018506445613,21.02379604162864,5.916079783099616,21.2602916254693,26.77685567799177
Leicester City_16_17,63.03967004989794,58.52349955359813,45.727453460694704,34.84250278036869,29.34280150224242,26.13426869074396,30.0,29.832867780352597,19.235384061671343,20.0,14.866068747318506,14.071247279470288,11.74734012447073,6.0,4.69041575982343,14.071247279470288,5.0990195135927845,11.180339887498949,5.0990195135927845,14.035668847618199
Hull City_16_17,67.7864293203293,63.03967004989794,50.89204259999789,39.30648801406709,33.793490497431605,30.692018506445613,34.36568055487916,35.2845575287547,24.879710609249457,23.0,19.697715603592208,19.1049731745428,17.46424919657298,8.774964387392123,10.63014581273465,10.344080432788601,7.0,17.029386365926403,4.123105625617661,8.602325267042627
Crystal Palace_16_17,61.652250567193406,56.07138307550475,45.09988913511872,34.79942528261063,28.91366458960192,27.09243436828813,28.231188426986208,34.36568055487916,23.853720883753127,16.401219466856727,15.811388300841896,14.247806848775006,12.206555615733702,7.280109889280518,9.848857801796104,11.180339887498949,5.0,17.320508075688775,7.14142842854285,18.49324200890693
Sunderland_16_17,65.79513659838392,60.991802727907626,48.68264577855234,37.66961640367472,32.0624390837628,29.086079144497972,32.449961479175904,33.421549934136806,22.825424421026653,21.470910553583888,17.72004514666935,16.822603841260722,14.594519519326424,7.280109889280518,8.06225774829855,11.874342087037917,5.0,14.2828568570857,1.7320508075688772,11.575836902790225
Manchester City_17_18,13.601470508735444,14.352700094407323,30.0,39.30648801406709,43.70354676682432,48.12483766206386,42.36744032862972,56.471231613982,60.241181927316134,54.2125446737192,57.77542730261716,58.35237784358063,61.39218191268331,67.84541251993387,68.03675477269621,73.5187051028512,70.178344238091,70.75309180523492,75.13321502504735,84.7938677028003
Manchester Utd_17_18,16.1245154965971,15.652475842498529,3.0,14.491376746189438,19.4164878389476,22.64950330581225,19.849433241279208,28.24889378365107,32.802438933713454,33.25657829663178,33.03028912982749,33.85262175962151,36.6333181680284,44.204072210600685,43.05810028322197,52.38320341483518,46.75467891024384,44.14748010928823,51.40038910358559,60.63827174318213
Liverpool_17_18,20.248456731316587,13.379088160259652,13.601470508735444,16.1245154965971,18.627936010197157,23.600847442411894,16.30950643030009,35.63705936241092,36.24913792078372,27.820855486487112,31.827660925679098,32.2490309931942,35.35533905932738,41.49698784249286,41.92851058647326,47.34976240700686,43.749285708454714,45.552167895721496,48.703182647543684,58.557663887829406
Chelsea_17_18,21.213203435596427,20.273134932713294,4.123105625617661,10.954451150103322,15.588457268119896,18.24828759089466,16.673332000533065,23.280893453645632,27.748873851023216,29.832867780352597,28.583211855912904,29.46183972531247,32.155870381627054,39.87480407475377,38.44476557348217,48.518037882832814,42.44997055358225,39.230090491866065,46.98936049788292,56.08029957123981
Tottenham_17_18,20.808652046684813,17.60681686165901,4.47213595499958,10.63014581273465,14.352700094407323,18.2208671582886,13.96424004376894,26.324893162176366,28.930952282978865,27.331300737432898,27.748873851023216,28.372521918222215,31.12876483254676,38.71692136521188,37.8021163428716,46.70117771534247,41.14608122288197,39.4715087119811,45.83666654546336,55.47972602672079
Arsenal_17_18,32.64965543462902,27.294688127912362,18.138357147217054,9.273618495495704,6.4031242374328485,11.180339887498949,2.449489742783178,26.153393661244042,23.62202362203543,14.071247279470288,17.46424919657298,17.944358444926362,21.354156504062622,27.09243436828813,27.568097504180443,33.67491648096547,29.46183972531247,31.953090617340916,34.438350715445125,44.12482294582042
Burnley_17_18,50.28916384272063,49.23413450036468,32.89376840679705,25.67099530598687,23.748684174075834,19.339079605813716,27.073972741361768,6.708203932499369,8.06225774829855,29.068883707497267,19.44222209522358,20.46948949045872,20.518284528683193,26.324893162176366,21.93171219946131,37.16180835212409,28.442925306655784,17.320508075688775,30.643106892089126,36.193922141707716
Leicester City_17_18,42.62628297189423,38.13135192987524,25.612496949731394,15.394804318340652,9.695359714832659,8.48528137423857,9.9498743710662,20.024984394500787,13.45362404707371,9.539392014169456,6.164414002968976,6.4031242374328485,9.643650760992955,16.822603841260722,16.0312195418814,25.865034312755125,19.209372712298546,19.949937343260004,23.853720883753127,33.67491648096547
Everton_17_18,52.81098370604357,48.703182647543684,35.86084215408221,24.06241883103193,18.76166303929372,15.297058540778355,20.12461179749811,22.293496809607955,12.529964086141668,12.529964086141668,5.0990195135927845,5.916079783099616,7.54983443527075,7.810249675906654,7.280109889280518,17.916472867168917,10.816653826391969,14.142135623730951,15.066519173319364,23.108440016582687
Bournemouth_17_18,52.896124621752776,48.91829923454004,35.34119409414458,24.859605789312106,19.621416870348583,16.15549442140351,20.83266665599966,20.396078054371138,9.899494936611665,14.7648230602334,5.744562646538029,5.477225575051661,4.47213595499958,9.486832980505138,6.0,20.639767440550294,11.661903789690601,10.04987562112089,15.165750888103101,24.06241883103193
Watford_17_18,54.589376255824725,49.36598018878993,38.22302970723278,27.018512172212592,21.18962010041709,19.313207915827967,20.92844953645635,28.74021572639983,18.867962264113206,9.273618495495704,8.660254037844387,7.615773105863909,8.12403840463596,5.477225575051661,8.602325267042627,13.2664991614216,7.3484692283495345,17.349351572897472,12.409673645990857,22.47220505424423
West Ham_17_18,55.10898293381942,50.17967716117751,38.44476557348217,27.147743920996454,21.400934559032695,19.026297590440446,21.563858652847824,27.331300737432898,17.233687939614086,10.816653826391969,7.874007874011811,7.0,7.14142842854285,4.123105625617661,6.557438524302,13.74772708486752,6.557438524302,15.427248620541512,11.532562594670797,21.354156504062622
Crystal Palace_17_18,58.215118311311535,54.46099521676041,40.64480286580315,29.816103031751148,24.779023386727733,20.8806130178211,26.28687885618983,22.825424421026653,12.36931687685298,19.05255888325765,10.862780491200215,10.816653826391969,9.219544457292887,8.660254037844387,4.123105625617661,19.209372712298546,10.246950765959598,7.874007874011811,12.206555615733702,19.235384061671343
Newcastle Utd_17_18,58.360945845659494,54.72659317004851,40.50925820105819,30.59411708155671,25.67099530598687,21.840329667841555,27.09243436828813,21.95449840010015,11.575836902790225,20.83266665599966,12.206555615733702,11.832159566199232,9.273618495495704,11.224972160321824,5.830951894845301,21.863211109075447,12.24744871391589,4.358898943540674,13.564659966250536,20.904544960366874
Brighton_17_18,61.40032573203501,58.31809324729333,43.508619835614184,33.61547262794322,29.13760456866693,24.839484696748443,31.080540535840107,22.090722034374522,12.884098726725126,25.41653005427767,16.401219466856727,16.431676725154983,14.2828568570857,14.89966442575134,10.0,24.61706725018234,15.748015748023622,5.385164807134504,15.937377450509228,20.46948949045872
Huddersfield_17_18,64.69157595854347,60.74537019394976,47.45524207081869,35.84689665786984,30.757112998459398,26.90724809414742,32.17141588429082,29.274562336608895,19.313207915827967,22.869193252058544,16.792855623746664,16.76305461424021,15.394804318340652,9.1104335791443,8.06225774829855,15.652475842498529,9.433981132056603,12.727922061357855,9.0,12.083045973594572
Stoke City_17_18,64.13267497929586,59.2452529743945,47.70744176750625,35.679125549822544,30.166206257996713,27.349588662354687,30.643106892089126,34.0147027033899,23.769728648009426,18.841443681416774,16.792855623746664,16.401219466856727,15.7797338380595,5.916079783099616,10.04987562112089,7.280109889280518,5.385164807134504,18.49324200890693,6.708203932499369,12.569805089976535
Southampton_17_18,58.137767414994535,54.15717865620402,40.36087214122113,30.495901363953813,25.317977802344327,21.840329667841555,26.343879744638983,23.366642891095847,12.806248474865697,19.339079605813716,11.445523142259598,10.677078252031311,7.615773105863909,9.695359714832659,4.242640687119285,20.396078054371138,10.488088481701515,5.385164807134504,12.083045973594572,20.615528128088304
Swansea City_17_18,62.71363488110062,59.39696961966999,44.87761134463375,34.68429039204925,30.0,25.80697580112788,31.76476034853718,24.1039415863879,14.594519519326424,25.15949125081825,16.673332000533065,16.583123951777,14.317821063276353,13.601470508735444,9.0,22.825424421026653,14.177446878757825,6.0,13.96424004376894,18.275666882497067
West Brom_17_18,63.34824385884742,59.91660871578097,45.34313619501854,35.958309192730404,31.20897306865447,27.27636339397171,32.66496594212215,24.919871588754223,15.524174696260024,26.28687885618983,17.944358444926362,17.46424919657298,14.45683229480096,15.066519173319364,10.04987562112089,24.351591323771842,15.132745950421556,3.7416573867739413,14.45683229480096,19.6468827043885
Liverpool_18_19,5.196152422706632,10.677078252031311,14.212670403551895,24.839484696748443,30.099833886584822,33.61547262794322,30.14962686336267,39.153543900903784,44.395945760846224,43.37049688440288,44.27188724235731,45.13313638558703,48.093658625644196,55.25395913416522,54.48853090330111,62.69768735766894,57.83597496368502,55.910642993977454,62.617888817813075,71.76350047203663
Manchester City_18_19,8.774964387392123,2.8284271247461903,19.339079605813716,28.75760768909681,32.802438933713454,37.33630940518894,31.25699921617557,46.09772228646444,49.20365840057018,43.37049688440288,46.62617290749907,47.10626285325551,50.00999900019995,56.789083458002736,56.789083458002736,62.93647591023825,59.06775770248944,59.36328831862332,63.96092557178953,73.85120175054702
Tottenham_18_19,15.362291495737216,13.601470508735444,9.433981132056603,14.352700094407323,19.519221295943137,23.345235059857504,19.6468827043885,32.155870381627054,35.608987629529715,32.526911934581186,33.98529093593286,34.95711658589707,38.28837943815329,44.654227123532216,44.384682042344295,51.61395160225576,47.30750469005948,46.9148164229596,52.21110992882645,61.1310068623117
Chelsea_18_19,22.494443758403985,20.46948949045872,6.4031242374328485,7.483314773547883,12.449899597988733,15.652475842498529,13.490737563232042,23.452078799117146,26.720778431774775,26.720778431774775,26.248809496813376,27.202941017470888,30.23243291566195,37.389838191679836,36.41428291206625,45.5411901469428,40.024992192379,38.09199390948182,44.721359549995796,53.749418601506754
Manchester Utd_18_19,28.460498941515414,23.043437243605826,17.11724276862369,10.0,10.723805294763608,15.524174696260024,8.831760866327848,30.23243291566195,29.154759474226502,19.235384061671343,23.430749027719962,24.166091947189145,27.820855486487112,32.71085446759225,33.61547262794322,38.28837943815329,35.185224171518364,38.301436004411116,40.24922359499622,49.4064773081425
Arsenal_18_19,28.982753492378876,22.912878474779202,18.35755975068582,12.24744871391589,12.36931687685298,17.233687939614086,9.695359714832659,32.155870381627054,30.59411708155671,19.131126469708992,24.228082879171435,24.779023386727733,28.319604517012593,33.075670817082454,34.20526275297414,38.2099463490856,35.41186241925155,39.153543900903784,40.47221268969612,49.84977432245807
Wolves_18_19,41.6293165929973,38.28837943815329,24.413111231467404,13.152946437965905,8.602325267042627,4.47213595499958,11.445523142259598,15.132745950421556,10.246950765959598,13.96424004376894,7.874007874011811,9.433981132056603,12.68857754044952,19.05255888325765,17.578395831246947,28.583211855912904,21.840329667841555,20.248456731316587,26.248809496813376,34.72751070837067
Watford_18_19,45.0,41.060930335295616,27.712812921102035,16.881943016134134,11.575836902790225,8.48528137423857,13.076696830622021,17.69180601295413,10.04987562112089,11.445523142259598,3.7416573867739413,5.0,8.306623862918075,15.066519173319364,13.601470508735444,24.919871588754223,17.69180601295413,17.146428199482248,22.11334438749598,31.20897306865447
Everton_18_19,44.82186966202994,40.19950248448356,27.964262908219126,17.291616465790582,11.489125293076057,9.899494936611665,11.704699910719626,21.18962010041709,13.601470508735444,8.06225774829855,4.242640687119285,4.358898943540674,8.06225774829855,14.45683229480096,14.035668847618199,23.430749027719962,16.881943016134134,18.867962264113206,21.61018278497431,31.400636936215164
Bournemouth_18_19,48.744230427815765,43.37049688440288,33.301651610693426,21.587033144922902,15.905973720586866,15.132745950421556,15.297058540778355,28.178005607210743,20.0,3.1622776601683795,8.660254037844387,8.602325267042627,11.74734012447073,12.083045973594572,14.7648230602334,17.549928774784245,14.352700094407323,22.64950330581225,19.44222209522358,28.653097563788805
Leicester City_18_19,47.02127178203499,43.61192497471305,29.223278392404914,19.519221295943137,14.89966442575134,11.224972160321824,16.76305461424021,14.866068747318506,5.916079783099616,15.652475842498529,6.324555320336759,7.0,8.06225774829855,15.7797338380595,12.68857754044952,26.589471600616662,18.138357147217054,13.638181696985855,21.840329667841555,30.56141357987225
West Ham_18_19,49.36598018878993,45.14421336118285,32.37282811247729,20.904544960366874,15.427248620541512,12.328828005937952,16.583123951777,20.904544960366874,11.704699910719626,10.344080432788601,1.4142135623730951,3.0,6.4031242374328485,10.344080432788601,9.643650760992955,20.223748416156685,13.152946437965905,15.427248620541512,17.69180601295413,26.570660511172846
Brighton_18_19,54.18486873657626,50.24937810560445,36.565010597564445,26.19160170741759,21.0,17.46424919657298,22.22611077089287,20.83266665599966,10.198039027185569,15.937377450509228,7.14142842854285,6.782329983125268,5.0990195135927845,9.273618495495704,5.0990195135927845,20.493901531919196,11.224972160321824,8.774964387392123,14.352700094407323,23.08679276123039
Crystal Palace_18_19,54.35991169970753,50.73460357586329,36.46916505762094,26.92582403567252,22.045407685048602,18.384776310850235,23.430749027719962,19.209372712298546,8.660254037844387,18.57417562100671,9.38083151964686,9.0,6.708203932499369,12.206555615733702,7.280109889280518,23.388031127053,13.74772708486752,6.48074069840786,16.15549442140351,24.535688292770594
Newcastle Utd_18_19,59.00847396772772,55.74047003748713,41.048751503547585,31.496031496047245,26.888659319497503,22.825424421026653,28.600699292150182,20.83266665599966,11.045361017187261,23.280893453645632,14.177446878757825,14.0,11.575836902790225,13.92838827718412,8.602325267042627,24.372115213907882,14.89966442575134,3.3166247903554,15.748015748023622,22.02271554554524
Southampton_18_19,58.83026432033091,54.24020648928247,41.66533331199932,30.675723300355934,25.099800796022265,22.090722034374522,25.67099530598687,27.367864366808018,16.76305461424021,15.84297951775486,10.677078252031311,9.848857801796104,8.06225774829855,3.3166247903554,2.23606797749979,14.177446878757825,4.58257569495584,11.575836902790225,8.06225774829855,17.72004514666935
Burnley_18_19,61.40032573203501,56.64803615307419,44.598206241955516,33.015148038438355,27.440845468024488,24.515301344262525,27.964262908219126,30.59411708155671,20.149441679609886,16.911534525287763,13.45362404707371,12.884098726725126,11.832159566199232,2.449489742783178,6.0,10.488088481701515,2.8284271247461903,14.866068747318506,6.164414002968976,14.798648586948742
Cardiff City_18_19,65.00769185258002,60.53924347066124,47.92702786528704,36.41428291206625,31.0,27.65863337187866,31.843366656181317,31.68595903550972,21.307275752662516,21.307275752662516,16.76305461424021,16.30950643030009,14.696938456699069,6.782329983125268,7.483314773547883,12.24744871391589,6.0,14.035668847618199,5.0990195135927845,11.090536506409418
Fulham_18_19,71.36525765384722,65.92419889539804,55.08175741568164,43.508619835614184,37.815340802378074,35.41186241925155,37.69615364994153,41.892720131306824,31.38470965295043,25.0,24.454038521274967,23.600847442411894,22.15851980616034,13.152946437965905,16.583123951777,7.280109889280518,10.723805294763608,23.53720459187964,8.06225774829855,10.198039027185569
Huddersfield_18_19,77.6659513557904,73.43704787094863,60.00833275470999,49.416596402423345,44.14748010928823,40.50925820105819,45.05552130427524,40.47221268969612,30.854497241083024,34.95711658589707,29.715315916207253,29.017236257093817,26.19160170741759,20.54263858417414,19.339079605813716,22.360679774997898,18.601075237738275,19.4164878389476,13.92838827718412,9.433981132056603
Liverpool_19_20,10.099504938362077,17.233687939614086,25.67099530598687,34.38022687534217,39.8622628559895,43.30127018922193,40.049968789001575,49.09175083453431,54.71745608121781,52.76362383309168,54.30469592954186,55.33534132902769,58.60034129593445,65.02307282803544,64.66838485689897,71.70774016799024,67.72001181334805,66.61080993352356,72.62231062146122,81.27115109311545
Manchester City_19_20,19.621416870348583,10.862780491200215,19.44222209522358,24.186773244895647,26.419689627245813,31.464265445104548,23.600847442411894,43.393547907494266,43.87482193696061,33.83784863137726,38.91015291668744,39.102429592034305,41.98809355043403,47.968739820845826,48.692915295759406,53.0,49.98999899979995,52.51666402200353,54.89080068645383,65.05382386916237
Leicester City_19_20,19.72308292331602,14.142135623730951,9.486832980505138,13.379088160259652,16.3707055437449,21.118712081942874,14.594519519326424,31.89043743820395,33.18132004607411,27.2213151776324,29.899832775452108,30.380915061926625,33.36165463522455,40.162171256046406,40.06245124802026,46.9148164229596,42.485291572496,42.941821107167776,47.36032094485847,57.21887800367987
