Team,Chelsea_21_22,Manchester City_21_22,Liverpool_21_22,West Ham_21_22,Arsenal_21_22,Wolves_21_22,Tottenham_21_22,Manchester Utd_21_22,Brighton_21_22,Crystal Palace_21_22,Everton_21_22,Leicester City_21_22,Southampton_21_22,Brentford_21_22,Aston Villa_21_22,Watford_21_22,Leeds United_21_22,Burnley_21_22,Norwich City_21_22,Newcastle Utd_21_22
Southampton_16_17,24.758836806279895,18.681541692269406,25.514701644346147,14.352700094407323,7.874007874011811,5.0,7.14142842854285,12.409673645990857,3.605551275463989,8.06225774829855,8.12403840463596,9.899494936611665,2.23606797749979,6.48074069840786,9.0,9.0,8.54400374531753,9.643650760992955,16.911534525287763,17.26267650163207
Burnley_16_17,28.478061731796284,22.561028345356956,27.586228448267445,15.811388300841896,6.6332495807108,8.660254037844387,5.385164807134504,9.695359714832659,5.916079783099616,7.54983443527075,5.0990195135927845,5.477225575051661,5.0,5.477225575051661,5.196152422706632,5.196152422706632,3.3166247903554,5.916079783099616,10.770329614269007,12.0
Stoke City_16_17,27.748873851023216,21.95449840010015,26.30589287593181,15.0,7.280109889280518,9.273618495495704,6.6332495807108,8.306623862918075,6.48074069840786,6.164414002968976,3.605551275463989,4.123105625617661,5.477225575051661,3.605551275463989,3.1622776601683795,3.1622776601683795,2.449489742783178,4.242640687119285,11.180339887498949,10.816653826391969
Leicester City_16_17,28.30194339616981,22.64950330581225,26.28687885618983,15.427248620541512,8.602325267042627,10.816653826391969,8.18535277187245,7.874007874011811,8.06225774829855,6.4031242374328485,3.7416573867739413,3.7416573867739413,7.0,3.7416573867739413,2.23606797749979,2.23606797749979,2.23606797749979,3.0,10.677078252031311,9.273618495495704
Middlesbrough_16_17,28.372521918222215,22.338307903688676,28.722813232690143,17.72004514666935,10.295630140987,8.306623862918075,9.0,14.142135623730951,6.4031242374328485,10.246950765959598,9.38083151964686,10.770329614269007,3.3166247903554,7.483314773547883,9.433981132056603,9.433981132056603,7.280109889280518,8.306623862918075,14.628738838327793,15.684387141358123
Crystal Palace_16_17,27.964262908219126,22.67156809750927,24.899799195977465,15.132745950421556,10.63014581273465,13.038404810405298,10.770329614269007,6.708203932499369,10.488088481701515,6.48074069840786,4.58257569495584,4.123105625617661,9.695359714832659,4.58257569495584,2.449489742783178,2.449489742783178,5.0990195135927845,3.7416573867739413,12.041594578792296,8.06225774829855
West Ham_16_17,31.20897306865447,25.65151067676132,28.705400188814647,18.027756377319946,10.816653826391969,13.638181696985855,10.198039027185569,9.433981132056603,10.862780491200215,9.273618495495704,6.4031242374328485,5.385164807134504,9.695359714832659,7.0,4.69041575982343,4.69041575982343,3.1622776601683795,3.7416573867739413,7.810249675906654,6.708203932499369
Hull City_16_17,35.91656999213594,30.364452901377952,33.25657829663178,22.516660498395403,14.45683229480096,17.60681686165901,13.490737563232042,13.601470508735444,14.89966442575134,14.142135623730951,11.180339887498949,9.848857801796104,13.638181696985855,12.041594578792296,9.695359714832659,9.695359714832659,7.3484692283495345,8.12403840463596,3.605551275463989,6.4031242374328485
Sunderland_16_17,32.46536616149585,26.795522013948524,30.298514815086232,19.87460691435179,12.68857754044952,14.212670403551895,11.74734012447073,12.041594578792296,11.40175425099138,10.770329614269007,8.306623862918075,8.06225774829855,9.273618495495704,7.54983443527075,6.48074069840786,6.48074069840786,3.1622776601683795,2.449489742783178,7.810249675906654,7.0
Swansea City_16_17,34.84250278036869,29.189039038652847,32.526911934581186,22.293496809607955,15.0,16.431676725154983,13.92838827718412,14.247806848775006,13.638181696985855,13.19090595827292,10.723805294763608,10.344080432788601,11.313708498984761,9.9498743710662,8.831760866327848,8.831760866327848,5.477225575051661,4.69041575982343,6.708203932499369,6.4031242374328485
Manchester City_17_18,11.575836902790225,17.029386365926403,11.045361017187261,21.42428528562855,32.01562118716424,32.155870381627054,34.14674215792775,29.748949561287034,33.49626844888845,30.133038346638727,32.87856444554719,33.66006535941367,35.91656999213594,33.421549934136806,34.438350715445125,34.438350715445125,38.49675310984031,38.34057902536163,46.52956049652737,42.532340636273474
Manchester Utd_17_18,4.69041575982343,2.0,9.486832980505138,9.433981132056603,18.788294228055936,17.60681686165901,20.639767440550294,18.841443681416774,19.235384061671343,17.378147196982766,20.273134932713294,21.61018278497431,21.540659228538015,20.273134932713294,22.045407685048602,22.045407685048602,25.41653005427767,25.573423705088842,34.132096331752024,31.38470965295043
Chelsea_17_18,10.04987562112089,4.58257569495584,12.041594578792296,4.47213595499958,13.19090595827292,12.68857754044952,15.132745950421556,13.92838827718412,14.177446878757825,12.449899597988733,15.165750888103101,16.431676725154983,16.76305461424021,15.556349186104045,17.11724276862369,17.11724276862369,20.42057785666214,20.904544960366874,28.879058156387302,26.720778431774775
Tottenham_17_18,12.68857754044952,6.557438524302,15.264337522473747,5.830951894845301,11.045361017187261,9.433981132056603,12.68857754044952,13.416407864998739,11.180339887498949,10.816653826391969,13.416407864998739,14.966629547095765,13.674794331177344,13.416407864998739,15.394804318340652,15.394804318340652,18.138357147217054,18.788294228055936,26.795522013948524,25.25866188063018
Liverpool_17_18,15.937377450509228,11.74734012447073,12.884098726725126,3.3166247903554,11.180339887498949,13.341664064126334,13.341664064126334,7.54983443527075,13.341664064126334,8.48528137423857,10.816653826391969,11.357816691600547,15.556349186104045,12.041594578792296,12.409673645990857,12.409673645990857,16.55294535724685,16.673332000533065,24.186773244895647,20.904544960366874
Arsenal_17_18,16.0312195418814,11.180339887498949,14.247806848775006,2.449489742783178,9.273618495495704,11.180339887498949,11.445523142259598,7.3484692283495345,11.357816691600547,7.280109889280518,9.695359714832659,10.488088481701515,13.74772708486752,10.862780491200215,11.532562594670797,11.532562594670797,15.394804318340652,15.7797338380595,23.280893453645632,20.639767440550294
Burnley_17_18,19.949937343260004,13.92838827718412,23.280893453645632,12.12435565298214,8.306623862918075,4.242640687119285,8.602325267042627,15.264337522473747,7.0710678118654755,11.661903789690601,12.84523257866513,14.45683229480096,9.486832980505138,12.68857754044952,14.7648230602334,14.7648230602334,15.556349186104045,17.146428199482248,23.345235059857504,24.269322199023193
Watford_17_18,23.043437243605826,18.027756377319946,20.12461179749811,9.486832980505138,7.483314773547883,11.445523142259598,9.0,1.4142135623730951,9.9498743710662,4.58257569495584,4.69041575982343,4.242640687119285,11.357816691600547,7.0710678118654755,5.916079783099616,5.916079783099616,9.9498743710662,10.344080432788601,16.73320053068151,14.0
Brighton_17_18,23.2163735324878,17.11724276862369,23.853720883753127,12.24744871391589,5.656854249492381,3.3166247903554,5.385164807134504,10.677078252031311,1.7320508075688772,6.4031242374328485,6.782329983125268,8.602325267042627,3.0,5.830951894845301,8.18535277187245,8.18535277187245,8.660254037844387,9.9498743710662,17.204650534085253,17.320508075688775
Huddersfield_17_18,29.13760456866693,23.043437243605826,29.410882339705484,17.26267650163207,7.0710678118654755,7.54983443527075,5.0,12.806248474865697,5.385164807134504,10.04987562112089,8.246211251235321,8.94427190999916,4.358898943540674,8.246211251235321,8.774964387392123,8.774964387392123,6.4031242374328485,9.0,12.24744871391589,15.165750888103101
Newcastle Utd_17_18,26.19160170741759,20.09975124224178,26.570660511172846,15.0,7.0,5.477225575051661,5.830951894845301,11.789826122551595,3.1622776601683795,7.874007874011811,7.14142842854285,8.660254037844387,0.0,5.916079783099616,7.874007874011811,7.874007874011811,6.782329983125268,8.366600265340756,14.866068747318506,15.7797338380595
Leicester City_17_18,25.45584412271571,19.849433241279208,23.53720459187964,12.84523257866513,7.681145747868608,9.38083151964686,7.874007874011811,6.4031242374328485,6.928203230275509,3.7416573867739413,2.23606797749979,3.605551275463989,6.48074069840786,1.0,2.0,2.0,4.898979485566356,4.898979485566356,13.674794331177344,11.445523142259598
Bournemouth_17_18,26.77685567799177,20.71231517720798,27.0,15.620499351813308,7.874007874011811,6.4031242374328485,6.708203932499369,12.083045973594572,4.123105625617661,8.18535277187245,7.3484692283495345,8.831760866327848,1.0,5.830951894845301,7.810249675906654,7.810249675906654,6.4031242374328485,7.810249675906654,14.491376746189438,15.297058540778355
Southampton_17_18,28.231188426986208,22.11334438749598,28.792360097775937,17.204650534085253,8.602325267042627,7.0,7.0,13.638181696985855,5.0,9.9498743710662,8.831760866327848,10.099504938362077,2.23606797749979,7.615773105863909,9.219544457292887,9.219544457292887,7.0,8.774964387392123,14.071247279470288,15.937377450509228
Stoke City_17_18,29.68164415931166,24.351591323771842,26.70205984563738,16.24807680927192,10.099504938362077,13.74772708486752,10.04987562112089,7.0710678118654755,11.180339887498949,8.18535277187245,5.477225575051661,3.7416573867739413,10.816653826391969,7.0710678118654755,4.123105625617661,4.123105625617661,5.385164807134504,5.744562646538029,9.899494936611665,7.615773105863909
