Team,Manchester City_21_22,Liverpool_21_22,Chelsea_21_22,West Ham_21_22,Arsenal_21_22,Tottenham_21_22,Manchester Utd_21_22,Wolves_21_22,Brighton_21_22,Aston Villa_21_22,Leicester City_21_22,Crystal Palace_21_22,Southampton_21_22,Brentford_21_22,Leeds United_21_22,Everton_21_22,Watford_21_22,Newcastle Utd_21_22,Burnley_21_22,Norwich City_21_22
Stoke City_16_17,41.8568990729127,36.51027252705737,29.478805945967352,16.73320053068151,13.45362404707371,10.862780491200215,11.704699910719626,20.049937655763422,12.24744871391589,1.7320508075688772,9.273618495495704,4.69041575982343,3.605551275463989,5.0,9.1104335791443,9.643650760992955,14.45683229480096,16.73320053068151,16.881943016134134,25.079872407968907
Burnley_16_17,44.19275958796871,39.42080668885405,31.591137997862628,19.82422760159901,15.362291495737216,11.874342087037917,15.033296378372908,17.46424919657298,9.539392014169456,5.0990195135927845,13.601470508735444,7.280109889280518,3.4641016151377544,3.7416573867739413,9.899494936611665,10.099504938362077,14.212670403551895,16.401219466856727,13.564659966250536,23.108440016582687
Bournemouth_16_17,43.46262762420146,37.22902093797257,31.464265445104548,18.027756377319946,16.55294535724685,15.0,13.19090595827292,25.357444666211933,17.46424919657298,5.477225575051661,4.58257569495584,6.082762530298219,6.48074069840786,7.483314773547883,7.3484692283495345,7.874007874011811,12.569805089976535,14.730919862656235,18.81488772222678,24.657656011875904
West Ham_16_17,44.68780594300866,39.11521443121589,32.341923257592455,19.4164878389476,16.431676725154983,13.74772708486752,14.352700094407323,22.15851980616034,14.177446878757825,3.7416573867739413,9.0,5.744562646538029,2.449489742783178,3.4641016151377544,6.164414002968976,6.782329983125268,11.575836902790225,13.74772708486752,15.427248620541512,22.360679774997898
Southampton_16_17,46.54030511288038,42.43819034784589,33.71943060017473,23.874672772626646,18.466185312619388,15.033296378372908,19.82422760159901,14.142135623730951,7.0710678118654755,11.0,19.949937343260004,12.083045973594572,9.219544457292887,8.660254037844387,15.0,14.317821063276353,17.11724276862369,19.339079605813716,10.63014581273465,23.727621035409346
Watford_16_17,48.25971404805462,42.80186911806539,35.832945734337834,23.08679276123039,19.748417658131498,16.583123951777,18.0,23.173260452512935,15.264337522473747,7.0710678118654755,11.789826122551595,8.660254037844387,3.7416573867739413,3.1622776601683795,4.242640687119285,4.898979485566356,8.94427190999916,10.816653826391969,12.884098726725126,18.708286933869708
Leicester City_16_17,48.02082881417188,42.34383071948026,35.34119409414458,23.021728866442675,19.672315572906,17.029386365926403,18.24828759089466,22.759613353482084,14.560219778561036,6.708203932499369,12.24744871391589,7.3484692283495345,3.3166247903554,2.23606797749979,6.082762530298219,4.58257569495584,8.54400374531753,11.224972160321824,11.090536506409418,19.519221295943137
Middlesbrough_16_17,49.658836071740545,45.661800227323496,36.72873534441391,28.24889378365107,22.825424421026653,20.049937655763422,24.758836806279895,15.362291495737216,10.295630140987,16.0312195418814,24.779023386727733,16.30950643030009,14.177446878757825,13.379088160259652,19.4164878389476,17.916472867168917,19.621416870348583,21.95449840010015,9.219544457292887,25.03996805109783
Crystal Palace_16_17,51.254268114957995,44.15880433163923,39.11521443121589,26.28687885618983,25.179356624028344,23.93741840717165,22.045407685048602,31.953090617340916,23.600847442411894,12.96148139681572,10.816653826391969,12.041594578792296,11.74734012447073,11.575836902790225,8.48528137423857,6.164414002968976,7.0710678118654755,9.539392014169456,17.146428199482248,20.83266665599966
Hull City_16_17,59.00847396772772,52.86775955154521,46.850827100489916,33.555923471125034,31.12876483254676,28.071337695236398,28.478061731796284,34.14674215792775,26.49528259898354,18.24828759089466,18.2208671582886,18.973665961010276,15.264337522473747,14.45683229480096,8.774964387392123,9.1104335791443,5.916079783099616,2.449489742783178,16.401219466856727,10.44030650891055
