Team,Manchester City_21_22,Liverpool_21_22,Chelsea_21_22,Arsenal_21_22,Manchester Utd_21_22,West Ham_21_22,Tottenham_21_22,Wolves_21_22,Brighton_21_22,Aston Villa_21_22,Leicester City_21_22,Southampton_21_22,Crystal Palace_21_22,Brentford_21_22,Leeds United_21_22,Everton_21_22,Newcastle Utd_21_22,Burnley_21_22,Norwich City_21_22,Watford_21_22
Tottenham_18_19,14.45683229480096,12.36931687685298,7.14142842854285,15.297058540778355,16.24807680927192,14.491376746189438,22.737634001804146,30.822070014844883,29.223278392404914,28.89636655359978,30.033314835362415,32.7566787083184,30.740852297878796,35.52463933666322,37.77565353504821,35.4400902933387,43.22036556994862,41.060930335295616,51.40038910358559,44.48595283907045
Chelsea_18_19,17.11724276862369,18.138357147217054,6.4031242374328485,12.806248474865697,16.30950643030009,16.431676725154983,20.223748416156685,24.698178070456937,24.779023386727733,28.372521918222215,31.496031496047245,31.12876483254676,29.9833287011299,34.08812109811862,37.69615364994153,34.785054261852174,42.731721238442994,38.0,49.73932046178355,43.46262762420146
Arsenal_18_19,25.495097567963924,19.026297590440446,15.165750888103101,14.035668847618199,10.63014581273465,6.708203932499369,18.920887928424502,31.670175244226233,27.03701166919155,20.73644135332772,19.4164878389476,25.69046515733026,22.759613353482084,27.94637722496424,28.39013913315678,26.851443164195103,34.0147027033899,35.510561809129406,43.393547907494266,35.86084215408221
Manchester Utd_18_19,26.19160170741759,20.346989949375804,15.165750888103101,12.36931687685298,8.774964387392123,5.385164807134504,17.029386365926403,29.9833287011299,25.357444666211933,19.339079605813716,18.466185312619388,24.166091947189145,21.494185260204677,26.476404589747453,27.09243436828813,25.553864678361276,32.7566787083184,34.07345007480164,41.892720131306824,34.61213659975356
Watford_18_19,37.69615364994153,33.18132004607411,22.693611435820433,10.099504938362077,7.483314773547883,10.488088481701515,6.4031242374328485,19.949937343260004,12.884098726725126,5.916079783099616,11.045361017187261,9.433981132056603,8.306623862918075,12.083045973594572,15.066519173319364,12.328828005937952,20.09975124224178,19.44222209522358,28.035691537752374,21.236760581595302
Leicester City_18_19,39.408120990476064,36.72873534441391,23.853720883753127,11.313708498984761,13.19090595827292,16.911534525287763,6.708203932499369,11.045361017187261,3.7416573867739413,11.874342087037917,19.28730152198591,10.816653826391969,12.449899597988733,13.638181696985855,19.72308292331602,15.937377450509228,23.108440016582687,15.748015748023622,28.178005607210743,22.825424421026653
West Ham_18_19,39.52214569073901,35.24202037341219,24.372115213907882,11.357816691600547,9.433981132056603,12.68857754044952,6.164414002968976,18.841443681416774,11.445523142259598,5.0990195135927845,11.532562594670797,7.483314773547883,7.3484692283495345,10.246950765959598,13.92838827718412,11.0,18.681541692269406,17.46424919657298,26.13426869074396,19.6468827043885
Everton_18_19,37.960505792204614,33.06055050963308,22.561028345356956,10.862780491200215,8.602325267042627,10.677078252031311,8.06225774829855,20.199009876724155,12.806248474865697,5.385164807134504,10.862780491200215,9.1104335791443,7.0,11.74734012447073,15.132745950421556,11.74734012447073,19.849433241279208,18.49324200890693,28.142494558940577,20.615528128088304
Wolves_18_19,43.76071297408213,40.82891132518721,28.30194339616981,15.165750888103101,15.937377450509228,19.79898987322333,8.660254037844387,12.727922061357855,5.0990195135927845,10.816653826391969,18.49324200890693,7.810249675906654,11.180339887498949,10.198039027185569,16.64331697709324,13.19090595827292,19.44222209522358,12.409673645990857,23.62202362203543,19.1049731745428
Bournemouth_18_19,47.02127178203499,41.2189276910499,32.817678162843876,21.02379604162864,17.029386365926403,18.547236990991408,16.09347693943108,28.600699292150182,20.83266665599966,7.0,5.0990195135927845,9.643650760992955,8.54400374531753,9.38083151964686,5.744562646538029,7.0710678118654755,11.575836902790225,19.748417658131498,21.307275752662516,14.45683229480096
Brighton_18_19,45.70557952810576,41.96427051671457,29.9833287011299,17.146428199482248,16.97056274847714,20.248456731316587,10.816653826391969,16.06237840420901,8.12403840463596,8.660254037844387,16.30950643030009,4.58257569495584,8.306623862918075,6.782329983125268,13.674794331177344,9.797958971132712,16.1245154965971,9.899494936611665,21.118712081942874,15.588457268119896
Crystal Palace_18_19,50.368641037852115,46.9148164229596,34.45286635390443,22.22611077089287,22.715633383201094,25.88435821108957,16.15549442140351,16.30950643030009,9.899494936611665,13.96424004376894,21.213203435596427,9.0,12.68857754044952,9.486832980505138,16.583123951777,12.806248474865697,16.97056274847714,5.0990195135927845,19.339079605813716,15.066519173319364
Burnley_18_19,55.5517776493246,50.299105359837164,40.54626986542659,27.730849247724095,25.03996805109783,27.367864366808018,21.118712081942874,29.34280150224242,21.93171219946131,12.806248474865697,14.45683229480096,10.295630140987,12.409673645990857,7.54983443527075,4.47213595499958,7.14142842854285,3.3166247903554,14.866068747318506,11.357816691600547,6.324555320336759
Southampton_18_19,54.8270006474912,49.658836071740545,39.293765408777,26.77685567799177,24.71841418861655,27.0,20.346989949375804,26.92582403567252,19.4164878389476,12.0,15.394804318340652,8.366600265340756,10.677078252031311,5.385164807134504,6.928203230275509,5.916079783099616,5.196152422706632,10.63014581273465,12.041594578792296,4.47213595499958
Cardiff City_18_19,58.12056434688156,53.34791467339656,42.7551166528639,29.68164415931166,27.76688675382964,30.479501308256342,22.67156809750927,28.30194339616981,21.470910553583888,15.620499351813308,18.788294228055936,11.575836902790225,14.7648230602334,8.774964387392123,9.16515138991168,9.9498743710662,5.916079783099616,12.206555615733702,7.810249675906654,5.656854249492381
Newcastle Utd_18_19,56.674509261219015,52.99056519796708,40.76763422127902,28.30194339616981,28.30194339616981,31.416556144810016,21.72556098240043,21.470910553583888,16.0312195418814,17.944358444926362,24.1039415863879,12.569805089976535,16.431676725154983,11.445523142259598,17.029386365926403,14.45683229480096,15.264337522473747,4.58257569495584,14.45683229480096,12.569805089976535
Fulham_18_19,64.9307323229917,59.16079783099616,49.8998997994986,37.376463182061514,34.539832078341085,36.4828726939094,30.789608636681304,37.749172176353746,30.675723300355934,22.045407685048602,22.11334438749598,19.544820285692065,21.118712081942874,16.583123951777,12.884098726725126,15.7797338380595,7.54983443527075,20.223748416156685,8.306623862918075,8.602325267042627
Huddersfield_18_19,65.43699259593154,60.975404877704584,49.47726750741192,37.0,36.15245496505044,38.84584919911006,30.23243291566195,31.064449134018133,25.632011235952593,24.166091947189145,28.30194339616981,19.339079605813716,22.40535650240808,17.0,19.390719429665317,18.627936010197157,14.798648586948742,12.206555615733702,9.433981132056603,11.489125293076057
Liverpool_19_20,8.306623862918075,17.804493814764857,22.338307903688676,32.71085446759225,34.46737587922817,33.25657829663178,39.81205847478876,44.69899327725402,45.58508528016593,47.44470465710583,48.518037882832814,50.96076922496363,49.4064773081425,53.79591062525106,56.098128311023,54.0,61.644140029689765,58.80476171195663,69.18092222571191,63.0158710167526
Manchester City_19_20,17.0,7.280109889280518,19.209372712298546,29.120439557122072,27.964262908219126,23.790754506740637,35.958309192730404,45.628938186199335,42.59107887809371,38.22302970723278,36.49657518178932,43.139309220245984,39.63584236521283,45.45327270945405,46.09772228646444,44.15880433163923,51.43928459844674,51.76871642217914,61.335144900782616,52.92447448959697
Leicester City_19_20,15.297058540778355,11.575836902790225,4.898979485566356,14.866068747318506,15.84297951775486,13.45362404707371,22.494443758403985,30.347981810987037,28.372521918222215,27.85677655436824,29.068883707497267,31.78049716414141,29.427877939124322,34.539832078341085,36.98648401781386,34.336569426778794,42.2729227756965,39.71145930332956,50.724747411889595,43.31281565541543
