Team,Chelsea_21_22,Manchester City_21_22,Liverpool_21_22,West Ham_21_22,Arsenal_21_22,Tottenham_21_22,Wolves_21_22,Manchester Utd_21_22,Brighton_21_22,Leicester City_21_22,Brentford_21_22,Crystal Palace_21_22,Aston Villa_21_22,Everton_21_22,Southampton_21_22,Watford_21_22,Leeds United_21_22,Burnley_21_22,Norwich City_21_22,Newcastle Utd_21_22
West Ham_16_17,31.20897306865447,27.331300737432898,32.4037034920393,16.881943016134134,13.076696830622021,12.24744871391589,14.560219778561036,9.433981132056603,11.832159566199232,8.54400374531753,8.602325267042627,8.12403840463596,6.4031242374328485,5.385164807134504,7.0,4.123105625617661,4.47213595499958,4.47213595499958,8.18535277187245,7.874007874011811
Crystal Palace_16_17,30.033314835362415,26.851443164195103,28.948229652260256,15.905973720586866,16.15549442140351,16.30950643030009,18.920887928424502,8.06225774829855,16.55294535724685,7.681145747868608,11.045361017187261,8.831760866327848,7.681145747868608,8.774964387392123,13.152946437965905,4.123105625617661,10.862780491200215,9.273618495495704,14.177446878757825,8.366600265340756
Hull City_16_17,35.91656999213594,31.953090617340916,36.90528417449187,21.37755832643195,16.76305461424021,15.684387141358123,18.384776310850235,13.601470508735444,15.684387141358123,12.449899597988733,13.490737563232042,13.038404810405298,11.090536506409418,10.246950765959598,10.44030650891055,8.306623862918075,8.12403840463596,8.602325267042627,4.58257569495584,6.48074069840786
Swansea City_16_17,33.27160951922825,29.698484809834994,33.391615714128,18.973665961010276,16.673332000533065,16.09347693943108,18.24828759089466,11.045361017187261,15.524174696260024,10.295630140987,11.445523142259598,10.344080432788601,8.831760866327848,8.48528137423857,10.677078252031311,4.898979485566356,7.810249675906654,6.4031242374328485,9.055385138137417,4.358898943540674
Sunderland_16_17,34.19064199455752,30.364452901377952,35.679125549822544,20.445048300260872,16.431676725154983,15.264337522473747,16.278820596099706,13.490737563232042,13.45362404707371,12.806248474865697,11.180339887498949,11.357816691600547,10.198039027185569,8.602325267042627,7.874007874011811,7.874007874011811,5.0,4.123105625617661,6.48074069840786,7.0
Manchester City_17_18,13.379088160259652,17.029386365926403,9.9498743710662,24.166091947189145,31.71750305430741,33.8673884437522,34.713109915419565,31.591137997862628,36.013886210738214,32.71085446759225,33.8673884437522,33.03028912982749,34.438350715445125,36.11094017053558,39.87480407475377,37.52332607858744,40.85339643163099,40.70626487409524,48.68264577855234,46.16275555033516
Manchester Utd_17_18,3.3166247903554,1.4142135623730951,12.12435565298214,12.328828005937952,18.05547008526779,19.87460691435179,19.313207915827967,20.639767440550294,21.0,21.77154105707724,20.273134932713294,20.46948949045872,22.22611077089287,23.15167380558045,25.65151067676132,26.076809620810597,27.2213151776324,27.440845468024488,35.805027579936315,35.02855977627399
Chelsea_17_18,10.04987562112089,5.830951894845301,15.132745950421556,5.830951894845301,11.224972160321824,13.152946437965905,13.45362404707371,13.92838827718412,14.730919862656235,14.966629547095765,13.601470508735444,13.74772708486752,15.362291495737216,16.30950643030009,19.026297590440446,19.339079605813716,20.518284528683193,20.904544960366874,28.879058156387302,28.372521918222215
Arsenal_17_18,14.491376746189438,10.63014581273465,17.029386365926403,2.23606797749979,8.306623862918075,10.488088481701515,12.727922061357855,9.433981132056603,13.19090595827292,10.344080432788601,10.862780491200215,10.295630140987,11.445523142259598,12.84523257866513,16.401219466856727,15.264337522473747,17.4928556845359,17.944358444926362,25.15949125081825,24.372115213907882
Tottenham_17_18,12.68857754044952,8.366600265340756,18.466185312619388,6.782329983125268,9.273618495495704,10.816653826391969,10.04987562112089,13.416407864998739,11.532562594670797,14.352700094407323,11.357816691600547,12.206555615733702,13.92838827718412,14.352700094407323,16.24807680927192,18.05547008526779,18.027756377319946,18.57417562100671,26.645825188948457,26.851443164195103
