Team,Manchester City_21_22,Liverpool_21_22,Chelsea_21_22,Arsenal_21_22,West Ham_21_22,Manchester Utd_21_22,Wolves_21_22,Tottenham_21_22,Brighton_21_22,Leicester City_21_22,Southampton_21_22,Aston Villa_21_22,Crystal Palace_21_22,Brentford_21_22,Leeds United_21_22,Everton_21_22,Newcastle Utd_21_22,Burnley_21_22,Watford_21_22,Norwich City_21_22
Burnley_16_17,48.61069841094653,45.89117562233506,33.12099032335839,21.540659228538015,19.82422760159901,16.55294535724685,20.46948949045872,11.575836902790225,10.816653826391969,15.297058540778355,4.47213595499958,5.744562646538029,6.708203932499369,7.810249675906654,16.431676725154983,9.433981132056603,12.206555615733702,10.246950765959598,13.74772708486752,22.64950330581225
Southampton_16_17,49.66890375275057,47.34976240700686,33.83784863137726,23.15167380558045,22.20360331117452,19.131126469708992,18.411952639521967,13.92838827718412,8.54400374531753,19.44222209522358,8.717797887081348,9.219544457292887,9.0,10.04987562112089,20.049937655763422,11.874342087037917,15.0,6.4031242374328485,15.0,23.68543856465402
Bournemouth_16_17,52.23983154643591,47.37087712930804,38.09199390948182,27.748873851023216,22.38302928559939,20.73644135332772,34.36568055487916,20.248456731316587,25.15949125081825,6.928203230275509,11.575836902790225,10.816653826391969,12.36931687685298,11.789826122551595,7.3484692283495345,10.04987562112089,10.04987562112089,21.97726097583591,14.177446878757825,23.043437243605826
Middlesbrough_16_17,55.98214000911362,54.00925846556311,39.97499218261337,30.610455730027933,30.099833886584822,27.331300737432898,21.400934559032695,22.20360331117452,13.564659966250536,27.147743920996454,16.881943016134134,16.73320053068151,16.06237840420901,14.89966442575134,25.15949125081825,16.673332000533065,19.339079605813716,4.242640687119285,17.029386365926403,23.874672772626646
Leicester City_16_17,57.784080852774665,54.24020648928247,42.20189569201838,31.11269837220809,28.0178514522438,25.25866188063018,29.8496231131986,21.307275752662516,20.024984394500787,17.60681686165901,10.770329614269007,10.04987562112089,11.180339887498949,3.0,10.488088481701515,4.123105625617661,4.58257569495584,11.180339887498949,3.605551275463989,14.035668847618199
Swansea City_16_17,62.489999199871974,57.77542730261716,48.30113870293329,37.22902093797257,32.54228019054596,30.430248109405877,41.14608122288197,28.495613697550013,31.63858403911275,17.378147196982766,18.81488772222678,18.138357147217054,19.87460691435179,14.45683229480096,4.47213595499958,13.076696830622021,9.539392014169456,25.0,12.449899597988733,16.0312195418814
Hull City_16_17,62.56196927846821,58.83026432033091,47.391982444291145,35.79106033634656,32.49615361854384,29.68164415931166,35.24202037341219,25.826343140289914,25.729360660537214,20.12461179749811,15.652475842498529,15.165750888103101,16.73320053068151,8.602325267042627,8.18535277187245,8.717797887081348,4.898979485566356,17.029386365926403,4.898979485566356,9.055385138137417
Crystal Palace_16_17,57.15767664977295,52.364109846344185,42.05948168962618,32.18695387886216,27.147743920996454,25.41653005427767,35.369478367654786,23.874672772626646,25.39685019840059,13.19090595827292,12.96148139681572,11.357816691600547,12.206555615733702,8.774964387392123,7.0710678118654755,6.4031242374328485,6.708203932499369,18.138357147217054,8.306623862918075,18.788294228055936
Sunderland_16_17,59.61543424315552,55.883808030591474,44.0,33.12099032335839,29.765752132274432,27.147743920996454,31.906112267087632,23.430749027719962,22.045407685048602,18.627936010197157,12.68857754044952,11.74734012447073,12.727922061357855,4.898979485566356,10.246950765959598,5.0990195135927845,4.69041575982343,12.328828005937952,1.4142135623730951,12.96148139681572
Manchester City_17_18,14.491376746189438,14.247806848775006,28.42534080710379,38.79432948254165,39.72404813208241,42.95346318982906,53.23532661682466,48.91829923454004,55.65968020030299,53.018864567246254,57.0701322935211,57.67148342118486,57.043842787806646,64.68384651518491,66.85057965343307,64.35837163881635,67.1863081289633,66.2117814289874,70.35623639735144,80.39900496896712
Manchester Utd_17_18,10.816653826391969,12.409673645990857,6.4031242374328485,17.4928556845359,21.047565179849187,23.366642891095847,29.13760456866693,27.85677655436824,32.51153641401772,36.851051545376556,37.12142238654117,37.960505792204614,37.134889255254286,44.77722635447622,49.558046773455466,45.02221673796171,48.28043081829324,44.14748010928823,50.78385570237849,60.63827174318213
Chelsea_17_18,15.748015748023622,16.76305461424021,4.69041575982343,13.96424004376894,18.275666882497067,20.12461179749811,24.24871130596428,23.93741840717165,27.748873851023216,34.132096331752024,33.27160951922825,34.14674215792775,33.25657829663178,40.8166632639171,46.2709412050371,41.20679555607303,44.56455991031439,39.57271787481876,46.84015371452148,56.621550667568265
Liverpool_17_18,20.074859899884732,14.071247279470288,12.529964086141668,16.24807680927192,14.035668847618199,17.72004514666935,33.63034344160047,24.535688292770594,32.449961479175904,26.645825188948457,31.04834939252005,31.51190251317746,31.0,38.48376280978771,40.52159917870962,38.01315561749642,40.80441152620633,41.24318125460256,44.01136216933077,54.230987451824994
Tottenham_17_18,19.72308292331602,16.911534525287763,4.58257569495584,10.295630140987,11.445523142259598,14.352700094407323,24.839484696748443,19.79898987322333,25.238858928247925,27.018512172212592,27.748873851023216,28.372521918222215,27.477263328068172,35.34119409414458,39.89987468652001,35.369478367654786,38.71692136521188,35.566838487557476,41.2189276910499,51.54609587543949
Arsenal_17_18,27.51363298439521,23.323807579381203,14.247806848775006,8.602325267042627,3.605551275463989,7.3484692283495345,25.632011235952593,14.352700094407323,22.737634001804146,18.0,20.73644135332772,21.37755832643195,21.0,28.337254630609507,31.272991542223778,28.089143810376278,30.93541659651604,31.160872901765764,34.07345007480164,44.12482294582042
Leicester City_17_18,37.960505792204614,34.55430508634199,22.561028345356956,12.24744871391589,8.54400374531753,6.324555320336759,20.024984394500787,7.0710678118654755,13.076696830622021,12.083045973594572,9.273618495495704,9.9498743710662,9.433981132056603,16.881943016134134,22.22611077089287,17.0,20.322401432901575,19.209372712298546,22.825424421026653,33.12099032335839
Burnley_17_18,46.57252408878007,46.561786907291264,31.921779399024736,22.759613353482084,25.787593916455254,22.759613353482084,7.810249675906654,17.029386365926403,7.280109889280518,30.0,20.049937655763422,21.18962010041709,20.71231517720798,23.043437243605826,32.58834147360065,25.0,27.730849247724095,16.09347693943108,27.65863337187866,33.98529093593286
Everton_17_18,51.088159097779204,47.968739820845826,35.86084215408221,24.020824298928627,21.540659228538015,18.35755975068582,24.372115213907882,13.96424004376894,14.89966442575134,13.74772708486752,4.58257569495584,5.477225575051661,7.483314773547883,5.0990195135927845,12.449899597988733,6.6332495807108,8.48528137423857,12.083045973594572,10.954451150103322,19.6468827043885
Watford_17_18,51.30302135352264,46.82947789587238,36.6333181680284,25.98076211353316,21.118712081942874,19.1049731745428,31.176914536239792,17.804493814764857,21.77154105707724,7.280109889280518,8.18535277187245,7.3484692283495345,9.055385138137417,8.602325267042627,7.810249675906654,7.0710678118654755,8.12403840463596,18.49324200890693,12.083045973594572,21.863211109075447
West Ham_17_18,51.66236541235796,47.686476070265456,36.61966684720111,25.495097567963924,21.470910553583888,18.973665961010276,28.653097563788805,16.431676725154983,19.05255888325765,9.899494936611665,5.830951894845301,5.196152422706632,7.280109889280518,5.385164807134504,8.602325267042627,4.58257569495584,6.4031242374328485,15.264337522473747,10.04987562112089,20.024984394500787
Bournemouth_17_18,52.278102490430925,49.25444142409901,36.565010597564445,25.495097567963924,23.2163735324878,20.248456731316587,23.515952032609693,15.748015748023622,13.601470508735444,16.431676725154983,6.48074069840786,6.4031242374328485,7.14142842854285,4.58257569495584,14.696938456699069,6.557438524302,9.539392014169456,7.810249675906654,9.9498743710662,19.519221295943137
Crystal Palace_17_18,54.58021619598075,51.82663407939975,39.0,27.49545416973504,25.709920264364882,22.494443758403985,24.228082879171435,17.378147196982766,14.730919862656235,18.708286933869708,8.94427190999916,9.219544457292887,10.246950765959598,5.385164807134504,14.89966442575134,7.810249675906654,9.433981132056603,8.06225774829855,9.433981132056603,17.233687939614086
Huddersfield_17_18,58.89821729050889,56.10704055642215,43.57751713900185,31.591137997862628,29.748949561287034,26.419689627245813,28.30194339616981,21.213203435596427,19.313207915827967,20.97617696340303,12.727922061357855,13.0,14.45683229480096,7.14142842854285,13.490737563232042,9.219544457292887,8.306623862918075,11.789826122551595,8.06225774829855,12.449899597988733
Newcastle Utd_17_18,54.71745608121781,52.028838157314254,38.8329756778952,28.089143810376278,26.419689627245813,23.430749027719962,23.366642891095847,18.466185312619388,13.784048752090222,20.46948949045872,10.44030650891055,10.295630140987,10.488088481701515,7.211102550927978,17.46424919657298,9.273618495495704,11.74734012447073,4.47213595499958,10.488088481701515,18.867962264113206
