Team,Manchester City_21_22,Liverpool_21_22,Chelsea_21_22,Arsenal_21_22,Manchester Utd_21_22,Tottenham_21_22,West Ham_21_22,Wolves_21_22,Southampton_21_22,Aston Villa_21_22,Brighton_21_22,Leicester City_21_22,Crystal Palace_21_22,Newcastle Utd_21_22,Brentford_21_22,Leeds United_21_22,Everton_21_22,Burnley_21_22,Watford_21_22,Norwich City_21_22
Arsenal_17_18,28.142494558940577,28.478061731796284,18.894443627691185,11.661903789690601,7.14142842854285,11.40175425099138,6.782329983125268,30.822070014844883,19.82422760159901,18.547236990991408,29.068883707497267,19.1049731745428,22.02271554554524,29.171904291629644,32.64965543462902,39.91240408695021,34.66987164671943,37.656340767525464,38.67815921162743,49.79959839195493
Burnley_17_18,50.28916384272063,54.644304369257,36.578682316343766,27.294688127912362,27.386127875258307,22.869193252058544,27.073972741361768,5.385164807134504,19.131126469708992,21.470910553583888,8.602325267042627,29.223278392404914,21.6794833886788,25.96150997149434,23.259406699226016,40.024992192379,28.653097563788805,19.87460691435179,29.68164415931166,37.69615364994153
Leicester City_17_18,41.6293165929973,43.289721643826724,28.948229652260256,17.804493814764857,12.569805089976535,10.63014581273465,9.9498743710662,20.42057785666214,4.47213595499958,3.0,14.071247279470288,10.392304845413264,6.6332495807108,15.297058540778355,17.05872210923198,29.154759474226502,20.322401432901575,21.283796653792763,23.853720883753127,35.397740040855716
Bournemouth_17_18,50.12983143797713,52.24940191045253,37.067505985701274,25.15949125081825,20.73644135332772,17.916472867168917,18.841443681416774,19.313207915827967,5.656854249492381,7.280109889280518,8.831760866327848,12.96148139681572,6.324555320336759,9.486832980505138,9.1104335791443,24.372115213907882,13.601470508735444,12.84523257866513,16.401219466856727,27.294688127912362
Everton_17_18,54.4426303552648,56.098128311023,42.2965719651132,29.189039038652847,23.895606290697042,22.045407685048602,22.315913604421397,26.115129714401192,10.246950765959598,11.489125293076057,15.652475842498529,11.180339887498949,10.816653826391969,3.3166247903554,7.874007874011811,17.0,9.273618495495704,15.165750888103101,12.806248474865697,22.181073012818835
Watford_17_18,50.48762224545735,51.12729212465687,38.91015291668744,27.073972741361768,20.639767440550294,20.074859899884732,18.138357147217054,29.068883707497267,9.899494936611665,8.54400374531753,19.44222209522358,4.242640687119285,8.12403840463596,7.3484692283495345,12.041594578792296,18.384776310850235,12.206555615733702,19.672315572906,16.401219466856727,27.440845468024488
Brighton_17_18,58.172158288995945,60.95079983068311,44.598206241955516,33.1058907144937,29.8496231131986,26.343879744638983,28.319604517012593,19.339079605813716,15.394804318340652,17.204650534085253,8.774964387392123,22.293496809607955,15.264337522473747,14.247806848775006,9.695359714832659,26.551836094703507,14.7648230602334,6.164414002968976,14.966629547095765,23.15167380558045
West Ham_17_18,55.65968020030299,56.64803615307419,43.60045871318328,31.400636936215164,25.475478405713993,24.166091947189145,23.194827009486403,29.29163703175362,12.206555615733702,11.916375287812984,18.466185312619388,10.04987562112089,10.04987562112089,2.23606797749979,7.0710678118654755,14.866068747318506,6.48074069840786,15.362291495737216,10.677078252031311,21.6794833886788
Crystal Palace_17_18,57.4543296888929,59.715994507334464,44.24929377967517,32.202484376209235,28.035691537752374,25.079872407968907,26.28687885618983,22.20360331117452,12.96148139681572,14.45683229480096,10.862780491200215,18.110770276274835,12.328828005937952,9.273618495495704,5.196152422706632,21.95449840010015,10.246950765959598,7.0,11.357816691600547,20.904544960366874
Southampton_17_18,55.09083408335728,56.95612346359257,41.88078318274385,30.512292604784715,25.92296279363144,23.259406699226016,23.68543856465402,22.38302928559939,10.862780491200215,11.445523142259598,11.045361017187261,15.556349186104045,8.602325267042627,8.48528137423857,4.58257569495584,22.22611077089287,9.848857801796104,8.06225774829855,11.789826122551595,23.2163735324878
Newcastle Utd_17_18,57.67148342118486,59.9749947894954,44.14748010928823,32.95451410656816,29.068883707497267,25.92296279363144,27.09243436828813,21.213203435596427,14.177446878757825,15.297058540778355,10.04987562112089,20.024984394500787,12.68857754044952,12.041594578792296,6.782329983125268,24.596747752497688,12.083045973594572,4.47213595499958,12.569805089976535,22.494443758403985
Swansea City_17_18,62.10475022089695,64.69930447848725,48.55924216871593,37.0,33.436506994600975,30.116440692751194,31.76476034853718,23.173260452512935,18.601075237738275,20.12461179749811,12.884098726725126,24.20743687382041,17.72004514666935,14.7648230602334,9.433981132056603,25.099800796022265,13.601470508735444,4.358898943540674,12.68857754044952,19.72308292331602
Stoke City_17_18,64.1482657598785,65.23802572120036,52.21110992882645,39.331920878594275,33.645207682521445,32.202484376209235,31.76476034853718,34.942810419312295,20.248456731316587,20.663978319771825,23.790754506740637,18.05547008526779,18.708286933869708,8.246211251235321,10.04987562112089,8.602325267042627,5.744562646538029,16.76305461424021,7.14142842854285,13.379088160259652
Huddersfield_17_18,65.55913361233506,67.62396025078685,52.73518749374084,39.92492955535426,35.397740040855716,32.83291031876401,33.823069050575526,30.099833886584822,20.663978319771825,22.045407685048602,19.313207915827967,22.869193252058544,19.87460691435179,11.704699910719626,8.94427190999916,17.233687939614086,9.273618495495704,10.862780491200215,7.874007874011811,12.083045973594572
West Brom_17_18,63.34824385884742,65.49809157525127,49.73932046178355,38.84584919911006,34.84250278036869,31.796226191169293,32.69556544854363,25.787593916455254,19.849433241279208,20.615528128088304,15.297058540778355,24.372115213907882,17.4928556845359,15.033296378372908,8.774964387392123,24.535688292770594,12.36931687685298,1.7320508075688772,10.816653826391969,19.209372712298546
Liverpool_18_19,4.898979485566356,13.076696830622021,13.74772708486752,25.45584412271571,30.773365106858236,32.4037034920393,32.95451410656816,43.42810150121693,44.82186966202994,44.63182720884279,49.040799340956916,47.80167361086848,48.05205510693585,56.31163290120435,58.60034129593445,68.47627326307996,61.91930232165088,61.204574992397426,65.54387843269576,76.4198926981712
Manchester City_18_19,5.916079783099616,2.8284271247461903,17.60681686165901,28.75760768909681,32.0624390837628,34.88552708502482,33.54101966249684,49.20365840057018,46.62617290749907,45.727453460694704,52.820450584977024,47.43416490252569,49.01020301937138,57.23635208501674,60.07495318350236,68.13222438758329,62.68173577685928,63.66317616958802,66.53570470055908,77.83957862167549
Tottenham_18_19,12.409673645990857,16.76305461424021,9.9498743710662,14.7648230602334,19.4164878389476,21.6794833886788,22.045407685048602,36.27671429443411,34.19064199455752,34.08812109811862,39.93745109543172,36.40054944640259,37.8021163428716,45.17742799230607,48.104053883222775,56.73623181001713,51.02940328869229,51.633322573702344,54.8270006474912,65.34523701081817
Manchester Utd_18_19,24.269322199023193,25.099800796022265,17.146428199482248,10.816653826391969,9.486832980505138,13.74772708486752,11.445523142259598,33.18132004607411,24.166091947189145,23.515952032609693,32.83291031876401,23.83275057562597,27.27636339397171,33.67491648096547,37.456641600656084,44.02272140611028,39.50949253027682,42.43819034784589,43.55456348076513,54.08326913195984
Arsenal_18_19,25.865034312755125,26.038433132583073,19.235384061671343,12.84523257866513,10.295630140987,14.798648586948742,11.704699910719626,34.597687784012386,24.20743687382041,23.345235059857504,33.49626844888845,22.847319317591726,27.018512172212592,33.075670817082454,37.107950630558946,42.82522621072771,38.84584919911006,42.46174749112429,42.95346318982906,53.45091205957107
Chelsea_18_19,25.238858928247925,28.39013913315678,13.92838827718412,2.23606797749979,6.48074069840786,7.681145747868608,9.433981132056603,24.596747752497688,20.248456731316587,20.42057785666214,26.267851073127396,23.874672772626646,24.20743687382041,31.591137997862628,34.19064199455752,44.11349000022555,37.376463182061514,37.66961640367472,41.048751503547585,51.62363799656123
Wolves_18_19,40.90232267243512,43.657759905886145,27.964262908219126,15.524174696260024,12.24744871391589,8.54400374531753,11.445523142259598,15.652475842498529,5.656854249492381,7.810249675906654,11.224972160321824,14.696938456699069,10.954451150103322,17.4928556845359,18.841443681416774,31.78049716414141,22.825424421026653,21.840329667841555,26.019223662515376,36.45545226711637
Watford_18_19,42.49705872175156,44.955533585978046,29.546573405388315,17.378147196982766,13.45362404707371,10.198039027185569,12.083045973594572,16.673332000533065,3.605551275463989,5.830951894845301,10.63014581273465,13.152946437965905,8.774964387392123,15.524174696260024,16.792855623746664,29.949958263743873,20.73644135332772,20.09975124224178,23.958297101421877,34.66987164671943
Everton_18_19,45.4972526643093,47.0,33.0,21.307275752662516,15.7797338380595,14.0,13.341664064126334,21.95449840010015,3.0,1.4142135623730951,13.601470508735444,8.06225774829855,4.123105625617661,11.180339887498949,13.341664064126334,25.15949125081825,16.30950643030009,18.547236990991408,19.949937343260004,31.400636936215164
West Ham_18_19,48.425200051213004,50.33885179461288,35.805027579936315,23.345235059857504,18.384776310850235,16.0312195418814,16.583123951777,20.904544960366874,3.4641016151377544,5.385164807134504,11.40175425099138,10.0,6.0,8.831760866327848,10.723805294763608,23.452078799117146,14.177446878757825,15.905973720586866,17.578395831246947,28.30194339616981
Bournemouth_18_19,49.759421218498915,50.46781152378217,38.691084244306204,26.153393661244042,19.672315572906,19.44222209522358,17.72004514666935,29.899832775452108,10.63014581273465,10.0,20.808652046684813,3.605551275463989,10.816653826391969,8.660254037844387,14.352700094407323,18.24828759089466,14.212670403551895,22.135943621178654,18.439088914585774,28.35489375751565
Leicester City_18_19,47.686476070265456,50.00999900019995,34.36568055487916,23.021728866442675,19.1049731745428,15.937377450509228,17.204650534085253,16.792855623746664,5.196152422706632,6.782329983125268,7.280109889280518,14.247806848775006,6.557438524302,12.68857754044952,12.0,27.586228448267445,16.673332000533065,14.352700094407323,19.339079605813716,30.364452901377952
Crystal Palace_18_19,53.67494760127857,55.98214000911362,40.099875311526844,29.274562336608895,25.495097567963924,22.293496809607955,23.430749027719962,18.627936010197157,11.045361017187261,12.041594578792296,7.483314773547883,18.05547008526779,9.695359714832659,12.409673645990857,8.54400374531753,26.38181191654584,13.96424004376894,8.06225774829855,15.394804318340652,26.1725046566048
Brighton_18_19,54.817880294662984,56.69215113223346,41.737273509418415,30.01666203960727,25.337718918639855,22.737634001804146,23.2163735324878,22.561028345356956,10.198039027185569,11.0,11.224972160321824,14.696938456699069,8.48528137423857,7.3484692283495345,4.358898943540674,21.400934559032695,9.433981132056603,9.0,11.704699910719626,22.912878474779202
