Team,Manchester City_21_22,Liverpool_21_22,Chelsea_21_22,Tottenham_21_22,Arsenal_21_22,West Ham_21_22,Manchester Utd_21_22,Wolves_21_22,Brighton_21_22,Leicester City_21_22,Crystal Palace_21_22,Brentford_21_22,Aston Villa_21_22,Southampton_21_22,Everton_21_22,Leeds United_21_22,Watford_21_22,Burnley_21_22,Newcastle Utd_21_22,Norwich City_21_22
Sunderland_16_17,52.028838157314254,46.67976006793523,42.871902220452036,27.09243436828813,28.460498941515414,26.038433132583073,22.847319317591726,25.41653005427767,20.074859899884732,19.44222209522358,15.652475842498529,14.071247279470288,12.36931687685298,9.695359714832659,8.660254037844387,6.708203932499369,6.324555320336759,8.12403840463596,7.874007874011811,12.083045973594572
Hull City_16_17,56.15158056546583,50.6458290484024,47.37087712930804,31.464265445104548,32.61901286060018,30.066592756745816,26.758176320519304,30.95157508108432,25.553864678361276,21.400934559032695,20.42057785666214,19.339079605813716,16.822603841260722,14.966629547095765,12.206555615733702,8.774964387392123,8.12403840463596,14.0,3.7416573867739413,8.602325267042627
Swansea City_16_17,55.58776843874919,49.658836071740545,47.36032094485847,32.93933818400121,33.03028912982749,29.8496231131986,27.03701166919155,34.713109915419565,28.319604517012593,19.4164878389476,21.118712081942874,21.18962010041709,17.663521732655695,17.52141546793523,12.569805089976535,9.899494936611665,7.54983443527075,17.74823934929885,3.0,13.30413469565007
Manchester City_17_18,12.806248474865697,17.663521732655695,22.825424421026653,40.2119385257662,36.124783736376884,37.69615364994153,41.24318125460256,53.376024580330075,49.47726750741192,46.95742752749558,48.35286961494633,50.882216932834204,51.36146415358503,55.18151864528558,55.46169849544819,58.66856057549052,60.6217782649107,62.64982043070834,67.20863039818622,75.02666192761077
Manchester Utd_17_18,10.488088481701515,9.273618495495704,1.7320508075688772,18.027756377319946,14.52583904633395,17.05872210923198,20.273134932713294,30.4138126514911,26.49528259898354,28.930952282978865,26.94438717061496,28.792360097775937,30.199337741083,33.27160951922825,34.899856733230294,38.18376618407357,40.45985664828782,40.43513323831146,47.21228653645151,53.823786563191554
Chelsea_17_18,19.79898987322333,18.2208671582886,10.246950765959598,10.44030650891055,9.848857801796104,13.74772708486752,15.394804318340652,21.095023109728988,18.0,26.095976701399778,21.213203435596427,21.93171219946131,24.372115213907882,26.324893162176366,29.393876913398138,32.4037034920393,35.14256678161116,33.18132004607411,41.677331968349414,46.9148164229596
Liverpool_17_18,18.601075237738275,12.884098726725126,11.704699910719626,15.066519173319364,9.0,8.306623862918075,12.36931687685298,29.30870177950569,22.67156809750927,18.24828759089466,18.867962264113206,21.840329667841555,21.77154105707724,25.942243542145693,25.80697580112788,29.189039038652847,31.0,33.54101966249684,37.69615364994153,45.552167895721496
Tottenham_17_18,21.470910553583888,17.578395831246947,11.74734012447073,9.16515138991168,5.477225575051661,7.615773105863909,10.295630140987,21.2602916254693,15.7797338380595,20.149441679609886,15.84297951775486,17.4928556845359,19.209372712298546,22.045407685048602,24.1039415863879,27.477263328068172,29.698484809834994,29.086079144497972,36.46916505762094,42.7551166528639
Arsenal_17_18,23.366642891095847,18.81488772222678,14.594519519326424,8.306623862918075,2.23606797749979,3.605551275463989,6.4031242374328485,22.737634001804146,15.937377450509228,15.84297951775486,13.638181696985855,15.84297951775486,16.55294535724685,20.024984394500787,21.118712081942874,24.289915602982237,26.77685567799177,27.94637722496424,33.391615714128,40.162171256046406
Burnley_17_18,37.282703764614496,35.185224171518364,27.586228448267445,12.84523257866513,18.138357147217054,20.615528128088304,18.466185312619388,4.58257569495584,8.12403840463596,27.910571473905726,18.601075237738275,15.84297951775486,20.149441679609886,18.24828759089466,24.372115213907882,26.038433132583073,29.274562336608895,22.47220505424423,34.336569426778794,35.73513677041127
Leicester City_17_18,33.12099032335839,27.94637722496424,24.289915602982237,11.224972160321824,9.899494936611665,7.0710678118654755,4.242640687119285,20.54263858417414,12.041594578792296,9.16515138991168,4.58257569495584,7.483314773547883,6.708203932499369,10.862780491200215,11.180339887498949,14.45683229480096,16.911534525287763,19.131126469708992,23.49468024894146,30.430248109405877
Everton_17_18,37.960505792204614,33.12099032335839,28.948229652260256,12.96148139681572,13.92838827718412,12.24744871391589,8.366600265340756,18.973665961010276,10.816653826391969,10.862780491200215,5.196152422706632,5.0990195135927845,4.123105625617661,6.48074069840786,8.06225774829855,10.344080432788601,13.92838827718412,15.556349186104045,19.849433241279208,25.612496949731394
Watford_17_18,40.47221268969612,34.84250278036869,32.046840717924134,18.466185312619388,17.74823934929885,14.52583904633395,11.789826122551595,24.596747752497688,16.431676725154983,7.0,7.0710678118654755,9.0,4.47213595499958,8.660254037844387,4.242640687119285,7.3484692283495345,9.433981132056603,15.84297951775486,15.7797338380595,23.853720883753127
Huddersfield_17_18,45.552167895721496,40.92676385936225,36.193922141707716,18.920887928424502,21.400934559032695,20.149441679609886,16.30950643030009,18.275666882497067,12.449899597988733,17.029386365926403,10.816653826391969,7.874007874011811,8.06225774829855,3.7416573867739413,8.18535277187245,7.810249675906654,11.661903789690601,9.899494936611665,15.684387141358123,18.601075237738275
Brighton_17_18,44.96665431183423,40.91454509095757,35.05709628591621,18.627936010197157,22.02271554554524,21.563858652847824,18.466185312619388,11.445523142259598,8.366600265340756,22.561028345356956,12.806248474865697,8.774964387392123,12.24744871391589,7.810249675906654,14.352700094407323,15.362291495737216,17.578395831246947,9.0,21.840329667841555,23.043437243605826
