Team,Manchester City_21_22,Liverpool_21_22,Chelsea_21_22,Tottenham_21_22,Arsenal_21_22,West Ham_21_22,Manchester Utd_21_22,Wolves_21_22,Brighton_21_22,Aston Villa_21_22,Leicester City_21_22,Crystal Palace_21_22,Brentford_21_22,Everton_21_22,Southampton_21_22,Leeds United_21_22,Watford_21_22,Burnley_21_22,Newcastle Utd_21_22,Norwich City_21_22
Arsenal_16_17,12.36931687685298,13.114877048604,7.681145747868608,16.522711641858304,16.09347693943108,11.832159566199232,13.892443989449804,27.386127875258307,24.677925358506133,20.12461179749811,20.09975124224178,20.42057785666214,22.58317958127243,24.779023386727733,28.6705423736629,30.56141357987225,30.870698080866262,32.817678162843876,36.05551275463989,41.24318125460256
Tottenham_16_17,13.92838827718412,20.273134932713294,10.770329614269007,11.045361017187261,12.328828005937952,10.344080432788601,14.071247279470288,18.466185312619388,17.146428199482248,18.05547008526779,23.727621035409346,18.384776310850235,19.4164878389476,23.430749027719962,24.919871588754223,28.861739379323623,31.272991542223778,29.631064780058107,35.70714214271425,38.13135192987524
Manchester Utd_16_17,21.0,26.30589287593181,17.291616465790582,3.605551275463989,5.196152422706632,6.0,8.774964387392123,12.884098726725126,10.63014581273465,11.357816691600547,18.867962264113206,12.206555615733702,12.569805089976535,16.55294535724685,17.72004514666935,21.6794833886788,24.839484696748443,22.912878474779202,28.91366458960192,30.740852297878796
Southampton_16_17,29.444863728670914,35.014282800023196,25.865034312755125,8.774964387392123,9.848857801796104,12.727922061357855,14.035668847618199,4.47213595499958,1.7320508075688772,11.0,21.494185260204677,11.357816691600547,9.797958971132712,14.491376746189438,12.24744871391589,17.88854381999832,22.516660498395403,17.05872210923198,25.25866188063018,24.515301344262525
West Brom_16_17,27.51363298439521,31.272991542223778,23.08679276123039,7.14142842854285,6.082762530298219,7.0710678118654755,7.54983443527075,12.24744871391589,8.06225774829855,4.123105625617661,13.92838827718412,4.358898943540674,4.69041575982343,9.16515138991168,10.488088481701515,14.352700094407323,17.233687939614086,15.132745950421556,21.213203435596427,23.727621035409346
Everton_16_17,28.792360097775937,32.89376840679705,24.515301344262525,7.14142842854285,6.4031242374328485,8.602325267042627,8.774964387392123,10.677078252031311,6.4031242374328485,4.58257569495584,15.033296378372908,5.196152422706632,4.242640687119285,8.94427190999916,9.273618495495704,13.638181696985855,17.233687939614086,14.317821063276353,20.83266665599966,22.516660498395403
Bournemouth_16_17,32.4037034920393,34.79942528261063,27.712812921102035,12.083045973594572,10.0,11.090536506409418,8.602325267042627,17.46424919657298,13.19090595827292,3.1622776601683795,8.660254037844387,4.242640687119285,4.58257569495584,3.0,8.306623862918075,8.774964387392123,10.677078252031311,12.24744871391589,15.066519173319364,19.544820285692065
Stoke City_16_17,32.64965543462902,36.373066958946424,28.284271247461902,10.295630140987,9.16515138991168,11.789826122551595,10.677078252031311,12.041594578792296,7.874007874011811,4.242640687119285,14.247806848775006,5.0990195135927845,2.23606797749979,5.744562646538029,5.385164807134504,9.643650760992955,13.92838827718412,10.862780491200215,17.05872210923198,18.49324200890693
Watford_16_17,34.07345007480164,36.68787265568828,29.478805945967352,12.767145334803704,10.816653826391969,12.727922061357855,10.04987562112089,17.26267650163207,13.152946437965905,4.58257569495584,9.899494936611665,5.916079783099616,5.0990195135927845,2.0,7.0710678118654755,7.0710678118654755,10.04987562112089,11.357816691600547,13.92838827718412,17.74823934929885
West Ham_16_17,37.53664875824692,40.07492981902776,32.93933818400121,15.84297951775486,14.035668847618199,16.186414056238647,13.45362404707371,18.708286933869708,14.866068747318506,7.810249675906654,11.575836902790225,8.660254037844387,7.3484692283495345,2.8284271247461903,6.164414002968976,3.7416573867739413,7.810249675906654,9.433981132056603,10.862780491200215,14.52583904633395
Middlesbrough_16_17,34.713109915419565,39.293765408777,30.643106892089126,13.45362404707371,13.379088160259652,15.748015748023622,16.0312195418814,8.366600265340756,5.385164807134504,10.04987562112089,20.199009876724155,9.643650760992955,7.3484692283495345,11.224972160321824,7.0710678118654755,13.19090595827292,17.804493814764857,10.63014581273465,19.79898987322333,18.788294228055936
Leicester City_16_17,35.566838487557476,37.54996671103717,30.740852297878796,15.84297951775486,13.892443989449804,14.491376746189438,12.36931687685298,19.339079605813716,15.132745950421556,6.4031242374328485,9.486832980505138,5.916079783099616,6.164414002968976,2.8284271247461903,7.615773105863909,6.782329983125268,7.280109889280518,9.433981132056603,11.74734012447073,17.291616465790582
Burnley_16_17,38.897300677553446,42.16633728461603,34.42382895611701,16.401219466856727,15.132745950421556,17.72004514666935,15.84297951775486,15.937377450509228,12.529964086141668,9.1104335791443,15.684387141358123,9.433981132056603,7.0710678118654755,5.477225575051661,2.0,4.242640687119285,10.04987562112089,6.082762530298219,11.575836902790225,12.206555615733702
Crystal Palace_16_17,36.72873534441391,37.22902093797257,31.701734968294716,20.12461179749811,17.916472867168917,17.029386365926403,14.798648586948742,25.099800796022265,20.808652046684813,11.090536506409418,7.3484692283495345,10.246950765959598,11.74734012447073,8.602325267042627,13.564659966250536,11.045361017187261,7.0,13.601470508735444,12.24744871391589,20.71231517720798
Sunderland_16_17,41.41255848169731,44.609416046390926,36.89173349139343,19.209372712298546,18.027756377319946,20.346989949375804,18.681541692269406,17.320508075688775,14.247806848775006,11.704699910719626,17.72004514666935,11.532562594670797,9.38083151964686,7.874007874011811,3.7416573867739413,4.898979485566356,9.9498743710662,3.3166247903554,10.295630140987,10.04987562112089
