Team,Chelsea_21_22,Liverpool_21_22,Manchester City_21_22,Manchester Utd_21_22,Everton_21_22,Brighton_21_22,Brentford_21_22,Tottenham_21_22,West Ham_21_22,Aston Villa_21_22,Arsenal_21_22,Wolves_21_22,Leicester City_21_22,Crystal Palace_21_22,Watford_21_22,Leeds United_21_22,Southampton_21_22,Burnley_21_22,Newcastle Utd_21_22,Norwich City_21_22
Arsenal_17_18,7.0710678118654755,6.6332495807108,5.916079783099616,3.7416573867739413,2.23606797749979,4.358898943540674,2.449489742783178,5.477225575051661,4.123105625617661,3.3166247903554,7.0,7.483314773547883,6.708203932499369,7.3484692283495345,7.483314773547883,10.04987562112089,11.0,12.041594578792296,13.152946437965905,17.0
Burnley_17_18,9.16515138991168,10.488088481701515,7.54983443527075,7.3484692283495345,7.0,2.23606797749979,3.1622776601683795,5.0990195135927845,8.660254037844387,5.385164807134504,5.744562646538029,3.7416573867739413,8.306623862918075,7.874007874011811,7.0710678118654755,10.816653826391969,9.643650760992955,11.0,14.247806848775006,16.34013463836819
Liverpool_17_18,10.04987562112089,7.810249675906654,9.273618495495704,6.4031242374328485,4.47213595499958,8.831760866327848,6.708203932499369,7.280109889280518,2.449489742783178,4.69041575982343,8.48528137423857,10.44030650891055,5.656854249492381,7.14142842854285,8.06225774829855,8.717797887081348,11.489125293076057,12.083045973594572,11.045361017187261,16.06237840420901
Watford_17_18,10.63014581273465,9.0,9.695359714832659,7.0,4.898979485566356,7.874007874011811,6.082762530298219,5.385164807134504,3.7416573867739413,3.7416573867739413,6.6332495807108,9.0,4.47213595499958,5.916079783099616,6.708203932499369,7.483314773547883,10.198039027185569,10.862780491200215,10.295630140987,14.7648230602334
Newcastle Utd_17_18,10.44030650891055,11.180339887498949,8.602325267042627,8.06225774829855,7.483314773547883,4.242640687119285,3.605551275463989,4.58257569495584,8.12403840463596,4.242640687119285,4.47213595499958,2.23606797749979,6.6332495807108,5.916079783099616,5.0,8.94427190999916,7.483314773547883,8.831760866327848,12.24744871391589,14.352700094407323
Huddersfield_17_18,12.84523257866513,13.45362404707371,11.045361017187261,10.344080432788601,9.486832980505138,6.164414002968976,5.916079783099616,4.358898943540674,9.695359714832659,5.477225575051661,3.1622776601683795,1.0,6.48074069840786,5.385164807134504,4.123105625617661,7.874007874011811,5.830951894845301,7.211102550927978,11.224972160321824,12.409673645990857
West Brom_17_18,12.449899597988733,12.68857754044952,10.677078252031311,9.643650760992955,8.602325267042627,6.164414002968976,5.385164807134504,3.605551275463989,8.48528137423857,4.242640687119285,2.449489742783178,2.23606797749979,5.0990195135927845,4.123105625617661,3.0,6.782329983125268,5.477225575051661,6.782329983125268,10.198039027185569,12.0
Southampton_17_18,13.416407864998739,13.92838827718412,11.532562594670797,10.862780491200215,10.04987562112089,7.0,6.48074069840786,5.0990195135927845,9.9498743710662,5.744562646538029,3.605551275463989,1.4142135623730951,6.4031242374328485,5.0990195135927845,3.7416573867739413,7.54983443527075,5.0,6.4031242374328485,10.723805294763608,11.789826122551595
Stoke City_17_18,13.856406460551018,13.19090595827292,12.206555615733702,10.488088481701515,9.0,8.54400374531753,7.0710678118654755,4.242640687119285,7.681145747868608,4.123105625617661,3.0,5.477225575051661,2.23606797749979,1.4142135623730951,1.4142135623730951,3.605551275463989,4.58257569495584,5.385164807134504,7.14142842854285,9.9498743710662
Brighton_17_18,14.730919862656235,14.730919862656235,12.884098726725126,11.789826122551595,10.677078252031311,8.602325267042627,7.681145747868608,5.196152422706632,9.899494936611665,5.830951894845301,3.1622776601683795,3.605551275463989,5.0990195135927845,3.605551275463989,2.23606797749979,5.477225575051661,3.1622776601683795,4.47213595499958,8.602325267042627,9.695359714832659
West Ham_17_18,15.652475842498529,14.594519519326424,14.071247279470288,12.12435565298214,10.488088481701515,10.677078252031311,9.1104335791443,5.916079783099616,8.602325267042627,5.830951894845301,4.69041575982343,7.54983443527075,2.449489742783178,2.23606797749979,3.0,1.4142135623730951,4.69041575982343,4.898979485566356,5.0990195135927845,8.366600265340756
Everton_17_18,16.822603841260722,16.401219466856727,15.165750888103101,13.601470508735444,12.083045973594572,10.677078252031311,9.848857801796104,5.744562646538029,10.954451150103322,7.3484692283495345,3.7416573867739413,6.4031242374328485,5.0990195135927845,4.123105625617661,3.605551275463989,3.7416573867739413,3.7416573867739413,4.242640687119285,6.928203230275509,7.483314773547883
Leicester City_17_18,15.427248620541512,14.142135623730951,13.674794331177344,11.916375287812984,10.63014581273465,11.445523142259598,9.273618495495704,7.874007874011811,8.06225774829855,5.916079783099616,6.708203932499369,8.246211251235321,3.0,2.449489742783178,3.4641016151377544,3.0,4.58257569495584,4.58257569495584,4.58257569495584,9.0
Swansea City_17_18,17.029386365926403,17.320508075688775,15.066519173319364,14.352700094407323,13.45362404707371,10.723805294763608,10.099504938362077,7.874007874011811,12.68857754044952,8.660254037844387,5.744562646538029,4.898979485566356,7.810249675906654,6.164414002968976,4.898979485566356,7.280109889280518,3.0,4.123105625617661,9.643650760992955,9.0
Bournemouth_17_18,18.138357147217054,17.74823934929885,16.24807680927192,15.0,13.784048752090222,12.328828005937952,11.180339887498949,8.306623862918075,12.24744871391589,8.717797887081348,6.164414002968976,7.14142842854285,6.48074069840786,5.0,4.358898943540674,4.69041575982343,1.4142135623730951,1.4142135623730951,6.48074069840786,6.164414002968976
Crystal Palace_17_18,26.019223662515376,25.199206336708304,24.24871130596428,22.64950330581225,21.118712081942874,20.09975124224178,19.1049731745428,15.132745950421556,19.131126469708992,16.24807680927192,13.19090595827292,15.066519173319364,13.038404810405298,12.206555615733702,12.12435565298214,9.695359714832659,9.486832980505138,8.366600265340756,8.602325267042627,2.449489742783178
