Team,Chelsea_21_22,Liverpool_21_22,Manchester City_21_22,West Ham_21_22,Manchester Utd_21_22,Arsenal_21_22,Wolves_21_22,Brighton_21_22,Tottenham_21_22,Everton_21_22,Leicester City_21_22,Brentford_21_22,Crystal Palace_21_22,Southampton_21_22,Aston Villa_21_22,Watford_21_22,Leeds United_21_22,Burnley_21_22,Newcastle Utd_21_22,Norwich City_21_22
Middlesbrough_16_17,24.041630560342615,23.515952032609693,15.684387141358123,14.866068747318506,12.84523257866513,7.874007874011811,6.4031242374328485,6.324555320336759,7.0710678118654755,9.486832980505138,9.38083151964686,3.7416573867739413,5.385164807134504,1.4142135623730951,9.433981132056603,7.615773105863909,6.082762530298219,5.916079783099616,13.564659966250536,17.204650534085253
West Brom_16_17,24.535688292770594,23.259406699226016,16.24807680927192,14.45683229480096,11.445523142259598,7.3484692283495345,7.280109889280518,6.782329983125268,5.477225575051661,7.483314773547883,7.0710678118654755,3.4641016151377544,3.605551275463989,2.449489742783178,6.4031242374328485,4.47213595499958,3.0,3.605551275463989,10.862780491200215,15.297058540778355
West Ham_16_17,27.147743920996454,25.019992006393608,19.209372712298546,16.24807680927192,12.083045973594572,9.433981132056603,10.862780491200215,10.04987562112089,5.916079783099616,7.810249675906654,6.708203932499369,7.54983443527075,6.164414002968976,7.14142842854285,4.0,2.23606797749979,2.0,4.242640687119285,7.280109889280518,12.206555615733702
Hull City_16_17,32.37282811247729,29.8496231131986,24.535688292770594,21.37755832643195,16.881943016134134,14.696938456699069,16.09347693943108,15.297058540778355,10.677078252031311,12.727922061357855,11.575836902790225,12.727922061357855,11.445523142259598,11.74734012447073,7.810249675906654,7.0710678118654755,7.0,7.280109889280518,4.242640687119285,7.3484692283495345
Swansea City_16_17,30.23243291566195,28.089143810376278,22.135943621178654,19.87460691435179,15.905973720586866,13.341664064126334,13.74772708486752,13.19090595827292,10.198039027185569,11.575836902790225,10.862780491200215,9.695359714832659,9.0,8.48528137423857,7.14142842854285,5.830951894845301,5.196152422706632,3.0,5.477225575051661,9.695359714832659
Sunderland_16_17,34.336569426778794,32.0624390837628,26.248809496813376,23.958297101421877,19.849433241279208,17.291616465790582,17.663521732655695,17.11724276862369,13.74772708486752,15.524174696260024,14.730919862656235,13.74772708486752,13.114877048604,12.206555615733702,10.677078252031311,9.643650760992955,9.055385138137417,7.0710678118654755,5.385164807134504,6.4031242374328485
Manchester City_17_18,9.9498743710662,8.717797887081348,17.0,17.72004514666935,21.400934559032695,26.43860813280457,27.129319932501073,27.294688127912362,30.740852297878796,25.632011235952593,26.77685567799177,28.653097563788805,28.35489375751565,31.63858403911275,30.56141357987225,31.575306807693888,32.71085446759225,34.14674215792775,37.960505792204614,45.39823785126467
Manchester Utd_17_18,3.7416573867739413,7.280109889280518,4.69041575982343,8.18535277187245,13.152946437965905,15.427248620541512,15.132745950421556,15.556349186104045,20.09975124224178,16.55294535724685,17.72004514666935,17.4928556845359,17.916472867168917,20.09975124224178,21.79449471770337,22.045407685048602,22.516660498395403,23.853720883753127,29.427877939124322,35.805027579936315
Tottenham_17_18,9.486832980505138,10.246950765959598,1.4142135623730951,4.123105625617661,8.54400374531753,9.695359714832659,9.433981132056603,9.797958971132712,14.352700094407323,11.224972160321824,12.328828005937952,11.74734012447073,12.206555615733702,14.352700094407323,16.401219466856727,16.431676725154983,16.76305461424021,18.193405398660254,24.0,30.066592756745816
Chelsea_17_18,12.206555615733702,11.575836902790225,4.58257569495584,2.449489742783178,5.477225575051661,7.0,7.615773105863909,7.681145747868608,11.532562594670797,8.06225774829855,9.1104335791443,9.433981132056603,9.486832980505138,12.206555615733702,13.341664064126334,13.45362404707371,13.92838827718412,15.620499351813308,21.047565179849187,27.184554438136374
Arsenal_17_18,13.601470508735444,11.575836902790225,7.14142842854285,2.449489742783178,2.8284271247461903,7.280109889280518,9.055385138137417,8.774964387392123,11.180339887498949,6.557438524302,7.54983443527075,9.9498743710662,9.273618495495704,12.84523257866513,11.916375287812984,12.449899597988733,13.341664064126334,15.297058540778355,19.72308292331602,26.248809496813376
Liverpool_17_18,18.193405398660254,15.620499351813308,11.180339887498949,7.0710678118654755,2.449489742783178,5.916079783099616,8.48528137423857,7.810249675906654,8.06225774829855,2.23606797749979,3.0,7.54983443527075,6.0,10.246950765959598,7.3484692283495345,8.06225774829855,9.273618495495704,11.40175425099138,15.132745950421556,21.748563170931547
Burnley_17_18,20.149441679609886,20.904544960366874,12.083045973594572,11.874342087037917,11.704699910719626,5.0990195135927845,2.23606797749979,2.8284271247461903,7.0710678118654755,10.099504938362077,10.198039027185569,5.830951894845301,7.54983443527075,5.830951894845301,12.68857754044952,11.224972160321824,10.04987562112089,11.445523142259598,18.547236990991408,22.090722034374522
Watford_17_18,21.118712081942874,18.57417562100671,13.92838827718412,9.9498743710662,5.385164807134504,6.164414002968976,9.0,8.12403840463596,6.324555320336759,2.449489742783178,1.4142135623730951,7.3484692283495345,5.385164807134504,9.38083151964686,5.196152422706632,5.830951894845301,7.14142842854285,9.643650760992955,12.727922061357855,19.026297590440446
Newcastle Utd_17_18,20.322401432901575,20.639767440550294,12.041594578792296,11.832159566199232,11.224972160321824,5.385164807134504,2.449489742783178,3.0,7.14142842854285,9.219544457292887,9.433981132056603,4.123105625617661,6.164414002968976,4.358898943540674,11.489125293076057,10.04987562112089,8.94427190999916,9.899494936611665,17.233687939614086,21.18962010041709
Southampton_17_18,21.95449840010015,22.02271554554524,13.638181696985855,13.076696830622021,11.874342087037917,5.830951894845301,3.605551275463989,3.7416573867739413,6.324555320336759,9.273618495495704,9.273618495495704,3.7416573867739413,5.744562646538029,2.8284271247461903,10.723805294763608,9.055385138137417,7.681145747868608,8.54400374531753,15.937377450509228,19.544820285692065
Leicester City_17_18,20.83266665599966,19.0,12.806248474865697,10.44030650891055,7.14142842854285,5.477225575051661,6.4031242374328485,5.830951894845301,6.164414002968976,3.4641016151377544,3.7416573867739413,2.8284271247461903,1.0,5.477225575051661,5.385164807134504,4.898979485566356,5.385164807134504,6.708203932499369,12.409673645990857,18.49324200890693
Brighton_17_18,22.11334438749598,21.6794833886788,13.74772708486752,12.806248474865697,11.045361017187261,5.744562646538029,4.242640687119285,4.123105625617661,5.916079783099616,8.06225774829855,8.06225774829855,2.23606797749979,4.242640687119285,1.7320508075688772,9.16515138991168,7.54983443527075,6.324555320336759,7.0710678118654755,14.45683229480096,18.57417562100671
Huddersfield_17_18,25.099800796022265,24.677925358506133,16.792855623746664,15.394804318340652,13.152946437965905,7.0710678118654755,6.4031242374328485,6.0,4.69041575982343,9.695359714832659,9.16515138991168,5.0990195135927845,6.082762530298219,2.449489742783178,9.433981132056603,7.3484692283495345,5.385164807134504,6.557438524302,13.416407864998739,16.1245154965971
Stoke City_17_18,26.645825188948457,24.269322199023193,18.920887928424502,15.588457268119896,11.180339887498949,9.273618495495704,11.180339887498949,10.295630140987,6.0,7.0710678118654755,5.830951894845301,8.12403840463596,6.4031242374328485,8.246211251235321,3.3166247903554,2.449489742783178,3.3166247903554,5.744562646538029,7.615773105863909,13.038404810405298
West Brom_17_18,24.779023386727733,23.853720883753127,16.431676725154983,15.0,12.36931687685298,7.615773105863909,7.0,6.6332495807108,5.830951894845301,8.602325267042627,8.246211251235321,3.7416573867739413,4.58257569495584,1.4142135623730951,7.810249675906654,5.830951894845301,4.123105625617661,4.358898943540674,11.832159566199232,15.620499351813308
West Ham_17_18,27.712812921102035,25.514701644346147,19.748417658131498,16.881943016134134,12.68857754044952,10.198039027185569,11.445523142259598,10.677078252031311,6.782329983125268,8.366600265340756,7.3484692283495345,7.874007874011811,6.557438524302,7.3484692283495345,4.123105625617661,2.449489742783178,2.23606797749979,3.605551275463989,6.48074069840786,11.575836902790225
Swansea City_17_18,27.03701166919155,26.38181191654584,18.681541692269406,17.72004514666935,15.297058540778355,10.344080432788601,9.16515138991168,9.0,8.306623862918075,11.532562594670797,11.180339887498949,6.4031242374328485,7.483314773547883,3.605551275463989,10.099504938362077,8.06225774829855,6.164414002968976,5.0990195135927845,12.36931687685298,14.866068747318506
