Team,Manchester City_21_22,Liverpool_21_22,Chelsea_21_22,West Ham_21_22,Tottenham_21_22,Manchester Utd_21_22,Arsenal_21_22,Wolves_21_22,Brighton_21_22,Aston Villa_21_22,Leicester City_21_22,Everton_21_22,Brentford_21_22,Crystal Palace_21_22,Leeds United_21_22,Southampton_21_22,Watford_21_22,Burnley_21_22,Newcastle Utd_21_22,Norwich City_21_22
West Brom_16_17,21.213203435596427,28.42534080710379,21.79449471770337,10.677078252031311,6.4031242374328485,8.774964387392123,5.385164807134504,9.486832980505138,6.324555320336759,6.164414002968976,9.539392014169456,7.3484692283495345,4.358898943540674,5.0990195135927845,7.54983443527075,7.810249675906654,13.038404810405298,11.224972160321824,15.905973720586866,20.322401432901575
Everton_16_17,22.22611077089287,29.49576240750525,22.912878474779202,11.40175425099138,6.082762530298219,8.774964387392123,4.358898943540674,9.273618495495704,5.830951894845301,5.477225575051661,9.0,6.324555320336759,3.605551275463989,4.47213595499958,6.4031242374328485,6.708203932499369,12.24744871391589,10.488088481701515,15.0,19.1049731745428
Southampton_16_17,24.186773244895647,33.24154027718932,25.41653005427767,16.15549442140351,8.246211251235321,14.7648230602334,8.602325267042627,3.0,1.0,11.445523142259598,15.033296378372908,11.357816691600547,8.366600265340756,8.774964387392123,8.12403840463596,7.211102550927978,16.76305461424021,10.816653826391969,18.275666882497067,19.79898987322333
Stoke City_16_17,25.495097567963924,32.46536616149585,26.248809496813376,13.92838827718412,7.681145747868608,9.643650760992955,4.123105625617661,10.488088481701515,6.782329983125268,4.47213595499958,7.810249675906654,3.7416573867739413,3.0,3.7416573867739413,3.605551275463989,4.358898943540674,9.695359714832659,8.602325267042627,12.041594578792296,15.588457268119896
Bournemouth_16_17,25.80697580112788,30.886890422961002,26.019223662515376,12.884098726725126,10.44030650891055,7.280109889280518,6.557438524302,15.297058540778355,11.575836902790225,1.4142135623730951,3.0,2.0,4.58257569495584,4.898979485566356,7.0,8.306623862918075,6.48074069840786,10.677078252031311,10.246950765959598,16.401219466856727
Burnley_16_17,29.478805945967352,36.0416425818802,30.199337741083,17.46424919657298,11.224972160321824,12.24744871391589,7.3484692283495345,13.0,9.539392014169456,6.4031242374328485,8.48528137423857,4.123105625617661,5.656854249492381,5.744562646538029,3.1622776601683795,4.242640687119285,7.54983443527075,7.280109889280518,8.831760866327848,11.575836902790225
Leicester City_16_17,27.76688675382964,32.38826948140329,27.820855486487112,14.798648586948742,12.569805089976535,9.16515138991168,8.602325267042627,16.583123951777,12.84523257866513,3.605551275463989,3.7416573867739413,3.0,5.477225575051661,5.385164807134504,7.211102550927978,8.602325267042627,4.358898943540674,9.9498743710662,8.246211251235321,15.165750888103101
Crystal Palace_16_17,28.722813232690143,30.643106892089126,28.071337695236398,15.652475842498529,17.378147196982766,10.488088481701515,13.92838827718412,22.737634001804146,19.05255888325765,8.774964387392123,6.0,9.433981132056603,11.489125293076057,11.357816691600547,13.92838827718412,15.297058540778355,7.280109889280518,15.7797338380595,11.224972160321824,19.748417658131498
Middlesbrough_16_17,28.460498941515414,36.578682316343766,29.274562336608895,19.44222209522358,12.449899597988733,17.0,11.180339887498949,6.782329983125268,5.0990195135927845,12.0,15.394804318340652,11.224972160321824,8.06225774829855,7.874007874011811,6.4031242374328485,5.196152422706632,14.89966442575134,6.48074069840786,15.394804318340652,16.583123951777
West Ham_16_17,34.539832078341085,39.1279950930277,34.75629439396553,21.470910553583888,17.72004514666935,15.297058540778355,13.490737563232042,20.322401432901575,16.822603841260722,10.04987562112089,9.38083151964686,8.06225774829855,10.954451150103322,10.63014581273465,9.695359714832659,10.862780491200215,3.605551275463989,10.63014581273465,3.1622776601683795,9.486832980505138
Swansea City_16_17,34.38022687534217,38.34057902536163,34.36568055487916,21.213203435596427,18.466185312619388,15.132745950421556,14.247806848775006,21.307275752662516,17.72004514666935,10.099504938362077,9.0,8.48528137423857,11.180339887498949,10.770329614269007,10.63014581273465,11.874342087037917,2.449489742783178,11.224972160321824,3.0,11.180339887498949
Hull City_16_17,37.17526059088221,42.23742416388575,37.5632799419859,24.289915602982237,19.519221295943137,18.138357147217054,15.394804318340652,21.118712081942874,17.88854381999832,12.727922061357855,12.449899597988733,10.488088481701515,13.076696830622021,12.727922061357855,10.816653826391969,11.704699910719626,6.782329983125268,11.045361017187261,4.123105625617661,6.4031242374328485
Sunderland_16_17,34.9857113690718,40.66939881532551,35.34119409414458,22.715633383201094,17.46424919657298,17.291616465790582,13.601470508735444,17.320508075688775,14.212670403551895,11.045361017187261,12.041594578792296,8.831760866327848,9.848857801796104,9.273618495495704,7.14142842854285,7.810249675906654,6.6332495807108,6.0,4.358898943540674,7.280109889280518
Manchester City_17_18,16.15549442140351,9.433981132056603,14.89966442575134,25.709920264364882,33.97057550292606,31.591137997862628,36.4417343165772,40.607881008493905,39.8622628559895,37.376463182061514,37.33630940518894,39.736632972611055,39.06404996924922,39.736632972611055,42.82522621072771,43.289721643826724,44.01136216933077,46.57252408878007,48.27007354458868,54.53439281774392
Manchester Utd_17_18,3.0,9.539392014169456,2.0,14.594519519326424,21.6794833886788,21.118712081942874,24.535688292770594,27.2213151776324,26.739483914241877,26.019223662515376,26.90724809414742,28.30194339616981,26.90724809414742,27.586228448267445,30.495901363953813,30.757112998459398,33.301651610693426,34.07345007480164,37.282703764614496,42.871902220452036
Chelsea_17_18,5.830951894845301,16.1245154965971,7.681145747868608,8.602325267042627,13.601470508735444,14.730919862656235,16.76305461424021,19.44222209522358,18.867962264113206,19.026297590440446,20.46948949045872,21.118712081942874,19.672315572906,20.445048300260872,22.912878474779202,23.08679276123039,26.720778431774775,26.795522013948524,30.479501308256342,35.2845575287547
Liverpool_17_18,11.704699910719626,13.96424004376894,10.954451150103322,5.385164807134504,15.297058540778355,10.677078252031311,16.431676725154983,23.259406699226016,21.236760581595302,16.401219466856727,16.24807680927192,18.788294228055936,18.547236990991408,19.209372712298546,22.40535650240808,23.108440016582687,22.912878474779202,26.248809496813376,27.16615541441225,33.61547262794322
Arsenal_17_18,12.569805089976535,17.60681686165901,12.68857754044952,1.4142135623730951,11.180339887498949,7.54983443527075,12.449899597988733,19.339079605813716,17.26267650163207,13.038404810405298,13.45362404707371,15.362291495737216,15.0,15.748015748023622,18.681541692269406,19.313207915827967,20.149441679609886,22.759613353482084,24.269322199023193,30.14962686336267
Tottenham_17_18,14.035668847618199,22.869193252058544,14.966629547095765,8.06225774829855,7.874007874011811,11.224972160321824,10.488088481701515,11.704699910719626,10.723805294763608,12.68857754044952,15.231546211727817,14.45683229480096,12.0,12.68857754044952,15.033296378372908,15.033296378372908,20.223748416156685,18.466185312619388,23.452078799117146,27.820855486487112
Burnley_17_18,20.808652046684813,31.32091952673165,22.67156809750927,15.7797338380595,8.12403840463596,16.30950643030009,10.954451150103322,4.58257569495584,6.4031242374328485,15.132745950421556,18.49324200890693,15.588457268119896,13.038404810405298,13.674794331177344,13.490737563232042,12.727922061357855,21.656407827707714,16.64331697709324,23.62202362203543,24.939927826679853
Watford_17_18,22.516660498395403,26.476404589747453,22.58317958127243,9.1104335791443,10.677078252031311,2.8284271247461903,8.12403840463596,18.411952639521967,15.0,5.385164807134504,3.7416573867739413,7.280109889280518,9.273618495495704,9.848857801796104,12.328828005937952,13.490737563232042,10.723805294763608,16.34013463836819,14.966629547095765,21.400934559032695
Leicester City_17_18,22.135943621178654,28.91366458960192,22.693611435820433,10.677078252031311,6.4031242374328485,7.54983443527075,4.123105625617661,10.677078252031311,7.211102550927978,4.242640687119285,7.681145747868608,5.477225575051661,3.3166247903554,4.242640687119285,6.708203932499369,7.280109889280518,11.40175425099138,10.862780491200215,14.45683229480096,19.1049731745428
Everton_17_18,28.61817604250837,33.71943060017473,29.017236257093817,15.588457268119896,12.083045973594572,9.38083151964686,7.874007874011811,16.822603841260722,13.152946437965905,4.58257569495584,4.242640687119285,3.0,7.0710678118654755,7.280109889280518,7.483314773547883,8.831760866327848,5.196152422706632,11.090536506409418,8.48528137423857,13.92838827718412
Southampton_17_18,26.343879744638983,34.14674215792775,27.147743920996454,16.431676725154983,9.539392014169456,13.601470508735444,7.810249675906654,7.0710678118654755,3.7416573867739413,8.717797887081348,12.206555615733702,8.12403840463596,5.0,5.0990195135927845,4.123105625617661,3.3166247903554,12.727922061357855,6.782329983125268,14.035668847618199,16.34013463836819
Brighton_17_18,27.349588662354687,35.185224171518364,28.231188426986208,17.204650534085253,9.848857801796104,13.96424004376894,7.810249675906654,7.483314773547883,4.242640687119285,8.831760866327848,12.206555615733702,7.874007874011811,5.385164807134504,5.477225575051661,3.3166247903554,2.23606797749979,12.328828005937952,6.324555320336759,13.379088160259652,15.132745950421556
Stoke City_17_18,31.591137997862628,36.38681079732051,31.921779399024736,18.49324200890693,14.866068747318506,12.206555615733702,10.63014581273465,18.708286933869708,15.0996688705415,7.3484692283495345,6.557438524302,5.477225575051661,9.1104335791443,9.055385138137417,8.54400374531753,9.848857801796104,3.7416573867739413,11.045361017187261,6.082762530298219,11.704699910719626
Bournemouth_17_18,28.722813232690143,36.701498607005135,29.5296461204668,19.313207915827967,12.24744871391589,16.55294535724685,10.677078252031311,7.280109889280518,5.196152422706632,11.357816691600547,14.696938456699069,10.44030650891055,7.483314773547883,7.280109889280518,5.477225575051661,4.242640687119285,14.035668847618199,5.744562646538029,14.491376746189438,15.684387141358123
