Team,Chelsea_21_22,Manchester City_21_22,West Ham_21_22,Liverpool_21_22,Arsenal_21_22,Manchester Utd_21_22,Brighton_21_22,Wolves_21_22,Tottenham_21_22,Crystal Palace_21_22,Everton_21_22,Leicester City_21_22,Southampton_21_22,Brentford_21_22,Leeds United_21_22,Aston Villa_21_22,Watford_21_22,Burnley_21_22,Newcastle Utd_21_22,Norwich City_21_22
Bournemouth_16_17,23.15167380558045,17.378147196982766,15.165750888103101,21.18962010041709,8.54400374531753,7.874007874011811,6.48074069840786,6.0,5.656854249492381,4.123105625617661,4.242640687119285,4.69041575982343,5.385164807134504,2.0,3.0,4.58257569495584,3.7416573867739413,4.58257569495584,10.677078252031311,14.594519519326424
Leicester City_16_17,24.24871130596428,18.601075237738275,15.684387141358123,21.748563170931547,9.433981132056603,7.874007874011811,7.874007874011811,7.483314773547883,6.0,5.385164807134504,4.69041575982343,4.242640687119285,7.0,4.0,2.23606797749979,3.0,2.449489742783178,4.58257569495584,9.273618495495704,13.30413469565007
Middlesbrough_16_17,24.041630560342615,18.0,17.72004514666935,23.727621035409346,9.539392014169456,11.916375287812984,6.324555320336759,5.0990195135927845,6.48074069840786,6.708203932499369,8.246211251235321,9.38083151964686,3.0,3.7416573867739413,6.082762530298219,9.0,7.3484692283495345,5.916079783099616,13.564659966250536,16.0312195418814
Crystal Palace_16_17,23.895606290697042,18.681541692269406,15.132745950421556,20.248456731316587,11.224972160321824,7.0,10.04987562112089,9.9498743710662,9.1104335791443,6.48074069840786,5.0,4.123105625617661,9.695359714832659,5.916079783099616,5.0990195135927845,2.449489742783178,4.123105625617661,6.164414002968976,8.774964387392123,14.352700094407323
West Ham_16_17,27.147743920996454,21.470910553583888,18.35755975068582,24.535688292770594,11.575836902790225,10.44030650891055,10.04987562112089,9.433981132056603,6.708203932499369,8.246211251235321,7.54983443527075,6.708203932499369,8.602325267042627,6.4031242374328485,2.0,3.1622776601683795,1.7320508075688772,4.242640687119285,7.280109889280518,10.392304845413264
Hull City_16_17,30.740852297878796,25.238858928247925,21.42428528562855,27.459060435491963,15.165750888103101,13.379088160259652,14.035668847618199,13.45362404707371,10.04987562112089,12.24744871391589,11.180339887498949,9.848857801796104,12.649110640673518,10.63014581273465,6.164414002968976,5.656854249492381,5.385164807134504,7.3484692283495345,5.385164807134504,7.3484692283495345
Swansea City_16_17,31.921779399024736,26.324893162176366,23.600847442411894,28.809720581775867,17.26267650163207,15.524174696260024,15.132745950421556,14.247806848775006,12.12435565298214,13.19090595827292,12.68857754044952,12.041594578792296,12.727922061357855,10.344080432788601,6.782329983125268,6.48074069840786,5.744562646538029,5.0990195135927845,3.605551275463989,7.0710678118654755
Sunderland_16_17,32.46536616149585,26.795522013948524,24.166091947189145,29.546573405388315,17.46424919657298,16.1245154965971,15.297058540778355,14.352700094407323,12.083045973594572,13.601470508735444,13.19090595827292,12.569805089976535,12.767145334803704,10.677078252031311,7.0,7.14142842854285,6.164414002968976,5.385164807134504,4.242640687119285,6.4031242374328485
Manchester City_17_18,12.449899597988733,17.916472867168917,18.027756377319946,12.083045973594572,27.964262908219126,25.632011235952593,29.949958263743873,31.28897569432403,33.8673884437522,28.879058156387302,28.653097563788805,29.34280150224242,33.13608305156178,32.17141588429082,35.35533905932738,34.438350715445125,35.510561809129406,36.851051545376556,40.50925820105819,46.10856753359401
Manchester Utd_17_18,5.0990195135927845,1.4142135623730951,8.0,10.04987562112089,13.152946437965905,14.0,14.352700094407323,15.556349186104045,19.131126469708992,14.45683229480096,15.297058540778355,16.792855623746664,17.291616465790582,17.378147196982766,21.37755832643195,21.79449471770337,22.045407685048602,22.64950330581225,28.39013913315678,33.0
Tottenham_17_18,8.18535277187245,2.23606797749979,6.708203932499369,11.74734012447073,9.695359714832659,11.704699910719626,11.180339887498949,12.449899597988733,15.84297951775486,11.74734012447073,12.68857754044952,14.177446878757825,14.352700094407323,14.798648586948742,18.601075237738275,19.339079605813716,19.4164878389476,20.149441679609886,26.019223662515376,30.166206257996713
Chelsea_17_18,10.770329614269007,5.0990195135927845,5.0990195135927845,12.041594578792296,7.0,8.602325267042627,8.831760866327848,10.198039027185569,13.114877048604,9.0,9.695359714832659,11.045361017187261,12.206555615733702,12.328828005937952,15.7797338380595,16.401219466856727,16.55294535724685,17.578395831246947,23.108440016582687,27.2213151776324
Arsenal_17_18,15.556349186104045,10.954451150103322,5.830951894845301,12.449899597988733,7.681145747868608,2.449489742783178,9.16515138991168,10.295630140987,11.40175425099138,6.708203932499369,5.656854249492381,6.0,11.874342087037917,10.099504938362077,12.206555615733702,11.532562594670797,12.409673645990857,14.247806848775006,18.0,22.825424421026653
Liverpool_17_18,15.937377450509228,11.74734012447073,6.0,12.041594578792296,9.0,2.8284271247461903,10.488088481701515,11.575836902790225,12.409673645990857,7.810249675906654,6.48074069840786,6.48074069840786,13.076696830622021,11.045361017187261,12.84523257866513,11.789826122551595,12.884098726725126,14.866068747318506,18.05547008526779,23.08679276123039
Burnley_17_18,19.05255888325765,13.0,14.177446878757825,21.307275752662516,5.0990195135927845,12.206555615733702,4.123105625617661,4.358898943540674,7.681145747868608,8.12403840463596,10.04987562112089,11.532562594670797,5.830951894845301,9.1104335791443,12.083045973594572,14.7648230602334,13.601470508735444,13.638181696985855,20.615528128088304,22.58317958127243
Brighton_17_18,20.639767440550294,14.491376746189438,14.560219778561036,21.18962010041709,5.744562646538029,10.198039027185569,2.449489742783178,1.4142135623730951,5.477225575051661,5.0,7.0710678118654755,8.602325267042627,1.7320508075688772,4.69041575982343,8.06225774829855,10.723805294763608,9.486832980505138,9.219544457292887,16.431676725154983,19.0
Watford_17_18,22.58317958127243,17.72004514666935,12.806248474865697,18.57417562100671,10.246950765959598,4.898979485566356,10.488088481701515,10.862780491200215,9.486832980505138,7.280109889280518,5.0990195135927845,3.1622776601683795,11.445523142259598,8.602325267042627,7.810249675906654,5.916079783099616,7.3484692283495345,10.04987562112089,11.575836902790225,16.401219466856727
Huddersfield_17_18,23.727621035409346,17.578395831246947,17.0,24.124676163629637,7.0710678118654755,11.874342087037917,4.58257569495584,3.3166247903554,3.3166247903554,7.0710678118654755,8.54400374531753,9.433981132056603,2.449489742783178,5.916079783099616,7.0710678118654755,10.488088481701515,8.774964387392123,8.602325267042627,15.394804318340652,16.673332000533065
Newcastle Utd_17_18,21.656407827707714,15.524174696260024,16.09347693943108,22.494443758403985,7.3484692283495345,11.789826122551595,4.123105625617661,3.0,6.4031242374328485,6.48074069840786,8.54400374531753,10.04987562112089,2.0,5.385164807134504,8.602325267042627,11.489125293076057,10.04987562112089,9.273618495495704,16.76305461424021,19.026297590440446
Leicester City_17_18,20.83266665599966,15.362291495737216,12.569805089976535,18.193405398660254,8.18535277187245,5.0990195135927845,6.928203230275509,7.0710678118654755,7.615773105863909,3.0,2.0,2.8284271247461903,7.280109889280518,3.7416573867739413,5.744562646538029,5.385164807134504,5.830951894845301,7.14142842854285,12.0,16.881943016134134
Southampton_17_18,23.280893453645632,17.146428199482248,17.320508075688775,23.769728648009426,8.306623862918075,12.328828005937952,5.0990195135927845,3.7416573867739413,5.830951894845301,7.0,8.831760866327848,10.099504938362077,1.7320508075688772,5.0990195135927845,7.54983443527075,10.723805294763608,9.055385138137417,8.06225774829855,15.556349186104045,17.46424919657298
