Team,Chelsea_21_22,Liverpool_21_22,Manchester City_21_22,Brighton_21_22,Tottenham_21_22,Manchester Utd_21_22,West Ham_21_22,Everton_21_22,Brentford_21_22,Wolves_21_22,Leicester City_21_22,Arsenal_21_22,Aston Villa_21_22,Crystal Palace_21_22,Southampton_21_22,Watford_21_22,Leeds United_21_22,Burnley_21_22,Newcastle Utd_21_22,Norwich City_21_22
Crystal Palace_16_17,11.180339887498949,13.379088160259652,9.848857801796104,6.4031242374328485,5.385164807134504,5.916079783099616,5.0990195135927845,3.605551275463989,2.449489742783178,3.3166247903554,5.385164807134504,5.0,3.3166247903554,5.0990195135927845,6.48074069840786,8.246211251235321,8.774964387392123,10.770329614269007,12.84523257866513,14.52583904633395
Bournemouth_16_17,12.68857754044952,13.601470508735444,11.532562594670797,9.0,5.0,5.385164807134504,4.69041575982343,4.358898943540674,5.477225575051661,5.744562646538029,2.23606797749979,5.0,1.0,3.7416573867739413,7.483314773547883,7.0710678118654755,7.681145747868608,10.677078252031311,10.816653826391969,14.035668847618199
Watford_16_17,13.152946437965905,13.379088160259652,12.041594578792296,10.246950765959598,5.744562646538029,5.196152422706632,4.69041575982343,5.0,6.782329983125268,7.14142842854285,1.0,6.082762530298219,1.7320508075688772,4.242640687119285,8.602325267042627,7.483314773547883,8.06225774829855,11.313708498984761,10.44030650891055,14.52583904633395
West Brom_16_17,12.449899597988733,15.394804318340652,11.090536506409418,5.916079783099616,6.4031242374328485,8.306623862918075,7.483314773547883,5.744562646538029,2.449489742783178,2.23606797749979,7.280109889280518,4.58257569495584,5.0,5.477225575051661,4.69041575982343,7.874007874011811,8.306623862918075,9.486832980505138,13.076696830622021,13.30413469565007
Leicester City_16_17,17.4928556845359,18.973665961010276,16.30950643030009,11.40175425099138,7.3484692283495345,10.770329614269007,10.04987562112089,9.273618495495704,8.306623862918075,7.211102550927978,5.830951894845301,3.7416573867739413,4.898979485566356,2.23606797749979,4.58257569495584,1.7320508075688772,2.449489742783178,5.916079783099616,7.3484692283495345,8.717797887081348
Burnley_16_17,18.027756377319946,20.322401432901575,16.76305461424021,10.816653826391969,8.54400374531753,12.36931687685298,11.575836902790225,10.344080432788601,8.12403840463596,6.708203932499369,8.306623862918075,4.123105625617661,6.708203932499369,4.242640687119285,2.0,3.1622776601683795,3.3166247903554,4.242640687119285,9.0,7.54983443527075
West Ham_16_17,19.72308292331602,20.273134932713294,18.57417562100671,14.45683229480096,9.433981132056603,12.12435565298214,11.575836902790225,11.357816691600547,11.224972160321824,10.344080432788601,6.4031242374328485,6.708203932499369,6.557438524302,4.242640687119285,7.615773105863909,2.8284271247461903,3.0,6.928203230275509,4.58257569495584,8.660254037844387
Hull City_16_17,22.293496809607955,22.64950330581225,21.283796653792763,17.0,11.357816691600547,14.594519519326424,14.071247279470288,13.96424004376894,14.071247279470288,13.0,8.774964387392123,9.0,9.433981132056603,7.3484692283495345,10.198039027185569,5.0990195135927845,5.196152422706632,8.602325267042627,4.58257569495584,8.774964387392123
Middlesbrough_16_17,17.72004514666935,19.849433241279208,16.30950643030009,10.862780491200215,9.273618495495704,12.083045973594572,11.357816691600547,10.198039027185569,7.810249675906654,6.782329983125268,8.366600265340756,5.0990195135927845,6.48074069840786,4.123105625617661,1.7320508075688772,4.123105625617661,4.0,4.123105625617661,9.055385138137417,8.12403840463596
Stoke City_16_17,20.46948949045872,21.656407827707714,19.261360284258224,14.247806848775006,10.04987562112089,13.45362404707371,12.806248474865697,12.206555615733702,11.224972160321824,10.04987562112089,8.06225774829855,6.4031242374328485,7.54983443527075,4.69041575982343,6.164414002968976,1.4142135623730951,1.0,4.69041575982343,5.196152422706632,6.4031242374328485
