Team,Chelsea_21_22,Liverpool_21_22,Manchester City_21_22,West Ham_21_22,Brighton_21_22,Tottenham_21_22,Everton_21_22,Manchester Utd_21_22,Leicester City_21_22,Arsenal_21_22,Wolves_21_22,Brentford_21_22,Aston Villa_21_22,Watford_21_22,Crystal Palace_21_22,Southampton_21_22,Leeds United_21_22,Burnley_21_22,Newcastle Utd_21_22,Norwich City_21_22
Burnley_17_18,18.49324200890693,20.83266665599966,14.7648230602334,9.0,2.23606797749979,4.58257569495584,8.660254037844387,10.04987562112089,9.273618495495704,4.58257569495584,1.0,3.1622776601683795,8.366600265340756,9.433981132056603,7.0710678118654755,5.830951894845301,9.219544457292887,10.862780491200215,14.52583904633395,18.788294228055936
Liverpool_17_18,18.193405398660254,18.24828759089466,15.132745950421556,7.483314773547883,8.831760866327848,6.164414002968976,2.449489742783178,2.449489742783178,1.7320508075688772,5.0990195135927845,8.602325267042627,7.681145747868608,3.3166247903554,3.7416573867739413,5.385164807134504,8.774964387392123,8.48528137423857,11.445523142259598,10.295630140987,17.72004514666935
Southampton_17_18,19.0,21.236760581595302,15.264337522473747,9.486832980505138,3.1622776601683795,5.0990195135927845,8.831760866327848,10.198039027185569,9.433981132056603,4.898979485566356,1.4142135623730951,3.0,8.06225774829855,9.16515138991168,6.557438524302,5.0,8.602325267042627,10.04987562112089,13.92838827718412,18.2208671582886
Huddersfield_17_18,20.12461179749811,22.293496809607955,16.401219466856727,10.295630140987,3.7416573867739413,4.69041575982343,9.16515138991168,10.488088481701515,9.643650760992955,4.69041575982343,2.449489742783178,4.123105625617661,8.06225774829855,8.831760866327848,6.4031242374328485,4.58257569495584,7.874007874011811,9.433981132056603,13.416407864998739,17.146428199482248
Brighton_17_18,19.131126469708992,20.97617696340303,15.427248620541512,9.219544457292887,4.123105625617661,5.0,7.810249675906654,9.1104335791443,8.366600265340756,4.358898943540674,2.23606797749979,2.449489742783178,6.48074069840786,7.681145747868608,4.898979485566356,3.7416573867739413,7.280109889280518,8.831760866327848,12.36931687685298,17.291616465790582
West Brom_17_18,21.18962010041709,23.173260452512935,17.46424919657298,11.40175425099138,5.477225575051661,6.164414002968976,9.797958971132712,11.045361017187261,10.246950765959598,5.830951894845301,3.7416573867739413,4.58257569495584,7.810249675906654,8.602325267042627,5.744562646538029,3.0,6.782329983125268,7.810249675906654,12.328828005937952,16.06237840420901
Leicester City_17_18,20.273134932713294,20.808652046684813,16.881943016134134,9.797958971132712,8.366600265340756,6.782329983125268,5.830951894845301,6.48074069840786,5.916079783099616,5.477225575051661,7.0710678118654755,5.916079783099616,1.7320508075688772,3.1622776601683795,1.0,4.58257569495584,4.898979485566356,7.14142842854285,7.874007874011811,15.165750888103101
Swansea City_17_18,23.108440016582687,25.019992006393608,19.390719429665317,13.45362404707371,7.681145747868608,8.18535277187245,11.532562594670797,12.68857754044952,11.916375287812984,7.810249675906654,5.916079783099616,6.48074069840786,8.831760866327848,9.433981132056603,6.48074069840786,2.8284271247461903,6.4031242374328485,6.48074069840786,11.874342087037917,14.866068747318506
West Ham_17_18,24.839484696748443,25.514701644346147,21.37755832643195,13.92838827718412,10.677078252031311,8.12403840463596,9.695359714832659,10.198039027185569,9.433981132056603,7.483314773547883,9.486832980505138,9.433981132056603,5.744562646538029,4.47213595499958,4.358898943540674,5.0,1.4142135623730951,4.58257569495584,5.830951894845301,10.392304845413264
Stoke City_17_18,25.573423705088842,25.573423705088842,22.360679774997898,14.730919862656235,13.076696830622021,9.9498743710662,9.848857801796104,9.848857801796104,9.273618495495704,9.219544457292887,12.12435565298214,11.74734012447073,6.164414002968976,4.123105625617661,6.164414002968976,8.246211251235321,4.58257569495584,7.0710678118654755,4.123105625617661,10.44030650891055
