Team,Manchester City_21_22,Liverpool_21_22,Chelsea_21_22,Arsenal_21_22,Manchester Utd_21_22,Tottenham_21_22,West Ham_21_22,Wolves_21_22,Brighton_21_22,Southampton_21_22,Aston Villa_21_22,Leicester City_21_22,Crystal Palace_21_22,Brentford_21_22,Leeds United_21_22,Everton_21_22,Newcastle Utd_21_22,Burnley_21_22,Norwich City_21_22,Watford_21_22
Swansea City_16_17,58.89821729050889,54.89080068645383,44.82186966202994,34.36568055487916,29.086079144497972,27.820855486487112,29.427877939124322,39.11521443121589,31.52776554086889,17.4928556845359,17.349351572897472,14.071247279470288,17.916472867168917,14.2828568570857,6.4031242374328485,12.041594578792296,8.54400374531753,24.06241883103193,15.748015748023622,11.916375287812984
Crystal Palace_16_17,51.980765673468106,47.8748368143433,36.742346141747674,27.748873851023216,22.912878474779202,22.38302928559939,22.47220505424423,31.953090617340916,23.853720883753127,10.723805294763608,9.486832980505138,9.643650760992955,8.48528137423857,7.810249675906654,8.12403840463596,5.0990195135927845,7.874007874011811,16.30950643030009,18.788294228055936,10.04987562112089
Hull City_16_17,62.56196927846821,59.49789912257407,47.391982444291145,36.359317925395686,32.07802986469088,29.34280150224242,33.12099032335839,36.069377593742864,29.274562336608895,17.97220075561143,18.49324200890693,20.12461179749811,18.76166303929372,12.36931687685298,9.273618495495704,11.74734012447073,7.0710678118654755,18.275666882497067,6.082762530298219,5.385164807134504
Sunderland_16_17,60.74537019394976,57.91372894228103,45.12205669071391,34.46737587922817,30.643106892089126,27.76688675382964,31.670175244226233,32.66496594212215,25.98076211353316,16.15549442140351,16.673332000533065,20.273134932713294,16.55294535724685,10.04987562112089,10.677078252031311,10.198039027185569,7.3484692283495345,13.638181696985855,7.280109889280518,3.3166247903554
Manchester City_17_18,13.341664064126334,13.19090595827292,27.676705006196094,37.97367509209505,40.311288741492746,44.955533585978046,38.691084244306204,52.354560450833695,51.39066063011839,54.415071441651165,53.68426212587819,52.92447448959697,54.01851534427802,60.35726965329032,62.94441992742486,60.41522986797286,64.60650122085238,63.43500610861482,75.33259586659682,69.4334213473598
Manchester Utd_17_18,10.099504938362077,12.409673645990857,6.6332495807108,17.549928774784245,21.61018278497431,25.199206336708304,21.047565179849187,29.9833287011299,29.444863728670914,35.2845575287547,34.899856733230294,37.134889255254286,35.24202037341219,41.19465984809196,45.4972526643093,41.95235392680606,46.411205543489174,42.40283009422838,56.08029957123981,50.78385570237849
Liverpool_17_18,17.233687939614086,11.532562594670797,13.152946437965905,18.788294228055936,19.026297590440446,24.535688292770594,16.673332000533065,36.193922141707716,32.58834147360065,32.4037034920393,31.51190251317746,30.23243291566195,31.89043743820395,38.2099463490856,40.36087214122113,38.01315561749642,42.1070065428546,42.649736224272246,53.14132102234569,47.01063709417264
Chelsea_17_18,17.320508075688775,19.6468827043885,6.164414002968976,12.24744871391589,17.46424919657298,19.72308292331602,18.027756377319946,22.38302928559939,22.38302928559939,30.083217912982647,30.0,33.83784863137726,30.430248109405877,35.84689665786984,40.890096600521744,37.013511046643494,41.42463035441596,36.02776706930364,50.28916384272063,45.574115460423364
Tottenham_17_18,17.291616465790582,15.7797338380595,3.0,11.357816691600547,14.352700094407323,18.708286933869708,13.19090595827292,26.267851073127396,23.790754506740637,27.748873851023216,27.184554438136374,29.223278392404914,27.440845468024488,33.61547262794322,37.77565353504821,34.19064199455752,38.71692136521188,35.566838487557476,48.76474136094644,43.05810028322197
Arsenal_17_18,27.85677655436824,25.019992006393608,13.92838827718412,7.0710678118654755,4.123105625617661,10.04987562112089,2.23606797749979,23.93741840717165,18.466185312619388,17.349351572897472,16.73320053068151,18.138357147217054,17.378147196982766,23.345235059857504,26.60826939130014,23.62202362203543,27.85677655436824,27.60434748368452,38.3275357934736,32.69556544854363
Burnley_17_18,43.139309220245984,44.395945760846224,28.861739379323623,19.72308292331602,21.6794833886788,17.029386365926403,24.779023386727733,4.69041575982343,6.782329983125268,19.79898987322333,21.18962010041709,30.033314835362415,21.79449471770337,22.22611077089287,29.34280150224242,25.0,27.94637722496424,16.76305461424021,31.464265445104548,30.099833886584822
Leicester City_17_18,37.960505792204614,35.2845575287547,22.561028345356956,12.68857754044952,8.602325267042627,8.602325267042627,9.273618495495704,20.73644135332772,12.884098726725126,7.0710678118654755,6.4031242374328485,12.083045973594572,7.0,12.806248474865697,17.578395831246947,13.45362404707371,18.027756377319946,17.291616465790582,28.142494558940577,22.315913604421397
Everton_17_18,48.744230427815765,46.49731175025068,33.61547262794322,22.135943621178654,18.35755975068582,15.132745950421556,20.12461179749811,23.600847442411894,16.15549442140351,4.58257569495584,6.324555320336759,13.0,7.874007874011811,4.123105625617661,9.16515138991168,6.164414002968976,8.48528137423857,12.083045973594572,16.881943016134134,13.152946437965905
Watford_17_18,47.21228653645151,43.393547907494266,32.69556544854363,22.825424421026653,17.4928556845359,17.146428199482248,17.4928556845359,29.832867780352597,21.77154105707724,7.483314773547883,6.4031242374328485,4.242640687119285,7.14142842854285,8.602325267042627,7.810249675906654,6.708203932499369,9.643650760992955,18.681541692269406,21.400934559032695,14.89966442575134
Crystal Palace_17_18,50.40833264451424,48.91829923454004,34.79942528261063,23.727621035409346,21.354156504062622,17.320508075688775,23.40939982143925,20.0,13.416407864998739,9.055385138137417,10.63014581273465,18.973665961010276,11.180339887498949,7.3484692283495345,14.45683229480096,10.344080432788601,12.36931687685298,6.4031242374328485,16.792855623746664,14.2828568570857
West Ham_17_18,49.28488612140643,46.05431575867782,34.336569426778794,23.727621035409346,18.973665961010276,17.320508075688775,19.697715603592208,28.0,20.09975124224178,5.830951894845301,5.744562646538029,8.48528137423857,6.708203932499369,4.69041575982343,5.744562646538029,3.3166247903554,6.4031242374328485,15.264337522473747,17.72004514666935,11.832159566199232
Bournemouth_17_18,49.90991885387112,47.75981574503821,34.249087579087416,23.430749027719962,20.248456731316587,17.029386365926403,21.77154105707724,22.40535650240808,15.033296378372908,6.48074069840786,7.681145747868608,15.556349186104045,8.06225774829855,3.7416573867739413,11.445523142259598,6.708203932499369,9.539392014169456,7.810249675906654,16.431676725154983,12.083045973594572
Huddersfield_17_18,54.86346689738081,53.009433122794285,39.6232255123179,27.964262908219126,24.758836806279895,20.808652046684813,26.77685567799177,25.632011235952593,19.313207915827967,11.180339887498949,12.727922061357855,18.681541692269406,13.638181696985855,7.14142842854285,10.677078252031311,9.273618495495704,8.366600265340756,10.954451150103322,11.090536506409418,10.63014581273465
Newcastle Utd_17_18,51.0,49.48737212663449,35.14256678161116,24.71841418861655,22.627416997969522,18.867962264113206,24.413111231467404,19.79898987322333,13.416407864998739,10.677078252031311,11.874342087037917,20.396078054371138,11.874342087037917,8.602325267042627,16.15549442140351,11.445523142259598,13.74772708486752,3.605551275463989,17.60681686165901,14.560219778561036
Brighton_17_18,53.150729063673246,52.278102490430925,37.456641600656084,27.03701166919155,25.69046515733026,21.354156504062622,27.85677655436824,18.867962264113206,14.142135623730951,14.7648230602334,16.15549442140351,24.73863375370596,16.278820596099706,12.727922061357855,19.72308292331602,15.588457268119896,17.11724276862369,5.0,18.275666882497067,17.204650534085253
