Team,Chelsea_21_22,Liverpool_21_22,Manchester Utd_21_22,Brighton_21_22,Manchester City_21_22,Everton_21_22,Tottenham_21_22,West Ham_21_22,Brentford_21_22,Aston Villa_21_22,Watford_21_22,Leicester City_21_22,Arsenal_21_22,Crystal Palace_21_22,Southampton_21_22,Wolves_21_22,Leeds United_21_22,Newcastle Utd_21_22,Burnley_21_22,Norwich City_21_22
Chelsea_16_17,6.164414002968976,6.164414002968976,4.69041575982343,4.123105625617661,5.0990195135927845,1.0,7.0710678118654755,2.449489742783178,6.708203932499369,3.7416573867739413,6.0,6.708203932499369,9.433981132056603,7.3484692283495345,8.48528137423857,10.677078252031311,10.488088481701515,11.357816691600547,11.789826122551595,15.0996688705415
Liverpool_16_17,7.681145747868608,7.681145747868608,5.385164807134504,6.0,7.0,1.4142135623730951,8.306623862918075,2.23606797749979,8.717797887081348,4.358898943540674,6.4031242374328485,7.211102550927978,9.899494936611665,7.810249675906654,9.433981132056603,11.789826122551595,10.04987562112089,10.677078252031311,12.083045973594572,14.730919862656235
Manchester Utd_16_17,7.54983443527075,7.54983443527075,6.708203932499369,3.7416573867739413,5.916079783099616,2.449489742783178,5.0,3.3166247903554,5.0990195135927845,2.23606797749979,4.123105625617661,4.69041575982343,7.3484692283495345,5.385164807134504,6.4031242374328485,8.54400374531753,9.0,10.099504938362077,9.899494936611665,13.45362404707371
Crystal Palace_16_17,8.774964387392123,8.774964387392123,8.54400374531753,5.0990195135927845,6.4031242374328485,4.69041575982343,4.58257569495584,4.58257569495584,3.7416573867739413,2.23606797749979,3.3166247903554,3.7416573867739413,6.48074069840786,4.123105625617661,4.358898943540674,6.4031242374328485,8.306623862918075,9.486832980505138,8.246211251235321,12.449899597988733
Watford_16_17,10.198039027185569,10.198039027185569,8.366600265340756,7.681145747868608,8.602325267042627,3.605551275463989,7.874007874011811,2.449489742783178,8.660254037844387,2.8284271247461903,4.242640687119285,5.196152422706632,8.06225774829855,5.477225575051661,7.3484692283495345,9.797958971132712,7.0710678118654755,7.54983443527075,9.219544457292887,11.74734012447073
West Brom_16_17,9.38083151964686,9.38083151964686,9.273618495495704,5.196152422706632,7.0710678118654755,5.385164807134504,3.7416573867739413,5.477225575051661,3.3166247903554,2.8284271247461903,3.1622776601683795,3.3166247903554,5.744562646538029,3.7416573867739413,3.7416573867739413,5.656854249492381,8.12403840463596,9.433981132056603,7.810249675906654,12.083045973594572
Leicester City_16_17,9.848857801796104,9.848857801796104,9.0,5.830951894845301,7.810249675906654,4.242640687119285,4.58257569495584,4.123105625617661,5.477225575051661,1.0,1.7320508075688772,2.449489742783178,5.477225575051661,3.0,4.358898943540674,6.708203932499369,6.708203932499369,7.874007874011811,7.483314773547883,11.090536506409418
Hull City_16_17,10.392304845413264,10.392304845413264,9.695359714832659,5.916079783099616,8.366600265340756,5.0,3.7416573867739413,5.0990195135927845,5.196152422706632,2.0,1.4142135623730951,1.7320508075688772,4.58257569495584,2.449489742783178,3.7416573867739413,6.0,6.48074069840786,7.810249675906654,7.0,10.677078252031311
Middlesbrough_16_17,12.206555615733702,12.206555615733702,11.704699910719626,7.874007874011811,9.848857801796104,7.0710678118654755,4.58257569495584,6.708203932499369,5.830951894845301,3.605551275463989,1.7320508075688772,1.4142135623730951,3.7416573867739413,1.0,1.7320508075688772,4.123105625617661,5.385164807134504,6.782329983125268,4.898979485566356,9.1104335791443
Southampton_16_17,12.36931687685298,12.36931687685298,12.206555615733702,7.874007874011811,9.9498743710662,7.874007874011811,4.123105625617661,7.681145747868608,5.0990195135927845,4.58257569495584,3.0,2.449489742783178,3.7416573867739413,2.23606797749979,1.0,3.0,6.4031242374328485,7.874007874011811,5.0990195135927845,9.643650760992955
Swansea City_16_17,13.45362404707371,13.45362404707371,13.076696830622021,9.055385138137417,11.0,8.48528137423857,5.196152422706632,8.06225774829855,6.48074069840786,5.0,3.0,2.449489742783178,3.4641016151377544,1.7320508075688772,1.0,3.0,5.196152422706632,6.6332495807108,3.7416573867739413,8.306623862918075
Burnley_16_17,14.52583904633395,14.52583904633395,14.035668847618199,9.797958971132712,12.206555615733702,9.273618495495704,5.385164807134504,9.0,7.483314773547883,5.916079783099616,3.605551275463989,2.8284271247461903,2.449489742783178,2.23606797749979,2.23606797749979,3.3166247903554,4.58257569495584,6.164414002968976,3.1622776601683795,7.280109889280518
Bournemouth_16_17,15.033296378372908,15.033296378372908,14.352700094407323,10.246950765959598,12.806248474865697,9.433981132056603,5.830951894845301,9.16515138991168,8.306623862918075,6.164414002968976,3.7416573867739413,3.0,2.23606797749979,2.449489742783178,3.1622776601683795,4.242640687119285,3.7416573867739413,5.385164807134504,3.0,6.48074069840786
West Ham_16_17,16.401219466856727,16.401219466856727,14.730919862656235,12.727922061357855,14.45683229480096,9.695359714832659,10.04987562112089,8.774964387392123,12.24744871391589,7.280109889280518,5.916079783099616,6.164414002968976,7.0710678118654755,5.744562646538029,7.681145747868608,9.433981132056603,2.23606797749979,1.4142135623730951,6.0,5.916079783099616
Sunderland_16_17,17.0,17.0,16.401219466856727,12.727922061357855,14.45683229480096,11.575836902790225,8.54400374531753,10.816653826391969,10.099504938362077,8.06225774829855,5.916079783099616,5.477225575051661,5.0990195135927845,4.58257569495584,4.358898943540674,4.58257569495584,4.123105625617661,5.0990195135927845,0.0,5.196152422706632
Stoke City_16_17,19.849433241279208,19.849433241279208,18.547236990991408,15.394804318340652,17.72004514666935,13.379088160259652,11.313708498984761,12.727922061357855,14.035668847618199,10.488088481701515,8.366600265340756,8.06225774829855,7.14142842854285,7.483314773547883,8.602325267042627,9.273618495495704,3.4641016151377544,3.3166247903554,5.0,1.4142135623730951
Manchester City_17_18,4.123105625617661,4.123105625617661,3.605551275463989,9.273618495495704,5.916079783099616,8.366600265340756,14.177446878757825,8.660254037844387,12.083045973594572,11.180339887498949,13.601470508735444,14.352700094407323,17.146428199482248,14.866068747318506,15.524174696260024,17.46424919657298,17.916472867168917,18.49324200890693,19.026297590440446,22.561028345356956
