Team,Tottenham_21_22,Chelsea_21_22,Liverpool_21_22,Manchester Utd_21_22,West Ham_21_22,Everton_21_22,Manchester City_21_22,Brighton_21_22,Leicester City_21_22,Brentford_21_22,Aston Villa_21_22,Watford_21_22,Southampton_21_22,Crystal Palace_21_22,Leeds United_21_22,Burnley_21_22,Newcastle Utd_21_22,Wolves_21_22,Arsenal_21_22,Norwich City_21_22
West Ham_16_17,7.810249675906654,6.4031242374328485,6.4031242374328485,6.4031242374328485,8.06225774829855,6.0,8.602325267042627,3.7416573867739413,3.1622776601683795,4.47213595499958,2.449489742783178,0.0,1.7320508075688772,1.4142135623730951,3.3166247903554,2.23606797749979,3.7416573867739413,4.69041575982343,5.830951894845301,6.164414002968976
Southampton_16_17,8.12403840463596,7.0710678118654755,7.0710678118654755,7.3484692283495345,9.486832980505138,7.14142842854285,9.433981132056603,4.58257569495584,4.58257569495584,4.358898943540674,3.605551275463989,1.7320508075688772,2.8284271247461903,1.0,4.47213595499958,1.4142135623730951,4.58257569495584,3.0,5.744562646538029,6.4031242374328485
Crystal Palace_16_17,8.774964387392123,8.06225774829855,8.06225774829855,8.54400374531753,11.0,8.48528137423857,10.488088481701515,5.830951894845301,6.164414002968976,4.898979485566356,5.0990195135927845,3.4641016151377544,4.358898943540674,2.449489742783178,5.916079783099616,2.23606797749979,5.830951894845301,1.4142135623730951,6.164414002968976,7.0710678118654755
Sunderland_16_17,9.433981132056603,7.810249675906654,7.810249675906654,7.810249675906654,9.219544457292887,7.483314773547883,9.486832980505138,5.477225575051661,5.0990195135927845,5.656854249492381,3.7416573867739413,2.0,1.7320508075688772,1.4142135623730951,3.3166247903554,1.0,3.1622776601683795,3.7416573867739413,5.0990195135927845,5.477225575051661
Bournemouth_16_17,9.486832980505138,8.246211251235321,8.246211251235321,8.366600265340756,10.0,8.06225774829855,10.246950765959598,5.744562646538029,5.385164807134504,5.744562646538029,4.358898943540674,2.23606797749979,2.449489742783178,1.0,3.7416573867739413,0.0,3.605551275463989,3.0,4.58257569495584,5.196152422706632
Watford_16_17,10.0,8.366600265340756,8.366600265340756,8.246211251235321,9.273618495495704,7.810249675906654,9.9498743710662,5.916079783099616,5.196152422706632,6.4031242374328485,4.123105625617661,2.23606797749979,1.4142135623730951,1.7320508075688772,2.449489742783178,1.4142135623730951,2.23606797749979,4.358898943540674,4.358898943540674,4.58257569495584
Stoke City_16_17,10.04987562112089,8.774964387392123,8.774964387392123,8.774964387392123,10.04987562112089,8.366600265340756,10.677078252031311,6.164414002968976,5.477225575051661,6.48074069840786,4.69041575982343,2.449489742783178,2.23606797749979,1.4142135623730951,3.0,1.0,2.8284271247461903,3.7416573867739413,3.7416573867739413,4.242640687119285
Manchester Utd_17_18,7.0,4.58257569495584,4.58257569495584,4.123105625617661,5.385164807134504,4.69041575982343,3.1622776601683795,7.3484692283495345,8.366600265340756,8.12403840463596,8.12403840463596,10.488088481701515,11.0,11.74734012447073,12.206555615733702,12.36931687685298,12.806248474865697,13.784048752090222,16.186414056238647,16.186414056238647
Liverpool_17_18,6.164414002968976,2.8284271247461903,2.8284271247461903,1.4142135623730951,2.8284271247461903,1.0,3.0,4.123105625617661,4.58257569495584,5.744562646538029,4.358898943540674,6.708203932499369,7.0710678118654755,8.06225774829855,8.12403840463596,8.717797887081348,8.774964387392123,10.63014581273465,12.206555615733702,12.12435565298214
Huddersfield_17_18,2.23606797749979,2.23606797749979,2.23606797749979,3.605551275463989,7.810249675906654,4.242640687119285,6.164414002968976,3.1622776601683795,5.0990195135927845,2.449489742783178,5.0990195135927845,6.48074069840786,7.810249675906654,7.3484692283495345,9.433981132056603,8.06225774829855,10.0,8.602325267042627,12.083045973594572,12.569805089976535
Manchester City_17_18,3.4641016151377544,1.4142135623730951,1.4142135623730951,2.0,5.830951894845301,2.23606797749979,5.196152422706632,1.7320508075688772,3.3166247903554,3.0,3.605551275463989,5.385164807134504,6.48074069840786,6.557438524302,7.874007874011811,7.3484692283495345,8.54400374531753,8.660254037844387,11.090536506409418,11.357816691600547
West Brom_17_18,2.23606797749979,3.0,3.0,4.123105625617661,8.06225774829855,4.47213595499958,7.0710678118654755,2.449489742783178,4.242640687119285,2.0,4.69041575982343,5.656854249492381,7.14142842854285,6.48074069840786,8.660254037844387,7.280109889280518,9.273618495495704,7.874007874011811,11.045361017187261,11.575836902790225
Chelsea_17_18,5.830951894845301,3.1622776601683795,3.1622776601683795,2.449489742783178,4.242640687119285,1.7320508075688772,5.0,2.23606797749979,2.23606797749979,4.358898943540674,2.23606797749979,4.358898943540674,4.898979485566356,5.744562646538029,6.0,6.48074069840786,6.708203932499369,8.54400374531753,9.848857801796104,9.848857801796104
Watford_17_18,5.385164807134504,3.0,3.0,3.0,5.744562646538029,2.8284271247461903,5.477225575051661,1.4142135623730951,2.449489742783178,2.8284271247461903,1.4142135623730951,3.4641016151377544,4.358898943540674,4.69041575982343,5.916079783099616,5.385164807134504,6.48074069840786,7.0710678118654755,9.273618495495704,9.486832980505138
Southampton_17_18,4.47213595499958,3.7416573867739413,3.7416573867739413,4.47213595499958,7.874007874011811,4.58257569495584,7.14142842854285,1.7320508075688772,3.3166247903554,1.0,3.0,3.605551275463989,5.0990195135927845,4.358898943540674,6.782329983125268,5.0990195135927845,7.280109889280518,5.916079783099616,9.1104335791443,9.643650760992955
Tottenham_17_18,5.916079783099616,4.123105625617661,4.123105625617661,4.358898943540674,7.0,4.242640687119285,6.6332495807108,2.0,2.8284271247461903,2.449489742783178,1.4142135623730951,2.449489742783178,3.605551275463989,3.4641016151377544,5.385164807134504,4.123105625617661,5.830951894845301,5.656854249492381,8.246211251235321,8.602325267042627
Burnley_17_18,6.48074069840786,4.69041575982343,4.69041575982343,4.69041575982343,6.782329983125268,4.358898943540674,7.0,2.23606797749979,2.23606797749979,3.3166247903554,1.0,1.7320508075688772,2.8284271247461903,3.0,4.47213595499958,3.7416573867739413,5.0,5.744562646538029,7.54983443527075,7.810249675906654
Stoke City_17_18,5.477225575051661,5.0990195135927845,5.0990195135927845,5.830951894845301,9.055385138137417,5.916079783099616,8.306623862918075,3.0,4.123105625617661,1.7320508075688772,3.605551275463989,3.3166247903554,4.898979485566356,3.605551275463989,6.6332495807108,4.242640687119285,7.0,4.58257569495584,8.306623862918075,9.0
Everton_17_18,5.916079783099616,5.385164807134504,5.385164807134504,5.916079783099616,8.774964387392123,5.830951894845301,8.48528137423857,2.8284271247461903,3.4641016151377544,2.449489742783178,3.1622776601683795,2.449489742783178,4.123105625617661,2.8284271247461903,5.744562646538029,3.605551275463989,6.164414002968976,4.47213595499958,7.483314773547883,8.12403840463596
Swansea City_17_18,6.48074069840786,5.830951894845301,5.830951894845301,6.164414002968976,8.602325267042627,5.916079783099616,8.774964387392123,3.0,3.0,3.3166247903554,3.0,1.7320508075688772,3.4641016151377544,2.23606797749979,4.898979485566356,3.1622776601683795,5.385164807134504,4.58257569495584,6.708203932499369,7.280109889280518
Newcastle Utd_17_18,6.708203932499369,5.385164807134504,5.385164807134504,5.744562646538029,8.306623862918075,5.656854249492381,7.874007874011811,3.1622776601683795,3.7416573867739413,2.8284271247461903,2.449489742783178,2.0,3.3166247903554,2.449489742783178,5.196152422706632,3.0,5.477225575051661,4.242640687119285,7.3484692283495345,7.874007874011811
Leicester City_17_18,8.717797887081348,6.48074069840786,6.48074069840786,6.0,6.48074069840786,5.385164807134504,7.681145747868608,4.358898943540674,3.3166247903554,5.744562646538029,2.23606797749979,2.23606797749979,1.4142135623730951,3.3166247903554,2.449489742783178,3.7416573867739413,3.0,6.557438524302,6.557438524302,6.4031242374328485
Arsenal_17_18,10.04987562112089,8.306623862918075,8.306623862918075,7.810249675906654,7.810249675906654,7.0710678118654755,9.695359714832659,5.830951894845301,4.242640687119285,7.3484692283495345,4.242640687119285,3.1622776601683795,2.23606797749979,3.7416573867739413,1.0,4.123105625617661,2.0,7.0710678118654755,5.0990195135927845,4.69041575982343
Brighton_17_18,9.433981132056603,9.0,9.0,9.433981132056603,11.704699910719626,9.273618495495704,11.575836902790225,6.48074069840786,6.48074069840786,5.830951894845301,5.830951894845301,3.7416573867739413,4.58257569495584,2.449489742783178,5.744562646538029,2.23606797749979,5.656854249492381,1.4142135623730951,5.0990195135927845,6.164414002968976
Bournemouth_17_18,10.488088481701515,9.486832980505138,9.486832980505138,9.695359714832659,11.40175425099138,9.433981132056603,11.532562594670797,7.0,6.708203932499369,6.708203932499369,5.744562646538029,3.605551275463989,3.7416573867739413,2.23606797749979,4.69041575982343,1.4142135623730951,4.358898943540674,2.23606797749979,4.123105625617661,5.0
Crystal Palace_17_18,11.224972160321824,10.488088481701515,10.488088481701515,10.677078252031311,12.24744871391589,10.344080432788601,12.68857754044952,7.810249675906654,7.280109889280518,7.681145747868608,6.708203932499369,4.358898943540674,4.47213595499958,3.0,4.898979485566356,2.449489742783178,4.58257569495584,3.0,3.0,4.123105625617661
West Ham_17_18,13.490737563232042,12.083045973594572,12.083045973594572,11.74734012447073,11.74734012447073,11.090536506409418,13.45362404707371,9.433981132056603,8.06225774829855,10.344080432788601,7.810249675906654,5.916079783099616,4.898979485566356,5.385164807134504,3.4641016151377544,5.0990195135927845,3.0,7.280109889280518,2.23606797749979,1.0
Liverpool_18_19,4.0,2.449489742783178,2.449489742783178,2.8284271247461903,6.164414002968976,3.605551275463989,4.358898943540674,5.196152422706632,6.557438524302,5.744562646538029,6.708203932499369,8.774964387392123,9.695359714832659,9.9498743710662,11.045361017187261,10.677078252031311,11.704699910719626,11.789826122551595,14.52583904633395,14.730919862656235
Tottenham_18_19,5.385164807134504,3.0,3.0,2.23606797749979,4.123105625617661,2.449489742783178,3.7416573867739413,5.0990195135927845,5.830951894845301,6.48074069840786,6.164414002968976,8.366600265340756,9.0,9.695359714832659,10.04987562112089,10.44030650891055,10.770329614269007,12.083045973594572,13.92838827718412,13.92838827718412
Chelsea_18_19,5.830951894845301,3.4641016151377544,3.4641016151377544,2.449489742783178,3.4641016151377544,2.23606797749979,4.123105625617661,5.0,5.385164807134504,6.708203932499369,5.916079783099616,8.06225774829855,8.602325267042627,9.433981132056603,9.486832980505138,10.198039027185569,10.246950765959598,12.041594578792296,13.45362404707371,13.379088160259652
Watford_18_19,4.47213595499958,2.449489742783178,2.449489742783178,2.0,4.69041575982343,2.23606797749979,4.358898943540674,4.358898943540674,5.196152422706632,5.744562646538029,5.744562646538029,7.810249675906654,8.602325267042627,9.1104335791443,9.695359714832659,9.899494936611665,10.44030650891055,11.445523142259598,13.379088160259652,13.45362404707371
Manchester City_18_19,6.6332495807108,3.1622776601683795,3.1622776601683795,2.0,3.1622776601683795,2.23606797749979,1.7320508075688772,5.196152422706632,5.916079783099616,6.4031242374328485,5.385164807134504,7.810249675906654,8.12403840463596,9.1104335791443,9.273618495495704,9.695359714832659,9.848857801796104,11.445523142259598,13.379088160259652,13.30413469565007
Bournemouth_18_19,4.69041575982343,2.0,2.0,1.4142135623730951,4.47213595499958,1.0,4.58257569495584,2.23606797749979,3.0,4.123105625617661,3.3166247903554,5.385164807134504,6.164414002968976,6.708203932499369,7.3484692283495345,7.483314773547883,8.06225774829855,9.219544457292887,11.0,11.090536506409418
Leicester City_18_19,4.69041575982343,2.449489742783178,2.449489742783178,2.449489742783178,5.477225575051661,2.23606797749979,5.385164807134504,1.0,2.23606797749979,3.0,2.23606797749979,4.123105625617661,5.0990195135927845,5.385164807134504,6.48074069840786,6.164414002968976,7.14142842854285,7.810249675906654,9.848857801796104,10.04987562112089
Everton_18_19,7.0710678118654755,4.47213595499958,4.47213595499958,3.7416573867739413,4.47213595499958,3.0,5.744562646538029,3.0,2.23606797749979,5.0,1.7320508075688772,3.605551275463989,3.7416573867739413,5.0,4.69041575982343,5.656854249492381,5.385164807134504,8.06225774829855,8.774964387392123,8.660254037844387
Arsenal_18_19,8.717797887081348,6.48074069840786,6.48074069840786,6.0,6.48074069840786,5.385164807134504,7.681145747868608,4.358898943540674,3.3166247903554,5.744562646538029,2.23606797749979,2.23606797749979,1.4142135623730951,3.3166247903554,2.449489742783178,3.7416573867739413,3.0,6.557438524302,6.557438524302,6.4031242374328485
Crystal Palace_18_19,7.211102550927978,5.830951894845301,5.830951894845301,6.0,8.12403840463596,5.744562646538029,8.18535277187245,3.3166247903554,3.3166247903554,3.605551275463989,2.23606797749979,1.0,2.449489742783178,1.7320508075688772,4.242640687119285,2.449489742783178,4.58257569495584,4.358898943540674,6.557438524302,7.0
Brighton_18_19,7.810249675906654,6.4031242374328485,6.4031242374328485,6.4031242374328485,8.06225774829855,6.0,8.602325267042627,3.7416573867739413,3.1622776601683795,4.47213595499958,2.449489742783178,0.0,1.7320508075688772,1.4142135623730951,3.3166247903554,2.23606797749979,3.7416573867739413,4.69041575982343,5.830951894845301,6.164414002968976
Fulham_18_19,9.433981132056603,7.280109889280518,7.280109889280518,6.708203932499369,6.708203932499369,6.0,8.366600265340756,5.0990195135927845,3.7416573867739413,6.6332495807108,3.1622776601683795,2.8284271247461903,1.7320508075688772,3.7416573867739413,1.7320508075688772,4.123105625617661,2.449489742783178,7.0710678118654755,6.164414002968976,5.830951894845301
Manchester Utd_18_19,9.273618495495704,7.483314773547883,7.483314773547883,7.0710678118654755,7.483314773547883,6.4031242374328485,9.0,5.0,3.605551275463989,6.4031242374328485,3.3166247903554,2.23606797749979,1.4142135623730951,3.0,1.4142135623730951,3.4641016151377544,2.23606797749979,6.4031242374328485,5.385164807134504,5.196152422706632
Cardiff City_18_19,7.874007874011811,7.874007874011811,7.874007874011811,8.602325267042627,11.575836902790225,8.660254037844387,10.816653826391969,5.744562646538029,6.4031242374328485,4.358898943540674,5.744562646538029,4.358898943540674,5.656854249492381,3.605551275463989,7.211102550927978,3.7416573867739413,7.280109889280518,2.23606797749979,7.280109889280518,8.306623862918075
Wolves_18_19,8.602325267042627,7.0710678118654755,7.0710678118654755,7.0710678118654755,8.602325267042627,6.708203932499369,9.0,4.58257569495584,4.123105625617661,5.0,3.0,1.0,1.4142135623730951,1.0,3.1622776601683795,1.4142135623730951,3.3166247903554,4.123105625617661,5.385164807134504,5.744562646538029
Newcastle Utd_18_19,9.0,7.810249675906654,7.810249675906654,8.06225774829855,10.04987562112089,7.874007874011811,9.899494936611665,5.477225575051661,5.477225575051661,5.0990195135927845,4.242640687119285,2.449489742783178,3.0,1.4142135623730951,4.58257569495584,1.0,4.47213595499958,2.449489742783178,5.477225575051661,6.164414002968976
Southampton_18_19,9.0,7.810249675906654,7.810249675906654,8.06225774829855,10.04987562112089,7.874007874011811,9.899494936611665,5.477225575051661,5.477225575051661,5.0990195135927845,4.242640687119285,2.449489742783178,3.0,1.4142135623730951,4.58257569495584,1.0,4.47213595499958,2.449489742783178,5.477225575051661,6.164414002968976
Burnley_18_19,10.63014581273465,9.0,9.0,8.774964387392123,9.433981132056603,8.246211251235321,10.488088481701515,6.48074069840786,5.477225575051661,7.211102550927978,4.69041575982343,2.8284271247461903,1.7320508075688772,2.449489742783178,1.7320508075688772,2.23606797749979,1.4142135623730951,5.0990195135927845,3.7416573867739413,3.7416573867739413
Huddersfield_18_19,12.206555615733702,11.180339887498949,11.180339887498949,11.0,11.532562594670797,10.392304845413264,13.038404810405298,8.366600265340756,7.0710678118654755,9.16515138991168,7.0710678118654755,4.898979485566356,4.358898943540674,4.242640687119285,3.3166247903554,4.123105625617661,3.1622776601683795,6.164414002968976,1.4142135623730951,1.4142135623730951
West Ham_18_19,12.767145334803704,11.357816691600547,11.357816691600547,11.090536506409418,11.357816691600547,10.488088481701515,12.806248474865697,8.717797887081348,7.483314773547883,9.486832980505138,7.0710678118654755,5.0990195135927845,4.123105625617661,4.47213595499958,3.0,4.123105625617661,2.449489742783178,6.324555320336759,2.0,1.4142135623730951
Liverpool_19_20,6.708203932499369,4.123105625617661,4.123105625617661,3.0,3.0,2.8284271247461903,3.7416573867739413,5.830951894845301,6.164414002968976,7.483314773547883,6.48074069840786,8.717797887081348,9.1104335791443,10.099504938362077,9.9498743710662,10.816653826391969,10.677078252031311,12.727922061357855,14.071247279470288,13.92838827718412
Manchester City_19_20,7.874007874011811,4.47213595499958,4.47213595499958,3.1622776601683795,2.0,3.0,2.23606797749979,6.082762530298219,6.4031242374328485,7.54983443527075,5.916079783099616,8.306623862918075,8.366600265340756,9.643650760992955,9.273618495495704,10.198039027185569,9.848857801796104,12.206555615733702,13.601470508735444,13.379088160259652
Arsenal_19_20,5.0990195135927845,3.7416573867739413,3.7416573867739413,3.7416573867739413,6.164414002968976,3.3166247903554,6.708203932499369,1.0,1.0,3.3166247903554,2.23606797749979,3.3166247903554,4.47213595499958,4.58257569495584,5.656854249492381,5.477225575051661,6.4031242374328485,7.280109889280518,8.774964387392123,9.0
Leicester City_19_20,4.47213595499958,3.7416573867739413,3.7416573867739413,4.47213595499958,7.874007874011811,4.58257569495584,7.14142842854285,1.7320508075688772,3.3166247903554,1.0,3.0,3.605551275463989,5.0990195135927845,4.358898943540674,6.782329983125268,5.0990195135927845,7.280109889280518,5.916079783099616,9.1104335791443,9.643650760992955
Manchester Utd_19_20,6.557438524302,3.605551275463989,3.605551275463989,3.3166247903554,5.385164807134504,3.1622776601683795,4.898979485566356,2.8284271247461903,3.4641016151377544,3.7416573867739413,1.4142135623730951,3.7416573867739413,4.123105625617661,4.898979485566356,5.744562646538029,5.385164807134504,6.164414002968976,7.211102550927978,9.38083151964686,9.486832980505138
Burnley_19_20,6.164414002968976,3.7416573867739413,3.7416573867739413,3.7416573867739413,6.164414002968976,3.605551275463989,5.744562646538029,2.23606797749979,3.0,3.0,1.0,3.0,3.7416573867739413,4.123105625617661,5.477225575051661,4.69041575982343,5.916079783099616,6.4031242374328485,8.774964387392123,9.0
Brighton_19_20,5.916079783099616,4.123105625617661,4.123105625617661,4.358898943540674,7.0,4.242640687119285,6.6332495807108,2.0,2.8284271247461903,2.449489742783178,1.4142135623730951,2.449489742783178,3.605551275463989,3.4641016151377544,5.385164807134504,4.123105625617661,5.830951894845301,5.656854249492381,8.246211251235321,8.602325267042627
Tottenham_19_20,6.708203932499369,4.358898943540674,4.358898943540674,4.123105625617661,5.916079783099616,3.7416573867739413,6.164414002968976,2.449489742783178,2.449489742783178,3.7416573867739413,0.0,2.449489742783178,3.0,3.7416573867739413,4.58257569495584,4.358898943540674,5.0990195135927845,6.48074069840786,8.12403840463596,8.246211251235321
Crystal Palace_19_20,5.477225575051661,5.0990195135927845,5.0990195135927845,5.830951894845301,9.055385138137417,5.916079783099616,8.306623862918075,3.0,4.123105625617661,1.7320508075688772,3.605551275463989,3.3166247903554,4.898979485566356,3.605551275463989,6.6332495807108,4.242640687119285,7.0,4.58257569495584,8.306623862918075,9.0
Sheffield Utd_19_20,5.830951894845301,4.69041575982343,4.69041575982343,5.0990195135927845,7.874007874011811,5.0,7.54983443527075,2.23606797749979,3.0,2.23606797749979,2.23606797749979,2.23606797749979,3.7416573867739413,3.0,5.477225575051661,3.7416573867739413,5.916079783099616,5.0,7.810249675906654,8.306623862918075
Bournemouth_19_20,7.14142842854285,5.385164807134504,5.385164807134504,5.196152422706632,6.708203932499369,4.69041575982343,7.483314773547883,2.8284271247461903,2.0,4.242640687119285,1.4142135623730951,1.4142135623730951,2.23606797749979,2.8284271247461903,3.605551275463989,3.605551275463989,4.242640687119285,6.0,6.928203230275509,7.0710678118654755
Everton_19_20,5.744562646538029,5.916079783099616,5.916079783099616,6.708203932499369,9.9498743710662,6.782329983125268,9.273618495495704,3.7416573867739413,4.69041575982343,2.449489742783178,4.47213595499958,3.7416573867739413,5.385164807134504,3.7416573867739413,7.0,4.358898943540674,7.3484692283495345,4.242640687119285,8.12403840463596,8.94427190999916
Chelsea_19_20,8.660254037844387,7.0,7.0,6.557438524302,7.0,5.830951894845301,8.717797887081348,4.47213595499958,2.8284271247461903,6.164414002968976,3.1622776601683795,2.449489742783178,2.23606797749979,3.4641016151377544,2.23606797749979,4.123105625617661,3.1622776601683795,6.928203230275509,6.0,5.830951894845301
West Ham_19_20,8.660254037844387,7.0,7.0,6.557438524302,7.0,5.830951894845301,8.717797887081348,4.47213595499958,2.8284271247461903,6.164414002968976,3.1622776601683795,2.449489742783178,2.23606797749979,3.4641016151377544,2.23606797749979,4.123105625617661,3.1622776601683795,6.928203230275509,6.0,5.830951894845301
Wolves_19_20,6.4031242374328485,5.744562646538029,5.744562646538029,6.4031242374328485,9.433981132056603,6.48074069840786,8.602325267042627,3.7416573867739413,4.69041575982343,2.449489742783178,3.7416573867739413,3.1622776601683795,4.58257569495584,3.1622776601683795,6.4031242374328485,3.605551275463989,6.6332495807108,3.7416573867739413,7.874007874011811,8.602325267042627
Aston Villa_19_20,7.874007874011811,6.0,6.0,5.830951894845301,7.211102550927978,5.385164807134504,7.810249675906654,3.605551275463989,3.0,4.58257569495584,1.7320508075688772,1.0,1.4142135623730951,2.23606797749979,3.1622776601683795,2.8284271247461903,3.605551275463989,5.385164807134504,6.4031242374328485,6.557438524302
Newcastle Utd_19_20,7.280109889280518,6.4031242374328485,6.4031242374328485,6.708203932499369,9.0,6.48074069840786,9.055385138137417,3.7416573867739413,3.7416573867739413,3.7416573867739413,3.1622776601683795,1.4142135623730951,3.0,1.4142135623730951,4.58257569495584,2.23606797749979,4.898979485566356,3.7416573867739413,6.164414002968976,6.782329983125268
Norwich City_19_20,10.44030650891055,8.06225774829855,8.06225774829855,7.280109889280518,6.4031242374328485,6.48074069840786,8.602325267042627,6.164414002968976,4.69041575982343,7.874007874011811,4.242640687119285,4.242640687119285,3.0,5.0990195135927845,2.23606797749979,5.385164807134504,2.8284271247461903,8.366600265340756,6.782329983125268,6.164414002968976
Southampton_19_20,7.810249675906654,6.4031242374328485,6.4031242374328485,6.4031242374328485,8.06225774829855,6.0,8.602325267042627,3.7416573867739413,3.1622776601683795,4.47213595499958,2.449489742783178,0.0,1.7320508075688772,1.4142135623730951,3.3166247903554,2.23606797749979,3.7416573867739413,4.69041575982343,5.830951894845301,6.164414002968976
Watford_19_20,11.575836902790225,10.488088481701515,10.488088481701515,10.488088481701515,11.575836902790225,10.04987562112089,12.36931687685298,7.810249675906654,7.0,8.06225774829855,6.4031242374328485,4.123105625617661,3.7416573867739413,3.0,3.7416573867739413,2.449489742783178,3.3166247903554,4.123105625617661,2.23606797749979,3.0
Aston Villa_20_21,8.246211251235321,5.477225575051661,5.477225575051661,4.47213595499958,3.7416573867739413,4.58257569495584,3.3166247903554,7.681145747868608,8.18535277187245,9.0,8.06225774829855,10.44030650891055,10.677078252031311,11.789826122551595,11.575836902790225,12.409673645990857,12.206555615733702,14.247806848775006,15.84297951775486,15.652475842498529
Leicester City_20_21,9.848857801796104,7.0,7.0,5.744562646538029,3.0,5.477225575051661,4.69041575982343,8.602325267042627,8.602325267042627,10.295630140987,8.602325267042627,10.862780491200215,10.816653826391969,12.24744871391589,11.357816691600547,12.84523257866513,12.0,15.033296378372908,15.811388300841896,15.427248620541512
Everton_20_21,5.830951894845301,3.4641016151377544,3.4641016151377544,2.449489742783178,3.4641016151377544,2.23606797749979,4.123105625617661,5.0,5.385164807134504,6.708203932499369,5.916079783099616,8.06225774829855,8.602325267042627,9.433981132056603,9.486832980505138,10.198039027185569,10.246950765959598,12.041594578792296,13.45362404707371,13.379088160259652
Liverpool_20_21,7.211102550927978,4.69041575982343,4.69041575982343,3.4641016151377544,2.449489742783178,3.0,4.358898943540674,5.916079783099616,5.916079783099616,7.810249675906654,6.4031242374328485,8.54400374531753,8.831760866327848,9.9498743710662,9.486832980505138,10.677078252031311,10.246950765959598,12.767145334803704,13.674794331177344,13.45362404707371
