Team,Chelsea_21_22,Liverpool_21_22,Manchester Utd_21_22,Everton_21_22,Manchester City_21_22,Brighton_21_22,Tottenham_21_22,West Ham_21_22,Leicester City_21_22,Brentford_21_22,Crystal Palace_21_22,Aston Villa_21_22,Wolves_21_22,Southampton_21_22,Watford_21_22,Arsenal_21_22,Leeds United_21_22,Burnley_21_22,Newcastle Utd_21_22,Norwich City_21_22
Tottenham_17_18,4.123105625617661,4.123105625617661,5.0,4.358898943540674,4.898979485566356,2.8284271247461903,4.47213595499958,3.7416573867739413,4.358898943540674,4.58257569495584,3.4641016151377544,5.385164807134504,6.4031242374328485,5.830951894845301,6.928203230275509,9.38083151964686,9.899494936611665,8.774964387392123,11.0,12.206555615733702
Huddersfield_17_18,5.916079783099616,5.916079783099616,7.681145747868608,7.0,7.3484692283495345,2.449489742783178,2.449489742783178,6.782329983125268,4.123105625617661,2.23606797749979,3.7416573867739413,5.916079783099616,4.58257569495584,5.656854249492381,6.48074069840786,8.602325267042627,10.295630140987,8.54400374531753,11.704699910719626,11.789826122551595
Burnley_17_18,5.830951894845301,5.830951894845301,6.782329983125268,5.830951894845301,7.0,2.23606797749979,3.0,5.196152422706632,2.449489742783178,3.4641016151377544,2.23606797749979,4.242640687119285,5.0990195135927845,4.58257569495584,5.385164807134504,7.54983443527075,8.660254037844387,7.483314773547883,10.0,10.677078252031311
Liverpool_17_18,7.681145747868608,7.681145747868608,6.557438524302,5.385164807134504,7.874007874011811,6.164414002968976,7.3484692283495345,3.7416573867739413,4.58257569495584,8.06225774829855,4.69041575982343,4.358898943540674,8.774964387392123,6.0,6.48074069840786,8.12403840463596,7.0710678118654755,7.810249675906654,7.810249675906654,10.344080432788601
West Brom_17_18,6.557438524302,6.557438524302,7.681145747868608,6.708203932499369,7.874007874011811,2.449489742783178,2.449489742783178,6.164414002968976,2.23606797749979,3.0,2.449489742783178,4.358898943540674,4.58257569495584,4.47213595499958,5.0990195135927845,7.0710678118654755,8.602325267042627,7.280109889280518,10.04987562112089,10.344080432788601
Newcastle Utd_17_18,6.708203932499369,6.708203932499369,8.06225774829855,7.280109889280518,7.874007874011811,3.1622776601683795,3.1622776601683795,6.6332495807108,3.0,1.7320508075688772,2.449489742783178,4.58257569495584,3.605551275463989,4.242640687119285,5.0990195135927845,7.3484692283495345,8.94427190999916,7.14142842854285,10.344080432788601,10.44030650891055
Arsenal_17_18,8.306623862918075,8.306623862918075,7.54983443527075,6.4031242374328485,8.602325267042627,6.164414002968976,7.0710678118654755,4.69041575982343,3.605551275463989,7.280109889280518,3.7416573867739413,3.0,7.681145747868608,4.69041575982343,5.0990195135927845,6.782329983125268,5.830951894845301,6.4031242374328485,6.708203932499369,9.0
Stoke City_17_18,7.681145747868608,7.681145747868608,8.660254037844387,7.810249675906654,8.602325267042627,4.242640687119285,4.242640687119285,6.782329983125268,2.23606797749979,2.23606797749979,1.4142135623730951,3.3166247903554,3.0,2.8284271247461903,3.7416573867739413,6.164414002968976,7.615773105863909,5.744562646538029,9.0,9.1104335791443
Southampton_17_18,8.366600265340756,8.366600265340756,9.486832980505138,8.602325267042627,9.433981132056603,4.58257569495584,4.123105625617661,7.681145747868608,2.449489742783178,2.0,2.23606797749979,3.7416573867739413,2.449489742783178,3.0,3.605551275463989,5.744562646538029,7.681145747868608,5.656854249492381,9.16515138991168,8.831760866327848
Brighton_17_18,9.38083151964686,9.38083151964686,10.198039027185569,9.273618495495704,10.246950765959598,5.744562646538029,5.385164807134504,8.06225774829855,2.449489742783178,3.1622776601683795,2.23606797749979,2.8284271247461903,2.449489742783178,1.7320508075688772,2.23606797749979,4.58257569495584,6.4031242374328485,4.242640687119285,7.874007874011811,7.483314773547883
