Team,Manchester City_21_22,Liverpool_21_22,Chelsea_21_22,Tottenham_21_22,West Ham_21_22,Manchester Utd_21_22,Arsenal_21_22,Leicester City_21_22,Wolves_21_22,Brentford_21_22,Brighton_21_22,Crystal Palace_21_22,Aston Villa_21_22,Everton_21_22,Leeds United_21_22,Southampton_21_22,Watford_21_22,Burnley_21_22,Newcastle Utd_21_22,Norwich City_21_22
Bournemouth_16_17,25.80697580112788,30.886890422961002,26.019223662515376,10.04987562112089,11.0,7.280109889280518,5.916079783099616,5.477225575051661,14.866068747318506,3.3166247903554,11.357816691600547,3.605551275463989,2.23606797749979,4.69041575982343,7.0710678118654755,9.486832980505138,10.04987562112089,12.24744871391589,15.066519173319364,19.131126469708992
Watford_16_17,28.178005607210743,32.984845004941285,28.337254630609507,12.041594578792296,13.379088160259652,8.774964387392123,7.810249675906654,6.164414002968976,16.64331697709324,6.082762530298219,13.076696830622021,6.4031242374328485,3.605551275463989,3.1622776601683795,7.0710678118654755,9.486832980505138,8.54400374531753,12.328828005937952,13.152946437965905,17.4928556845359
Stoke City_16_17,27.367864366808018,34.249087579087416,28.600699292150182,10.295630140987,13.92838827718412,11.575836902790225,7.211102550927978,11.357816691600547,9.486832980505138,4.0,5.830951894845301,5.0990195135927845,5.0990195135927845,7.0,5.0,5.385164807134504,12.083045973594572,9.433981132056603,15.620499351813308,16.76305461424021
Burnley_16_17,32.46536616149585,38.67815921162743,33.391615714128,15.132745950421556,18.411952639521967,15.0,11.532562594670797,13.038404810405298,13.0,7.810249675906654,9.539392014169456,8.306623862918075,6.4031242374328485,5.477225575051661,2.449489742783178,2.449489742783178,8.774964387392123,6.324555320336759,10.816653826391969,11.575836902790225
Leicester City_16_17,30.854497241083024,35.24202037341219,30.740852297878796,15.264337522473747,16.0312195418814,12.449899597988733,11.180339887498949,8.48528137423857,16.583123951777,6.4031242374328485,12.84523257866513,5.916079783099616,3.605551275463989,2.449489742783178,4.47213595499958,7.615773105863909,5.0,8.366600265340756,10.04987562112089,15.165750888103101
West Ham_16_17,34.539832078341085,39.1279950930277,34.64101615137755,17.944358444926362,19.697715603592208,15.297058540778355,13.784048752090222,11.532562594670797,18.708286933869708,10.295630140987,15.0996688705415,10.295630140987,7.3484692283495345,4.123105625617661,6.082762530298219,8.06225774829855,4.242640687119285,9.1104335791443,6.782329983125268,11.704699910719626
Crystal Palace_16_17,32.218007387174026,33.67491648096547,30.675723300355934,19.72308292331602,17.69180601295413,14.035668847618199,15.84297951775486,8.12403840463596,24.1039415863879,12.449899597988733,20.42057785666214,11.532562594670797,10.04987562112089,9.055385138137417,12.569805089976535,15.684387141358123,7.280109889280518,15.297058540778355,12.449899597988733,20.639767440550294
Middlesbrough_16_17,32.07802986469088,39.45883931389772,33.61547262794322,16.1245154965971,19.849433241279208,18.384776310850235,13.92838827718412,17.578395831246947,7.874007874011811,9.899494936611665,5.477225575051661,10.295630140987,10.770329614269007,11.789826122551595,7.280109889280518,5.196152422706632,14.560219778561036,6.708203932499369,16.30950643030009,14.798648586948742
Swansea City_16_17,38.34057902536163,41.641325627314025,37.8021163428716,22.693611435820433,23.345235059857504,19.0,18.466185312619388,14.071247279470288,23.345235059857504,14.45683229480096,19.72308292331602,14.035668847618199,11.445523142259598,8.48528137423857,10.295630140987,12.328828005937952,3.3166247903554,11.224972160321824,3.605551275463989,12.328828005937952
Hull City_16_17,41.38840417314975,45.98912915026767,41.569219381653056,24.372115213907882,26.60826939130014,22.135943621178654,20.346989949375804,18.24828759089466,22.93468988235943,16.792855623746664,19.697715603592208,16.792855623746664,14.071247279470288,11.0,11.180339887498949,11.704699910719626,8.12403840463596,11.090536506409418,3.7416573867739413,7.0
Sunderland_16_17,38.09199390948182,43.508619835614184,38.600518131237564,21.307275752662516,23.790754506740637,20.396078054371138,17.60681686165901,17.05872210923198,17.320508075688775,12.884098726725126,14.212670403551895,12.806248474865697,11.045361017187261,9.219544457292887,6.557438524302,6.4031242374328485,7.874007874011811,4.123105625617661,6.782329983125268,7.280109889280518
Manchester City_17_18,17.11724276862369,9.539392014169456,14.142135623730951,32.89376840679705,28.071337695236398,31.843366656181317,35.35533905932738,35.679125549822544,43.93176527297759,39.06404996924922,43.22036556994862,39.06404996924922,40.66939881532551,43.09292285283048,45.35416188179427,47.16990566028302,47.095647357266465,49.82971001320397,52.78257288158659,57.766772456144714
Manchester Utd_17_18,4.69041575982343,9.273618495495704,2.23606797749979,18.027756377319946,13.30413469565007,18.24828759089466,20.663978319771825,22.494443758403985,27.94637722496424,23.895606290697042,27.294688127912362,23.93741840717165,26.019223662515376,28.879058156387302,30.298514815086232,31.843366656181317,33.301651610693426,34.438350715445125,38.92300091205713,43.01162633521314
Chelsea_17_18,8.774964387392123,17.74823934929885,10.954451150103322,9.695359714832659,7.211102550927978,12.24744871391589,12.884098726725126,17.233687939614086,19.44222209522358,16.55294535724685,18.867962264113206,16.911534525287763,19.026297590440446,22.02271554554524,22.825424421026653,23.93741840717165,27.09243436828813,27.03701166919155,32.341923257592455,35.2845575287547
Liverpool_17_18,13.638181696985855,15.297058540778355,11.532562594670797,13.076696830622021,6.4031242374328485,9.433981132056603,13.74772708486752,12.727922061357855,24.515301344262525,16.522711641858304,22.561028345356956,16.401219466856727,17.74823934929885,20.09975124224178,22.58317958127243,24.73863375370596,24.06241883103193,27.16615541441225,29.748949561287034,34.92849839314596
Arsenal_17_18,14.52583904633395,18.788294228055936,13.92838827718412,9.055385138137417,2.449489742783178,6.0,9.695359714832659,10.344080432788601,20.591260281974,12.884098726725126,18.601075237738275,12.96148139681572,14.352700094407323,16.881943016134134,19.05255888325765,21.0,21.400934559032695,23.769728648009426,26.94438717061496,31.448370387032774
Tottenham_17_18,12.24744871391589,19.339079605813716,13.152946437965905,8.660254037844387,5.0,10.246950765959598,10.816653826391969,14.352700094407323,17.46424919657298,13.30413469565007,16.401219466856727,13.45362404707371,15.84297951775486,18.973665961010276,19.6468827043885,20.97617696340303,23.727621035409346,23.62202362203543,29.068883707497267,32.37282811247729
Burnley_17_18,20.808652046684813,31.32091952673165,24.372115213907882,9.273618495495704,14.7648230602334,16.30950643030009,11.832159566199232,20.12461179749811,7.874007874011811,14.142135623730951,9.486832980505138,15.165750888103101,16.911534525287763,19.519221295943137,17.804493814764857,17.0,24.939927826679853,20.808652046684813,28.495613697550013,27.80287754891569
Leicester City_17_18,22.22611077089287,27.92848008753788,22.693611435820433,7.0,7.681145747868608,5.385164807134504,3.605551275463989,6.48074069840786,13.74772708486752,3.605551275463989,10.723805294763608,4.123105625617661,5.385164807134504,8.366600265340756,9.695359714832659,11.575836902790225,13.601470508735444,14.560219778561036,18.681541692269406,22.22611077089287
Watford_17_18,25.37715508089904,29.154759474226502,24.919871588754223,11.357816691600547,10.44030650891055,5.916079783099616,7.54983443527075,2.0,18.411952639521967,6.708203932499369,15.0,6.557438524302,5.385164807134504,6.48074069840786,10.198039027185569,12.884098726725126,10.63014581273465,15.165750888103101,16.0312195418814,21.400934559032695
Everton_17_18,30.495901363953813,35.185224171518364,30.610455730027933,14.177446878757825,15.652475842498529,11.180339887498949,9.9498743710662,7.874007874011811,17.11724276862369,7.14142842854285,13.45362404707371,7.280109889280518,4.123105625617661,1.4142135623730951,5.830951894845301,8.366600265340756,6.4031242374328485,10.677078252031311,10.723805294763608,15.297058540778355
Southampton_17_18,28.089143810376278,35.369478367654786,29.5296461204668,12.083045973594572,15.620499351813308,14.352700094407323,9.899494936611665,14.177446878757825,7.0710678118654755,6.164414002968976,3.4641016151377544,6.782329983125268,7.874007874011811,9.848857801796104,6.4031242374328485,5.744562646538029,13.92838827718412,8.660254037844387,17.029386365926403,17.233687939614086
Huddersfield_17_18,34.249087579087416,41.38840417314975,35.749125863438955,16.431676725154983,20.92844953645635,17.60681686165901,13.416407864998739,16.522711641858304,12.409673645990857,10.954451150103322,9.695359714832659,11.74734012447073,10.099504938362077,9.219544457292887,6.4031242374328485,4.123105625617661,12.24744871391589,8.306623862918075,12.806248474865697,10.44030650891055
Brighton_17_18,30.757112998459398,37.97367509209505,32.202484376209235,14.035668847618199,17.916472867168917,15.905973720586866,11.445523142259598,15.165750888103101,8.306623862918075,7.681145747868608,5.0,8.306623862918075,8.306623862918075,9.273618495495704,5.0990195135927845,3.1622776601683795,12.84523257866513,6.782329983125268,15.066519173319364,14.352700094407323
Bournemouth_17_18,30.133038346638727,37.282703764614496,31.51190251317746,14.317821063276353,17.69180601295413,16.34013463836819,12.041594578792296,15.620499351813308,7.681145747868608,7.810249675906654,4.58257569495584,8.18535277187245,9.0,10.488088481701515,6.324555320336759,5.0990195135927845,13.74772708486752,7.0710678118654755,16.278820596099706,15.937377450509228
Stoke City_17_18,36.823905279043935,40.570925550201586,36.565010597564445,20.71231517720798,21.93171219946131,17.05872210923198,16.522711641858304,12.806248474865697,22.693611435820433,13.74772708486752,19.1049731745428,13.674794331177344,10.63014581273465,7.3484692283495345,10.198039027185569,12.083045973594572,5.385164807134504,12.727922061357855,6.4031242374328485,12.884098726725126
Newcastle Utd_17_18,32.77193921634788,38.65229618017538,33.481338085566414,16.0312195418814,18.681541692269406,15.652475842498529,12.449899597988733,13.19090595827292,13.152946437965905,7.681145747868608,9.643650760992955,7.810249675906654,6.4031242374328485,5.830951894845301,1.4142135623730951,2.449489742783178,8.06225774829855,4.242640687119285,10.344080432788601,11.74734012447073
West Brom_17_18,35.14256678161116,42.01190307520001,36.41428291206625,18.601075237738275,22.135943621178654,19.8997487421324,15.811388300841896,18.193405398660254,11.313708498984761,11.40175425099138,8.831760866327848,11.661903789690601,11.224972160321824,11.180339887498949,6.557438524302,4.123105625617661,12.727922061357855,4.123105625617661,13.341664064126334,11.180339887498949
West Ham_17_18,38.92300091205713,44.01136216933077,39.319206502675,21.77154105707724,24.289915602982237,20.09975124224178,17.832554500127006,16.583123951777,19.79898987322333,14.071247279470288,16.55294535724685,14.142135623730951,11.575836902790225,8.774964387392123,8.18535277187245,8.54400374531753,7.0710678118654755,8.306623862918075,4.69041575982343,6.708203932499369
Swansea City_17_18,36.51027252705737,44.23799272118933,38.28837943815329,20.83266665599966,24.859605789312106,23.452078799117146,18.867962264113206,22.47220505424423,10.295630140987,14.966629547095765,9.486832980505138,15.297058540778355,15.556349186104045,16.0312195418814,11.357816691600547,8.774964387392123,17.72004514666935,8.54400374531753,18.0,14.177446878757825
Crystal Palace_17_18,39.774363602702685,46.10856753359401,40.80441152620633,22.561028345356956,26.019223662515376,22.825424421026653,19.261360284258224,20.248456731316587,16.522711641858304,15.066519173319364,14.035668847618199,15.264337522473747,13.74772708486752,12.24744871391589,8.831760866327848,7.0710678118654755,11.874342087037917,5.830951894845301,9.9498743710662,5.477225575051661
Liverpool_18_19,5.0990195135927845,13.490737563232042,8.774964387392123,22.516660498395403,20.024984394500787,24.758836806279895,26.095976701399778,29.832867780352597,31.448370387032774,30.14962686336267,31.701734968294716,30.479501308256342,32.54228019054596,35.4400902933387,36.41428291206625,37.416573867739416,40.43513323831146,40.570925550201586,45.79301256742124,48.744230427815765
Manchester City_18_19,12.36931687685298,5.0,8.831760866327848,28.635642126552707,23.62202362203543,27.964262908219126,31.144823004794873,31.76476034853718,38.91015291668744,34.438350715445125,38.28837943815329,34.38022687534217,36.27671429443411,38.92300091205713,40.80441152620633,42.555845661906424,42.941821107167776,45.0,48.68264577855234,53.4696175411794
Tottenham_18_19,7.874007874011811,15.556349186104045,9.433981132056603,11.789826122551595,8.774964387392123,12.68857754044952,14.730919862656235,18.05547008526779,23.515952032609693,19.313207915827967,22.64950330581225,19.72308292331602,21.236760581595302,23.83275057562597,25.495097567963924,26.832815729997478,28.89636655359978,30.23243291566195,34.19064199455752,37.62977544445356
Chelsea_18_19,5.656854249492381,12.409673645990857,5.744562646538029,14.317821063276353,9.848857801796104,14.798648586948742,17.0,19.390719429665317,24.71841418861655,20.518284528683193,23.93741840717165,20.663978319771825,22.64950330581225,25.495097567963924,26.90724809414742,28.39013913315678,30.14962686336267,31.20897306865447,35.679125549822544,39.52214569073901
Arsenal_18_19,11.874342087037917,13.152946437965905,9.695359714832659,14.89966442575134,9.273618495495704,12.083045973594572,16.24807680927192,16.0312195418814,27.09243436828813,19.8997487421324,25.41653005427767,19.949937343260004,21.118712081942874,23.345235059857504,25.942243542145693,27.94637722496424,27.53179979587241,30.740852297878796,33.1058907144937,38.06573262134856
Manchester Utd_18_19,21.400934559032695,24.61706725018234,20.615528128088304,10.344080432788601,7.280109889280518,3.0,8.06225774829855,4.242640687119285,20.615528128088304,10.04987562112089,17.69180601295413,10.04987562112089,9.9498743710662,11.489125293076057,14.89966442575134,17.320508075688775,15.588457268119896,19.949937343260004,21.0,26.30589287593181
