Team,Liverpool_21_22,Manchester City_21_22,Chelsea_21_22,Manchester Utd_21_22,Everton_21_22,Brighton_21_22,West Ham_21_22,Aston Villa_21_22,Brentford_21_22,Arsenal_21_22,Tottenham_21_22,Watford_21_22,Leicester City_21_22,Wolves_21_22,Crystal Palace_21_22,Southampton_21_22,Newcastle Utd_21_22,Leeds United_21_22,Burnley_21_22,Norwich City_21_22
Burnley_17_18,10.344080432788601,8.246211251235321,7.810249675906654,8.06225774829855,7.483314773547883,4.47213595499958,7.874007874011811,3.7416573867739413,2.0,5.0990195135927845,4.47213595499958,4.58257569495584,5.477225575051661,4.242640687119285,5.0,5.744562646538029,10.862780491200215,10.816653826391969,9.273618495495704,14.7648230602334
Newcastle Utd_17_18,10.344080432788601,8.246211251235321,7.810249675906654,8.06225774829855,7.483314773547883,4.47213595499958,7.874007874011811,3.7416573867739413,2.0,5.0990195135927845,4.47213595499958,4.58257569495584,5.477225575051661,4.242640687119285,5.0,5.744562646538029,10.862780491200215,10.816653826391969,9.273618495495704,14.7648230602334
Southampton_17_18,12.569805089976535,10.246950765959598,9.899494936611665,10.295630140987,9.643650760992955,6.4031242374328485,9.9498743710662,5.744562646538029,4.123105625617661,5.196152422706632,4.123105625617661,5.0990195135927845,5.916079783099616,2.23606797749979,4.898979485566356,4.47213595499958,10.723805294763608,10.488088481701515,8.54400374531753,13.74772708486752
West Brom_17_18,12.68857754044952,10.677078252031311,10.246950765959598,10.344080432788601,9.486832980505138,6.48074069840786,9.695359714832659,5.477225575051661,4.242640687119285,4.242640687119285,3.1622776601683795,4.358898943540674,5.0990195135927845,2.449489742783178,4.123105625617661,4.123105625617661,9.899494936611665,9.643650760992955,7.874007874011811,12.96148139681572
Brighton_17_18,12.569805089976535,11.0,10.488088481701515,10.198039027185569,9.219544457292887,7.0,9.0,5.0,4.123105625617661,3.605551275463989,3.0,2.8284271247461903,3.605551275463989,3.0,2.449489742783178,3.1622776601683795,8.306623862918075,8.12403840463596,6.4031242374328485,11.789826122551595
Everton_17_18,14.798648586948742,14.142135623730951,13.45362404707371,12.36931687685298,10.770329614269007,9.38083151964686,10.295630140987,7.0710678118654755,7.483314773547883,2.449489742783178,2.8284271247461903,3.605551275463989,3.1622776601683795,6.164414002968976,3.0,5.0,5.830951894845301,5.385164807134504,5.0990195135927845,8.831760866327848
Swansea City_17_18,15.297058540778355,13.45362404707371,13.038404810405298,12.96148139681572,12.041594578792296,9.643650760992955,11.704699910719626,7.810249675906654,6.708203932499369,5.385164807134504,4.58257569495584,4.898979485566356,5.385164807134504,2.23606797749979,3.7416573867739413,1.4142135623730951,8.306623862918075,7.874007874011811,5.385164807134504,10.344080432788601
Stoke City_17_18,14.730919862656235,13.92838827718412,13.30413469565007,12.36931687685298,11.045361017187261,9.899494936611665,10.198039027185569,7.0710678118654755,7.0710678118654755,4.0,4.242640687119285,3.0,2.8284271247461903,5.477225575051661,1.7320508075688772,3.3166247903554,4.898979485566356,4.58257569495584,3.1622776601683795,8.366600265340756
Leicester City_17_18,14.142135623730951,14.52583904633395,13.784048752090222,12.083045973594572,10.723805294763608,11.445523142259598,9.0,7.810249675906654,8.660254037844387,6.708203932499369,7.681145747868608,4.69041575982343,4.123105625617661,9.433981132056603,4.69041575982343,7.0710678118654755,3.0,3.7416573867739413,4.58257569495584,9.0
West Ham_17_18,16.186414056238647,16.15549442140351,15.427248620541512,13.92838827718412,12.36931687685298,12.206555615733702,11.090536506409418,9.0,9.643650760992955,5.916079783099616,6.708203932499369,5.0990195135927845,4.358898943540674,8.774964387392123,4.47213595499958,6.324555320336759,1.7320508075688772,1.4142135623730951,3.0,6.4031242374328485
