Team,Chelsea_21_22,Manchester City_21_22,Liverpool_21_22,Tottenham_21_22,West Ham_21_22,Arsenal_21_22,Manchester Utd_21_22,Wolves_21_22,Brighton_21_22,Leicester City_21_22,Crystal Palace_21_22,Brentford_21_22,Aston Villa_21_22,Everton_21_22,Leeds United_21_22,Southampton_21_22,Watford_21_22,Burnley_21_22,Norwich City_21_22,Newcastle Utd_21_22
Sunderland_16_17,34.19064199455752,30.364452901377952,37.21558813185679,15.7797338380595,18.411952639521967,13.0,14.142135623730951,15.748015748023622,12.083045973594572,11.357816691600547,8.12403840463596,7.681145747868608,7.14142842854285,5.0,5.744562646538029,5.744562646538029,5.744562646538029,3.1622776601683795,7.280109889280518,7.483314773547883
Hull City_16_17,38.691084244306204,34.72751070837067,41.38840417314975,19.1049731745428,22.561028345356956,16.15549442140351,17.146428199482248,19.748417658131498,16.24807680927192,14.177446878757825,13.038404810405298,12.68857754044952,11.180339887498949,8.774964387392123,10.04987562112089,10.04987562112089,8.774964387392123,8.602325267042627,3.3166247903554,6.48074069840786
Swansea City_16_17,38.600518131237564,35.02855977627399,39.67366884975475,21.2602916254693,22.40535650240808,17.832554500127006,16.0312195418814,22.825424421026653,19.1049731745428,13.114877048604,13.379088160259652,13.92838827718412,11.045361017187261,9.273618495495704,12.884098726725126,12.884098726725126,7.0710678118654755,10.246950765959598,8.602325267042627,2.23606797749979
Manchester City_17_18,13.379088160259652,17.029386365926403,9.539392014169456,32.7566787083184,26.095976701399778,33.74907406137241,31.400636936215164,37.33630940518894,37.92097045171708,34.36568055487916,36.359317925395686,37.48332962798263,37.376463182061514,39.736632972611055,41.31585652022719,41.31585652022719,40.53393639902249,44.090815370097204,50.566787519082126,48.104053883222775
Manchester Utd_17_18,2.449489742783178,3.0,11.74734012447073,19.6468827043885,13.92838827718412,21.213203435596427,21.0,23.173260452512935,24.06241883103193,23.62202362203543,23.853720883753127,24.535688292770594,25.495097567963924,27.748873851023216,28.178005607210743,28.178005607210743,29.223278392404914,31.25699921617557,38.2099463490856,36.945906403822335
Chelsea_17_18,10.246950765959598,5.830951894845301,18.138357147217054,11.532562594670797,7.810249675906654,13.45362404707371,15.297058540778355,15.297058540778355,16.1245154965971,17.46424919657298,16.911534525287763,17.233687939614086,18.681541692269406,20.71231517720798,20.518284528683193,20.518284528683193,22.737634001804146,24.124676163629637,30.643106892089126,30.430248109405877
Arsenal_17_18,12.24744871391589,9.0,15.811388300841896,12.409673645990857,5.0990195135927845,12.727922061357855,11.357816691600547,17.916472867168917,17.52141546793523,14.071247279470288,15.524174696260024,16.55294535724685,16.55294535724685,18.81488772222678,20.248456731316587,20.248456731316587,20.149441679609886,23.345235059857504,29.46183972531247,27.94637722496424
Liverpool_17_18,14.7648230602334,11.704699910719626,16.911534525287763,12.083045973594572,3.7416573867739413,11.575836902790225,8.774964387392123,17.804493814764857,16.822603841260722,11.575836902790225,13.601470508735444,14.89966442575134,14.352700094407323,16.673332000533065,18.708286933869708,18.708286933869708,17.72004514666935,21.470910553583888,27.49545416973504,25.475478405713993
Burnley_17_18,21.213203435596427,16.822603841260722,29.631064780058107,6.324555320336759,12.569805089976535,9.695359714832659,16.881943016134134,4.58257569495584,7.280109889280518,17.204650534085253,13.674794331177344,12.409673645990857,15.811388300841896,16.673332000533065,13.490737563232042,13.490737563232042,19.849433241279208,18.027756377319946,23.452078799117146,26.248809496813376
Tottenham_17_18,15.427248620541512,11.357816691600547,22.135943621178654,7.874007874011811,5.830951894845301,9.486832980505138,12.529964086141668,10.44030650891055,10.723805294763608,13.92838827718412,11.704699910719626,11.74734012447073,13.92838827718412,15.811388300841896,15.033296378372908,15.033296378372908,18.05547008526779,18.466185312619388,25.45584412271571,25.475478405713993
